,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,220.58,189.41,192.09,174.11,200.11,264.75,480.44,398.32,452.43,354.78,207.22,207.48
1,Other Revenue,-0.67,0.67,-,3.01,-1.1,1.1,-,2.62,-0.9,0.9,-,1.42
2,Revenue,219.92,190.08,192.09,177.12,199.01,265.85,480.44,400.94,451.53,355.68,207.22,208.9
3,Revenue Growth (YoY),10.51%,-28.50%,-60.02%,-55.82%,-55.93%,-25.26%,131.85%,91.93%,-,-,-,-
4,Cost of Revenue,107.38,93.77,92.69,109.32,104.31,148.87,254.54,218.86,278.05,211.52,119.72,138.97
5,Gross Profit,112.54,96.31,99.4,67.79,94.7,116.97,225.9,182.08,173.48,144.16,87.5,69.93
6,"Selling, General & Admin",43.7,45.4,32.17,35.5,44.34,36.02,28.72,50.03,32.96,29.88,18.81,30.97
7,Research & Development,32.5,33.01,25.13,23.69,37.78,35.97,19.54,29.76,18.69,13.34,11.08,17.63
8,Other Operating Expenses,1,-3.1,-4.05,-1.3,-7.98,-23.93,-0.32,-7.24,-5.85,-4.06,-2.15,0.74
9,Operating Expenses,79.78,74.07,53.73,57.43,74.63,48.25,50.01,73.01,48.29,39.09,28.63,49.37
10,Operating Income,32.76,22.24,45.67,10.36,20.07,68.72,175.9,109.07,125.19,105.07,58.87,20.55
11,Interest Expense,-1.73,-0.29,-0.29,-0.31,-0.33,-0.36,-0.36,-0.11,-0.24,-0.07,-0.04,-0.05
12,Interest & Investment Income,15.52,22.97,7.76,19.77,10.95,20.87,11.76,9.86,2.64,4.45,3.14,3.17
13,Currency Exchange Gain (Loss),-2.13,2.13,-,-0.4,-3.84,3.84,-,11.98,-4.14,4.14,-,-3.67
14,Other Non Operating Income (Expenses),0.8,-0.52,0.41,-1.59,1.34,2.92,-6.14,-11.9,12.31,0.28,-0.95,1.26
15,EBT Excluding Unusual Items,45.21,46.53,53.54,27.82,28.19,96.01,181.16,118.9,135.77,113.87,61.02,21.26
