,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,5263,7135,5573,5558,7792,8211,9494,15968,14052,-,-,-,-
1,Market Cap Growth,-13.10%,-13.10%,-41.30%,-65.19%,-44.55%,-,-,-,-,-,-,-,-
2,Enterprise Value,2683,4665,3025,3129,5363,5754,6949,13480,13467,-,-,-,-
3,Last Close Price,59.20,79.80,62.20,61.27,85.89,90.51,104.65,174.34,153.43,-,-,-,-
4,PE Ratio,34.82,46.95,38.14,28.98,26.21,21.55,20.14,33.09,36.95,-,-,-,-
5,Forward PE,25.58,31.98,18.07,11.73,16.44,32.85,32.85,31.95,29.83,-,-,-,-
6,PS Ratio,6.79,9.16,7.35,6.66,6.94,6.10,5.94,9.46,9.93,-,-,-,-
7,PB Ratio,1.88,2.54,1.99,1.96,2.80,2.94,3.46,5.76,5.37,-,-,-,-
8,P/TBV Ratio,2.56,2.56,2.00,1.97,2.81,2.96,3.48,5.79,5.40,-,-,-,-
9,P/FCF Ratio,23.31,31.61,45.58,43.10,61.36,-,32.56,41.73,39.98,-,-,-,-
10,P/OCF Ratio,29.23,29.23,39.47,36.92,51.57,-,29.61,38.90,37.45,-,-,-,-
11,PEG Ratio,1.56,1.56,1.56,1.56,2.06,0.48,0.48,0.47,-,-,-,-,-
12,EV/Sales Ratio,3.44,5.99,3.99,3.75,4.78,4.27,4.35,7.98,9.51,-,-,-,-
13,EV/EBITDA Ratio,21.92,38.67,28.26,20.42,18.98,15.13,14.32,25.90,33.40,-,-,-,-
14,EV/EBIT Ratio,26.56,42.01,30.76,21.61,19.50,15.40,14.51,26.16,33.82,-,-,-,-
15,EV/FCF Ratio,11.88,20.66,24.74,24.26,42.23,-,23.83,35.22,38.32,-,-,-,-
16,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01
17,Debt / EBITDA Ratio,0.41,0.36,0.44,0.13,0.30,0.31,0.10,0.04,0.05,0.02,-,0.02,0.04
18,Debt / FCF Ratio,0.22,0.22,0.44,0.19,0.21,-,0.10,0.08,0.06,0.05,-,0.04,0.06
19,Asset Turnover,0.28,0.25,0.26,0.24,0.27,0.36,0.65,0.82,-,-,-,-,
20,Inventory Turnover,3.15,3.80,3.41,3.35,3.30,2.67,3.44,5.31,4.80,-,-,-,-
21,Quick Ratio,6.65,6.65,13.23,21.03,23.29,27.46,15.23,11.80,9.06,3.60,-,-,3.44
22,Current Ratio,6.98,6.98,14.02,22.21,24.86,29.19,16.30,12.70,9.84,4.73,-,-,4.59
23,Return on Equity (ROE),4.82%,6.12%,7.19%,3.83%,3.97%,12.87%,23.28%,26.37%,-,-,43.34%,-,
24,Return on Assets (ROA),2.61%,1.85%,3.87%,0.89%,1.71%,5.75%,14.76%,14.02%,-,-,-,-,
25,Return on Capital (ROIC),2.87%,1.94%,4.02%,0.92%,1.79%,6.16%,16.16%,15.99%,-,-,29.71%,-,
26,Return on Capital Employed (ROCE),3.58%,3.94%,3.49%,5.08%,9.80%,13.29%,17.26%,18.40%,15.10%,40.18%,-,-,4.15%
27,Earnings Yield,2.89%,2.13%,2.62%,3.45%,3.82%,4.64%,4.96%,3.02%,2.71%,-,-,-,-
28,FCF Yield,4.29%,3.16%,2.19%,2.32%,1.63%,3.05%,3.07%,2.40%,2.50%,-,-,-,-
29,Dividend Yield,1.17%,-,-,-,0.83%,-,-,-,0.93%,-,-,-,-
30,Payout Ratio,41.98%,11.10%,146.39%,-,-,1.49%,147.04%,-,-,-,-,-,106.98%
31,Buyback Yield / Dilution,-1.94%,0.94%,-0.36%,-0.04%,-8.92%,-33.42%,-33.17%,-33.41%,-21.99%,-,-,-,-
32,Total Shareholder Return,-0.77%,0.94%,-0.36%,-0.04%,-8.09%,-33.42%,-33.17%,-33.41%,-21.06%,-,-,-,-
