,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2707,2871,2508,2719,3488,3045,2963,2983,2852,2980,3893,-,-,-,-,-
1,Market Cap Growth,-5.72%,-5.72%,-15.35%,-8.84%,22.28%,2.19%,-23.90%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1694,1794,1424,1600,2368,1950,1864,1842,1711,1692,3765,-,-,-,-,-
3,Last Close Price,15.89,16.66,14.55,15.37,19.71,17.49,17.02,16.94,16.19,16.92,21.75,-,-,-,-,-
4,PE Ratio,42.93,45.89,31.41,27.54,35.41,37.66,35.51,35.54,28.05,20.56,23.45,-,-,-,-,-
5,PS Ratio,2.76,2.97,2.46,2.57,3.30,3.17,3.11,3.26,3.06,3.00,3.92,-,-,-,-,-
6,PB Ratio,1.30,1.40,1.23,1.30,1.68,1.50,1.48,1.48,1.42,1.50,1.99,-,-,-,-,-
7,P/TBV Ratio,1.51,1.51,1.33,1.40,1.78,1.59,1.57,1.58,1.51,1.60,2.00,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,51.43,3.74,-38.14,-,-15.11,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,17.73,3.21,22.63,52.66,45638.62,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.75,1.86,1.40,1.51,2.24,2.03,1.96,2.02,1.83,1.71,3.79,-,-,-,-,-
11,EV/EBITDA Ratio,22.27,23.87,14.24,13.29,19.95,19.83,19.44,18.08,14.16,9.76,20.44,-,-,-,-,-
12,EV/EBIT Ratio,31.11,29.99,16.73,15.04,22.52,22.88,22.36,20.50,15.63,10.41,21.68,-,-,-,-,-
13,EV/FCF Ratio,-2.69,-,-,-,34.92,2.40,-24.00,-,-9.06,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.12,0.10,0.08,0.12,0.12,0.15,0.14,0.18,0.16,0.21,0.25,-,0.33,0.37
15,Debt / EBITDA Ratio,2.66,3.00,5.43,6.94,0.93,1.49,1.84,12.03,2.56,2.27,2.05,1.69,0.62,-,0.92,1.28
16,Debt / FCF Ratio,-,-,-,-,2.60,0.31,-3.00,-,-1.46,-,-,-,1.03,-,2.30,6.82
17,Asset Turnover,0.29,0.34,0.22,0.59,0.37,0.40,0.22,0.44,0.35,0.45,0.49,-,-,-,-,
18,Inventory Turnover,1.91,1.54,2.14,1.43,3.53,1.76,2.03,1.16,2.42,1.59,1.73,1.19,-,-,-,-
19,Quick Ratio,2.81,2.81,2.63,3.30,3.36,2.80,2.81,3.00,3.06,2.68,2.75,1.44,1.42,-,1.21,-
20,Current Ratio,3.44,3.44,3.19,3.90,3.93,3.40,3.48,3.63,3.69,3.23,3.30,2.16,2.01,-,1.80,-
21,Return on Equity (ROE),1.90%,1.35%,1.14%,7.79%,5.34%,5.14%,1.13%,4.48%,6.00%,7.65%,11.94%,-,-,29.41%,-,
22,Return on Assets (ROA),1.21%,0.41%,0.38%,3.56%,3.57%,2.42%,0.27%,1.70%,3.34%,3.96%,4.14%,-,-,-,-,
23,Return on Capital (ROIC),1.45%,0.48%,0.45%,4.21%,4.25%,2.82%,0.31%,1.97%,3.97%,4.97%,5.79%,-,-,16.35%,-,
24,Return on Capital Employed (ROCE),2.65%,2.91%,4.17%,5.07%,5.04%,4.17%,4.15%,4.45%,5.44%,8.17%,8.86%,24.38%,27.45%,-,14.25%,-
25,Earnings Yield,2.31%,2.18%,3.18%,3.63%,2.82%,2.66%,2.82%,2.81%,3.57%,4.86%,4.26%,-,-,-,-,-
26,FCF Yield,-23.30%,-21.97%,-21.63%,-1.14%,1.94%,26.70%,-2.62%,-5.01%,-6.62%,-28.51%,-0.18%,-,-,-,-,-
27,Dividend Yield,2.50%,3.60%,-,-,2.03%,-,-,-,1.24%,-,-,-,-,-,-,-
28,Payout Ratio,115.28%,433.02%,398.51%,22.60%,3.03%,81.29%,59.56%,32.98%,14.00%,222.90%,4.33%,7.60%,4.27%,4.32%,4.69%,7.85%
29,Buyback Yield / Dilution,-9.98%,-0.75%,-0.46%,-0.33%,-52.65%,-24.67%,31.55%,-35.79%,11.56%,-5.76%,-100.72%,2.99%,-,-,-,-
30,Total Shareholder Return,-7.49%,2.85%,-0.46%,-0.33%,-50.62%,-24.67%,31.55%,-35.79%,12.79%,-5.76%,-100.72%,2.99%,-,-,-,-
