,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,195.64,229.26,148.32,392.73,248.62,267.47,147.51,297.17,238.9,229.42,167.2,355.66,241.25,270.36,179.09
1,Other Revenue,-0.42,0.42,-,0.71,-0.36,0.36,-,0.65,-0.3,0.3,-,0.49,-0.15,0.15,-
2,Revenue,195.23,229.68,148.32,393.44,248.26,267.82,147.51,297.82,238.6,229.73,167.2,356.16,241.1,270.51,179.09
3,Revenue Growth (YoY),-21.36%,-14.24%,0.55%,32.11%,4.05%,16.58%,-11.78%,-16.38%,-1.04%,-15.08%,-6.64%,-,-,-,-
4,Cost of Revenue,126.4,164.47,100.25,276.03,160.02,183.3,98.28,211.02,145.25,150.32,94.88,215.88,138.39,151.39,97.09
5,Gross Profit,68.83,65.21,48.06,117.41,88.24,84.52,49.23,86.8,93.35,79.4,72.32,140.27,102.71,119.12,81.99
6,"Selling, General & Admin",48.82,51.31,38.34,53.37,45.57,41.58,39.97,41.46,40.66,33.22,39.77,42.87,44.17,42.88,39.52
7,Research & Development,8.8,10.01,9.45,11.45,9.08,8.8,9.09,9.95,11.89,8.39,9.23,13.55,10.03,10.14,9.31
8,Other Operating Expenses,-4.36,-1.64,0.24,2.63,-3.28,1.54,1.17,2.53,1.02,1.16,0.72,6.2,1.7,-0.35,1.18
9,Operating Expenses,55.71,60.8,43.99,79.19,49.83,58.84,46.39,68.53,56.75,47.25,49.9,68.88,54.98,64.49,42.17
10,Operating Income,13.12,4.41,4.08,38.22,38.41,25.68,2.84,18.27,36.6,32.15,22.43,71.39,47.73,54.63,39.83
11,Interest Expense,-1.2,-1.33,-1.51,-1.18,-1.7,-2.2,-1.93,-2.25,-2.9,-1.66,-1.58,-2.27,-2.17,-2.39,-2.34
12,Interest & Investment Income,4.42,4.05,4.36,3.91,5.48,4.81,5.82,4.66,5.77,5.16,0.37,0.66,0.33,0.88,0.12
13,Currency Exchange Gain (Loss),0.04,-0.04,-,0.2,-0.52,0.52,-,2.56,-1.42,1.42,-,-0.66,0.24,-0.24,-
14,Other Non Operating Income (Expenses),0.32,0.01,-0.13,-0.37,0.49,0.3,-0.14,-5.94,2.9,1.65,-0.14,0.72,-1.08,0.17,-0.07
15,EBT Excluding Unusual Items,16.7,7.1,6.8,40.77,42.16,29.11,6.59,17.3,40.95,38.72,21.08,69.83,45.05,53.05,37.54
16,Gain (Loss) on Sale of Investments,0.92,0.48,0.04,0.11,0.3,2.81,0.36,1.49,1.59,0.79,1.13,0.85,0.89,0.79,0.33
17,Gain (Loss) on Sale of Assets,-0.03,0.02,-0,0.05,0.12,0.08,0.24,0.05,-0.13,0,-,-,19.11,0.01,-
18,Asset Writedown,-6.83,0.14,-0.14,8.2,-8.26,0.05,-0.07,6.47,-6.56,-4.09,4.05,0.72,-1.28,1.67,-1.73
19,Other Unusual Items,-1.07,0.4,0.67,3.19,-0.13,0.13,-,4.09,-0.11,-0.28,0.39,10.49,-0.11,0.11,-
20,Pretax Income,9.69,8.14,7.35,52.33,34.19,32.18,7.13,29.39,35.66,35.22,26.65,81.89,63.66,55.62,36.14
21,Income Tax Expense,0,1.21,1.44,12.31,7.22,6.35,1.45,7.02,6.09,8.9,3.21,16.31,12.96,10.1,5.63
22,Net Income,9.69,6.93,5.91,40.02,26.97,25.83,5.68,22.37,29.57,26.32,23.43,65.58,50.7,45.53,30.51
23,Net Income to Common,9.69,6.93,5.91,40.02,26.97,25.83,5.68,22.37,29.57,26.32,23.43,65.58,50.7,45.53,30.51
24,Net Income Growth,-64.09%,-73.17%,4.17%,78.91%,-8.79%,-1.88%,-75.77%,-65.89%,-41.67%,-42.18%,-23.20%,-,-,-,-
25,Shares Outstanding (Basic),168,168,168,168,168,168,167,112,134,245,123,126,127,122,127
26,Shares Outstanding (Diluted),169,169,168,170,168,168,167,112,134,245,123,126,127,122,127
27,Shares Change (YoY),0.75%,0.46%,0.33%,52.65%,24.67%,-31.55%,35.79%,-11.56%,5.76%,100.72%,-2.99%,-,-,-,-
28,EPS (Basic),0.06,0.04,0.04,0.24,0.16,0.15,0.03,0.20,0.22,0.11,0.19,0.52,0.40,0.37,0.24
29,EPS (Diluted),0.06,0.04,0.04,0.23,0.16,0.15,0.03,0.20,0.22,0.11,0.19,0.52,0.40,0.37,0.24
30,EPS Growth,-64.35%,-73.30%,3.83%,17.20%,-26.83%,43.35%,-82.16%,-61.43%,-44.85%,-71.20%,-20.83%,-,-,-,-
31,Free Cash Flow,-31.5,-503.82,-99.79,4.44,56.7,7.75,-1.09,749.73,-834.09,-63.93,-40.5,89.02,8.49,62.04,31.77
32,Free Cash Flow Per Share,-0.19,-2.99,-0.59,0.03,0.34,0.05,-0.01,6.72,-6.20,-0.26,-0.33,0.71,0.07,0.51,0.25
33,Dividend Per Share,0.200,-,-,0.400,-,-,-,0.200,-,-,-,0.380,-,-,-
34,Dividend Growth,-,-,-,100.00%,-,-,-,-47.37%,-,-,-,-,-,-,-
35,Gross Margin,35.26%,28.39%,32.41%,29.84%,35.54%,31.56%,33.37%,29.14%,39.12%,34.56%,43.26%,39.39%,42.60%,44.04%,45.78%
36,Operating Margin,6.72%,1.92%,2.75%,9.71%,15.47%,9.59%,1.93%,6.14%,15.34%,14.00%,13.41%,20.04%,19.80%,20.20%,22.24%
37,Profit Margin,4.96%,3.02%,3.99%,10.17%,10.87%,9.64%,3.85%,7.51%,12.39%,11.46%,14.02%,18.41%,21.03%,16.83%,17.04%
38,Free Cash Flow Margin,-16.13%,-219.36%,-67.28%,1.13%,22.84%,2.90%,-0.74%,251.74%,-349.58%,-27.83%,-24.22%,24.99%,3.52%,22.93%,17.74%
39,EBITDA,16.84,8.55,7.8,41.94,41.69,28.95,6.12,21.55,39.29,34.91,25.12,74.09,50.15,58.51,42.25
40,EBITDA Margin,8.63%,3.72%,5.26%,10.66%,16.79%,10.81%,4.15%,7.24%,16.47%,15.20%,15.03%,20.80%,20.80%,21.63%,23.59%
41,D&A For EBITDA,3.73,4.14,3.73,3.73,3.28,3.28,3.28,3.28,2.7,2.76,2.7,2.7,2.42,3.87,2.42
42,EBIT,13.12,4.41,4.08,38.22,38.41,25.68,2.84,18.27,36.6,32.15,22.43,71.39,47.73,54.63,39.83
43,EBIT Margin,6.72%,1.92%,2.75%,9.71%,15.47%,9.59%,1.93%,6.14%,15.34%,13.99%,13.41%,20.04%,19.80%,20.20%,22.24%
44,Effective Tax Rate,0.05%,14.86%,19.57%,23.52%,21.11%,19.75%,20.34%,23.88%,17.08%,25.26%,12.06%,19.92%,20.36%,18.15%,15.57%
45,Revenue as Reported,195.23,229.68,148.32,393.44,248.26,267.82,147.51,297.82,238.6,229.73,167.2,356.16,241.1,270.51,179.09
