,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,992.73,1220,1193,1212,1115,1063,1344,1257,1116,1500,159.2,152.91,-,158.82,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,17.38,-
2,Trading Asset Securities,221.85,101,106.96,122.61,253.4,265.73,49.17,118.35,382.14,95.95,138.4,221.39,-,113.21,-
3,Cash & Short-Term Investments,1215,1321,1300,1334,1369,1328,1393,1375,1498,1596,297.59,374.3,-,289.41,202.5
4,Cash Growth,-11.25%,-0.55%,-6.64%,-2.99%,-8.65%,-16.79%,368.06%,267.46%,-,451.61%,46.96%,-,-,-,-
5,Accounts Receivable,487.74,497.76,504.42,544.42,508.42,508.18,460.19,517.69,493.85,485.76,447.16,470.35,-,448.51,-
6,Other Receivables,21.9,2.3,29.96,0.56,26.39,-,40.03,1.73,43.6,25.14,23.52,-,-,0.23,-
7,Receivables,509.65,500.06,534.38,544.98,534.8,508.18,500.21,519.42,537.45,510.9,470.68,470.35,-,448.73,-
8,Inventory,337.94,318.77,297.04,262.45,362.47,362.98,358.91,318.9,378.17,354.32,340.59,296.68,-,322.9,-
9,Other Current Assets,49.18,64.8,36.31,54.58,44.37,74.08,39.22,69.15,37.34,61.51,42.98,57.68,-,38.53,-
10,Total Current Assets,2111,2205,2168,2196,2310,2274,2291,2283,2451,2523,1152,1199,-,1100,-
11,"Property, Plant & Equipment",345.42,323.16,283.81,269.73,232.46,198.32,158.38,132.33,120.22,123.76,123.85,113.98,-,105.31,-
12,Long-Term Investments,0.78,1.78,0.79,1.8,0.8,0.81,0.84,0.85,0.88,0.88,0.89,0.89,-,1,-
13,Other Intangible Assets,147.1,148.18,149.02,117.75,118.48,119.38,120.29,121.2,120.87,12.04,12.28,12.53,-,11.72,-
14,Long-Term Accounts Receivable,-,-,1.11,1.09,1.08,2.16,2.13,3.2,3.16,4.21,5.21,5.21,-,6.1,-
15,Long-Term Deferred Tax Assets,50.01,45.49,41.04,40.92,41.62,41.46,38.33,36.21,35.65,33.35,37.96,35.95,-,38.42,-
16,Long-Term Deferred Charges,7.44,2.69,2.84,3.16,3.35,3.66,0.22,0.18,0.34,0.21,0.52,0.81,-,1.37,-
17,Other Long-Term Assets,5.67,6.37,7.16,16.02,13.62,23.97,38.62,55.29,16.55,28.92,5.18,5.39,-,11.18,-
18,Total Assets,2668,2732,2654,2647,2722,2663,2650,2632,2749,2727,1338,1374,-,1275,-
19,Accounts Payable,152.04,183.59,137.41,164.29,172.86,187.2,131.3,149.65,176.64,178.29,137.33,173.69,-,150.79,-
20,Accrued Expenses,27.64,28.05,15.25,67.07,26.2,26.68,21.2,48.82,35.08,38.88,23.59,58.97,-,51.44,-
21,Short-Term Debt,195.12,235.22,210.23,170.12,240.24,230.16,290.22,270.21,350.38,300.3,160.09,190.37,-,30.03,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,178,-
23,Current Portion of Leases,3.97,4.48,2.6,2.47,3.74,1.99,3.01,3.31,4.63,5.38,3.41,3.41,-,3.65,-
24,Current Income Taxes Payable,9.9,4.91,8.12,17.44,17.22,9.64,17.76,15.65,18.92,4.7,19.83,20.26,-,9.02,-
25,Current Unearned Revenue,158.64,135.29,127.01,107.57,181.46,145.39,134.69,98.99,137.52,135.33,165.69,116.01,-,147.05,-
26,Other Current Liabilities,67.05,99.75,55.96,30.24,38.38,51.61,32.44,32.36,35.79,102.24,23.29,32.99,-,41.76,-
27,Total Current Liabilities,614.36,691.28,556.59,559.2,680.11,652.66,630.62,618.99,758.97,765.11,533.22,595.7,-,611.75,-
28,Long-Term Leases,3.07,4.3,3.72,4,4.95,1.04,1.33,1.42,2.15,3.17,6.16,3.06,-,3.97,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0.82,0.88,1.8,0.92,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,5.06,4.98,4.96,4.9,2.33,2.27,2.11,2.29,1.43,1.68,1.46,1.46,-,1.82,-
31,Total Liabilities,622.49,700.56,565.27,568.09,688.22,656.86,635.86,623.61,762.55,769.96,540.84,600.22,-,617.54,-
32,Common Stock,170.37,170.37,170.37,170.37,167.67,167.67,167.67,167.67,167.67,167.67,125.67,125.67,-,125.67,-
33,Additional Paid-In Capital,1420,1416,1412,1408,1381,1381,1381,1381,1381,1381,225.92,225.92,-,225.7,-
34,Retained Earnings,479.31,469.63,530.85,524.93,484.91,457.94,465.65,459.97,437.65,407.96,445.37,422.04,-,305.76,-
35,Treasury Stock,-24,-24,-24,-24,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-0.16,-0.17,-0.16,-0.15,-0.15,-0.14,-0.12,-0.11,-0.09,-0.09,-0.08,-0.08,-,-,-
37,Shareholders' Equity,2045,2032,2089,2079,2033,2006,2014,2009,1986,1957,796.89,773.55,-,657.13,581.09
38,Total Liabilities & Equity,2668,2732,2654,2647,2722,2663,2650,2632,2749,2727,1338,1374,-,1275,-
39,Total Debt,202.17,244,216.55,176.6,248.93,233.18,294.56,274.94,357.16,308.85,169.66,196.83,-,215.65,216.79
