,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,12143,12586,9809,9972,9883,12380,14433,-,-,-,-,-
1,Market Cap Growth,1.67%,1.67%,-32.04%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10822,11266,8462,8511,8358,10770,14402,-,-,-,-,-
3,Last Close Price,8.22,8.52,6.64,6.75,6.68,8.37,9.76,-,-,-,-,-
4,PE Ratio,1191.76,-,645.50,565.08,438.64,-,1688.71,-,-,-,-,-
5,PS Ratio,11.64,12.24,9.86,10.49,10.71,13.85,16.57,-,-,-,-,-
6,PB Ratio,3.98,4.02,3.13,3.19,3.16,3.98,4.62,-,-,-,-,-
7,P/TBV Ratio,4.32,4.32,3.37,3.42,3.39,4.27,4.96,-,-,-,-,-
8,P/OCF Ratio,-,-,219.86,976.00,138.89,-,-,-,-,-,-,-
9,EV/Sales Ratio,10.53,10.96,8.51,8.95,9.06,12.05,16.54,-,-,-,-,-
10,EV/EBITDA Ratio,81.95,80.74,70.14,88.17,75.16,-,177.19,-,-,-,-,-
11,EV/EBIT Ratio,841.33,-,-1541.81,-,-9336.17,-,-780.92,-,-,-,-,-
12,Debt / Equity Ratio,0.05,0.05,0.05,0.06,0.06,0.04,0.07,-,0.22,0.22,0.03,0.03
13,Debt / EBITDA Ratio,1.30,5.03,0.63,1.59,1.31,-,1.19,-,1.76,-,0.44,0.44
14,Asset Turnover,-,0.28,0.24,0.24,-,-,-,-,-,0.30,-,
15,Inventory Turnover,-,-,4.58,4.51,4.19,-,-,-,-,-,8.85,-
16,Quick Ratio,-,-,2.85,3.16,3.14,3.03,3.02,-,-,0.89,2.39,2.39
17,Current Ratio,-,-,3.25,3.53,3.46,3.35,3.39,-,-,1.11,2.54,2.54
18,Return on Equity (ROE),-2.62%,0.81%,2.00%,1.12%,-,-,-,-0.45%,-,5.70%,-,
19,Return on Assets (ROA),-,2.43%,-0.58%,0.34%,-,-,-,-,-,1.17%,-,
20,Return on Capital (ROIC),-1.60%,2.90%,-0.70%,0.41%,-,-,-,2.62%,-,1.49%,-,
21,Return on Capital Employed (ROCE),-,-,-0.17%,-,-0.03%,-,-0.55%,-,-,-,1.16%,0.58%
22,Earnings Yield,0.08%,0.08%,0.15%,0.18%,0.23%,0.11%,0.06%,-,-,-,-,-
23,FCF Yield,-,-2.37%,-2.81%,-2.80%,-2.31%,-2.11%,-,-,-,-,-,
24,Dividend Yield,0.12%,-,-,-,-,0.12%,-,-,-,-,-,-
25,Payout Ratio,0.00%,-,21.06%,113.38%,-,-,34.62%,25.88%,-,-,-,-
26,Buyback Yield / Dilution,-6.28%,47.85%,-140.85%,-54.05%,-17.97%,-123.49%,41.91%,9.02%,-,-,-,-
27,Total Shareholder Return,-6.16%,47.85%,-140.85%,-54.05%,-17.97%,-123.37%,41.91%,9.02%,-,-,-,-
