,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1507,1408,1521,1571,1896,-,-,351.43,414.52,414.52
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,30,30
2,Trading Asset Securities,-,68,204.83,204.79,163.98,3.92,-,-,39.76,175.73,175.73
3,Cash & Short-Term Investments,1575,1575,1613,1726,1735,1900,-,391.18,391.18,620.25,620.25
4,Cash Growth,-9.25%,-17.12%,-,341.27%,343.51%,206.30%,-,-,-,-,-
5,Accounts Receivable,-,379.33,291.21,284.63,277.19,269.2,-,-,234.86,150.48,150.48
6,Other Receivables,-,4.82,47.8,59.3,57.98,2.56,-,-,25.57,16.93,16.93
7,Receivables,-,384.15,339.01,343.94,335.17,271.76,-,-,260.43,167.41,167.41
8,Inventory,-,195.54,199.79,186.64,194.02,-,-,-,136.73,43.41,43.41
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.08,0.08
10,Other Current Assets,-,77.49,28.67,23.78,19.53,266.91,-,-,23.77,5.73,5.73
11,Total Current Assets,-,2232,2180,2281,2284,2439,-,-,812.12,836.88,836.88
12,"Property, Plant & Equipment",-,1528,1506,1519,1521,1503,-,-,1228,714.04,714.04
13,Long-Term Investments,-,66.37,66.97,21.49,13.4,13.61,-,-,13.36,13.76,13.76
14,Goodwill,-,64.46,64.46,64.46,64.46,64.46,-,-,64.46,64.46,64.46
15,Other Intangible Assets,-,76.05,63.15,64.86,64.91,66.99,-,-,71.22,54.85,54.85
16,Long-Term Deferred Tax Assets,-,10.16,10.41,10.77,10.88,4.53,-,-,4.89,3.26,3.26
17,Long-Term Deferred Charges,-,2.99,2.88,2.98,3.09,3.89,-,-,2.81,0.03,0.03
18,Other Long-Term Assets,-,-,14.7,-,-,-,-,-,-,-,-
19,Total Assets,-,3980,3909,3964,3961,4095,-,-,2197,1687,1687
20,Accounts Payable,-,546.58,266.02,529.08,379.72,629.38,-,-,352.18,202.66,202.66
21,Accrued Expenses,-,8,47.9,2.03,42.86,7.34,-,-,33.3,17.16,17.16
22,Short-Term Debt,-,98.57,95.36,75.27,35.67,45.2,-,-,183.14,28.11,28.11
23,Current Portion of Long-Term Debt,-,0.27,11.36,21.4,20.02,1.76,-,-,0.12,-,-
24,Current Portion of Leases,-,-,0.23,-,1.69,-,-,-,1.63,-,-
25,Current Income Taxes Payable,-,14.25,0.16,14.58,0.44,13.61,-,-,1.24,1.66,1.66
26,Current Unearned Revenue,-,3.66,8.95,7.56,12,4.8,-,-,1.69,0.59,0.59
27,Other Current Liabilities,-,16.33,187.7,9.37,190.25,18.15,-,-,160.32,79.94,79.94
28,Total Current Liabilities,-,687.66,617.67,659.29,682.65,720.25,-,-,733.61,330.11,330.11
29,Long-Term Debt,-,72.57,75.46,86.8,71.63,162.07,-,-,93.6,-,-
30,Long-Term Leases,-,0.19,0.23,0.3,0.15,-,-,-,1.61,6.39,6.39
31,Long-Term Unearned Revenue,-,77.63,80.42,83.17,85.57,79.84,-,-,81.66,56.09,56.09
32,Long-Term Deferred Tax Liabilities,-,8.91,9.17,9.12,9.37,9.64,-,-,11.23,10.48,10.48
33,Total Liabilities,-,846.94,782.95,838.68,849.38,971.79,-,-,921.71,403.07,403.07
34,Common Stock,-,1477,1477,1477,1477,1477,-,-,1108,1108,1108
35,Additional Paid-In Capital,-,1505,1505,1506,1502,1498,-,-,48.11,30.24,30.24
36,Retained Earnings,-,60.83,54.06,53.45,45.87,60.41,-,-,32.17,42.07,42.07
37,Comprehensive Income & Other,-,8.14,7.3,6.65,5.49,6.38,-,-,6.73,4.5,4.5
38,Total Common Equity,3051,3051,3043,3043,3031,3042,-,1195,1195,1185,1185
39,Minority Interest,-,82.13,82.54,82.27,81.15,80.94,-,-,80.3,99.45,99.45
40,Shareholders' Equity,3133,3133,3126,3126,3112,3123,-,1275,1275,1284,1284
41,Total Liabilities & Equity,-,3980,3909,3964,3961,4095,-,-,2197,1687,1687
42,Total Debt,171.59,171.59,182.64,183.77,129.17,209.04,-,280.1,280.1,34.49,34.49
43,Net Cash (Debt),1403,1403,1430,1542,1606,1691,-,111.09,111.09,585.76,585.76
44,Net Cash Growth,-12.63%,-17.03%,-,1288.46%,1345.50%,188.65%,-,-,-,-,-
45,Net Cash Per Share,1.01,0.95,0.97,1.04,0.60,2.76,-,0.09,0.09,0.56,0.56
46,Filing Date Shares Outstanding,1477,1477,1477,1477,1477,1477,958.95,1252,1108,1108,1108
47,Total Common Shares Outstanding,1477,1477,1477,1477,1477,1477,958.95,1252,1108,1108,1108
48,Working Capital,-,1544,1562,1621,1601,1718,-,-,78.51,506.77,506.77
49,Book Value Per Share,2.07,2.07,2.06,2.06,2.05,2.06,-,1.08,1.08,1.07,1.07
50,Tangible Book Value,2910,2910,2916,2914,2901,2910,-,1059,1059,1065,1065
51,Tangible Book Value Per Share,1.97,1.97,1.97,1.97,1.96,1.97,-,0.96,0.96,0.96,0.96
52,Buildings,-,-,231.73,-,231.73,-,-,-,134.74,118.97,118.97
53,Machinery,-,-,1476,-,1439,-,-,-,1075,526.42,526.42
