,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,189.09,237.86,236.27,359.45,227.76,228.89,139.97,165.47,140.98,108.39,321.66,102.51,131.61,-,-,126.51,-,100.61,100.61,102.63
1,Trading Asset Securities,260,260,260,132.55,255.34,277.3,410.86,404.46,466.45,518.32,296.86,571.06,565.29,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,449.09,497.86,496.27,492,483.1,506.19,550.83,569.93,607.43,626.71,618.52,673.56,696.9,-,126.51,126.51,100.61,100.61,100.61,102.63
3,Cash Growth,-7.04%,-1.65%,-9.90%,-13.67%,-20.47%,-19.23%,-10.94%,-15.39%,-12.84%,-,388.89%,432.40%,592.69%,-,25.75%,23.27%,-,-,-,-
4,Accounts Receivable,277.98,230.67,235.03,219.91,269.06,282.22,288.61,305.96,359.4,375.6,372.17,367.22,350.52,-,-,237.64,-,218.04,218.04,176.53
5,Other Receivables,8.47,5.54,4.9,4.22,6.26,6.09,8.28,8.12,9.06,10.22,9.52,9.18,8.81,-,-,6.91,-,4.49,4.49,5.24
6,Receivables,286.45,236.21,239.93,224.12,275.32,288.31,296.88,314.08,368.46,385.82,381.68,376.41,359.34,-,-,244.55,-,222.53,222.53,181.77
7,Inventory,2.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Other Current Assets,6.21,4.24,5.05,3.77,3.41,3.61,5.48,2.59,5.45,2.97,2.71,2.46,2.84,-,-,8.65,-,2.32,2.32,1.46
9,Total Current Assets,743.99,738.3,741.26,719.9,761.83,798.11,853.19,886.6,981.34,1016,1003,1052,1059,-,-,379.71,-,325.46,325.46,285.86
10,"Property, Plant & Equipment",89,86.1,88.3,91,87.45,55.87,65.76,42.07,47.86,53.77,87.93,94.65,72.87,-,-,9.72,-,8.44,8.44,9.59
11,Long-Term Investments,0.26,0.26,0.26,0.26,11.94,11.92,11.93,11.94,-,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,9.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,7.17,7.89,8,7.21,9.21,8.92,6.58,8.11,5.97,4.64,5.36,5.41,3.94,-,-,4.15,-,2.63,2.63,2.65
14,Long-Term Deferred Tax Assets,30.83,29.49,29.33,29.53,46.2,43.07,39.63,41.13,16.96,15.73,15.01,16.16,9.65,-,-,6.59,-,5.23,5.23,3.68
