,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,107.04,95.56,84.38,118,64.13,85.76,63.49,102.75,67.96,106.82,52.54,183.38,124.56,186.78,94.99,153.82,118.89,108.62,108.62,152.57
1,Other Revenue,-0.23,0.23,-,1.81,-0.33,0.33,-,0.52,-0.46,0.46,-,0.02,-0.01,0.01,-,0.03,-,0.11,0.11,0.02
2,Revenue,106.81,95.79,84.38,119.81,63.79,86.09,63.49,103.27,67.5,107.28,52.54,183.4,124.55,186.79,94.99,153.85,118.89,108.74,108.74,152.59
3,Revenue Growth (YoY),67.44%,11.27%,32.89%,16.01%,-5.49%,-19.75%,20.85%,-43.69%,-45.80%,-42.57%,-44.69%,19.21%,4.76%,71.79%,-12.64%,0.83%,-,-,-,-
4,Cost of Revenue,52.34,44.11,42.22,61.24,44.47,59.06,48.27,79.73,64.2,65.7,76.65,103.1,74.28,79.36,61.73,62.19,61.11,48.65,48.65,64.53
5,Gross Profit,54.47,51.68,42.16,58.57,19.32,27.03,15.23,23.54,3.3,41.58,-24.11,80.31,50.27,107.43,33.27,91.66,57.78,60.08,60.08,88.05
6,"Selling, General & Admin",28.61,27.75,21.6,41.75,23.77,22.31,24.89,20.26,26.43,29.81,32.02,28.6,33.34,27.6,21.31,33.11,23.92,20.63,20.63,89.61
7,Research & Development,8.66,7.05,9.79,7.05,9.26,8.82,7.8,7.92,7.66,6.44,13.34,15.75,11.4,12.47,7.8,13.04,7.21,6.33,6.33,21.93
8,Other Operating Expenses,0.26,0.71,0.28,1.54,-0.83,-0.03,-0.11,1.39,0.43,-0.07,-0.21,0.76,0.68,1.26,0.14,2.16,0.85,0.27,0.27,-71.11
9,Operating Expenses,42.73,47.17,36.94,106.2,36.77,43.81,35.04,92.95,38.84,40.85,45.75,81.19,51.76,51.35,33.24,50.07,36.28,31.8,31.8,48.98
