,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2182,2075,1713,1749,2231,2522,1884,1819,1447,1500,1914,2464,2849,2453,-,-,-,-,-,-,-
1,Market Cap Growth,-17.73%,-17.73%,-9.06%,-3.84%,54.13%,68.19%,-1.59%,-26.19%,-49.20%,-38.87%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1755,1627,1269,1276,1757,2037,1382,1281,909,954,1378,1808,2192,2337,-,-,-,-,-,-,-
3,Last Close Price,33.75,32.10,26.50,27.06,34.51,39.02,29.14,28.14,22.39,23.20,29.61,38.13,44.08,37.95,-,-,-,-,-,-,-
4,PE Ratio,-,-39.83,-22.69,-18.72,-,-,-,-,-,-,-39.20,-,54.94,28.36,-,-,-,-,-,-,-
5,PS Ratio,5.35,5.10,4.71,4.94,6.70,7.97,5.88,5.33,4.38,3.65,4.09,4.50,4.83,4.38,-,-,-,-,-,-,-
6,PB Ratio,2.87,2.73,2.28,2.35,3.02,3.11,2.28,2.17,1.71,1.71,2.09,2.69,2.91,2.54,-,-,-,-,-,-,-
7,P/TBV Ratio,2.79,2.79,2.30,2.37,3.05,3.14,2.30,2.19,1.73,1.72,2.10,2.74,2.96,2.55,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-70.17,-,-36.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-113.73,-,283.29,-,-457.04,-91.09,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.31,4.00,3.49,3.60,5.27,6.43,4.32,3.75,2.75,2.32,2.95,3.30,3.72,4.17,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-87.62,-26.44,-18.37,-,-,-,-,-,-,-20.80,-,34.97,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-62.19,-22.93,-16.65,-,-,-,-,-,-,-19.27,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-68.37,-,-52.00,-,-28.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.07,0.07,0.03,0.01,0.03,0.06,0.07,0.08,0.09,0.08,0.06,0.04,-,0.05,0.05,-,-,-,-
15,Debt / EBITDA Ratio,-,0.40,1.12,1.84,-,-,-,-,-,-,1.60,-,0.71,-,-,2.45,0.06,-,-,-,-
16,Debt / FCF Ratio,-,-,-2.03,-,-0.37,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,-
17,Asset Turnover,0.47,0.43,0.38,0.52,0.26,0.34,0.25,0.39,0.24,0.38,0.18,0.62,-,-,-,-,-,1.24,-,-,
18,Quick Ratio,5.38,5.38,5.61,5.21,5.59,5.13,4.95,5.21,5.16,5.53,5.50,5.27,5.98,6.76,-,-,2.00,-,1.79,1.79,1.98
19,Current Ratio,5.44,5.44,5.64,5.24,5.62,5.15,4.97,5.24,5.17,5.56,5.51,5.28,6.00,6.78,-,-,2.05,-,1.81,1.81,1.99
20,Return on Equity (ROE),3.91%,3.41%,3.14%,-37.54%,-7.28%,-5.56%,-4.36%,-14.21%,-16.82%,3.86%,-26.63%,0.79%,-,-,-0.43%,73.44%,44.24%,54.55%,-,-,
21,Return on Assets (ROA),3.26%,1.26%,1.47%,-12.93%,-4.47%,-4.18%,-4.82%,-16.37%,-8.05%,0.16%,-15.01%,-0.19%,-,-,-,-,-,20.15%,-,-,
22,Return on Capital (ROIC),3.71%,1.41%,1.67%,-15.04%,-5.23%,-4.84%,-5.51%,-18.69%,-9.15%,0.18%,-17.27%,-0.22%,-,-,0.02%,50.85%,31.46%,41.39%,-,-,
23,Return on Capital Employed (ROCE),-,-3.38%,-7.26%,-10.13%,-,-,-,-,-,-,-7.62%,-,-,-,-,-,52.60%,-,55.97%,39.42%,23.10%
24,Earnings Yield,-2.39%,-2.51%,-4.41%,-5.34%,-4.86%,-2.63%,-4.73%,-3.77%,-8.46%,-5.99%,-2.55%,-0.44%,1.82%,3.53%,-,-,-,-,-,-,-
25,FCF Yield,-1.18%,-1.24%,-1.43%,-3.74%,-2.77%,-3.57%,-4.68%,-3.54%,-8.68%,-8.17%,-7.51%,-4.77%,-4.15%,-1.96%,-,-,-,-,-,-,-
26,Payout Ratio,0.00%,2.33%,5.81%,-,-,-,-,-,-,-,1.42%,-,4.56%,2.52%,0.68%,-,0.37%,240.54%,-,-,-
27,Buyback Yield / Dilution,0.55%,0.07%,0.12%,-0.14%,2.13%,0.51%,-0.69%,-0.01%,-24.04%,36.44%,-201.04%,-65.02%,-9.17%,-109.99%,55.97%,19.10%,-59.36%,-,-,-,-
28,Total Shareholder Return,0.55%,0.07%,0.12%,-0.14%,2.13%,0.51%,-0.69%,-0.01%,-24.04%,36.44%,-201.04%,-65.02%,-9.17%,-109.99%,55.97%,19.10%,-59.36%,-,-,-,-
