,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+5 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+5 Quarters
0,Market Capitalization,126829,141026,70040,61522,65308,76058,69298,76058,65072,62537,98876,100568,114694,108657,118965,109448,65413,59462,37670,39538,39226,Upgrade
1,Market Cap Growth,85.42%,85.42%,1.07%,-19.11%,0.36%,21.62%,-29.91%,-24.37%,-43.26%,-42.45%,-16.89%,-8.11%,75.34%,82.73%,215.81%,176.82%,66.76%,73.64%,-,-,-,Upgrade
2,Enterprise Value,170166,188782,119667,109194,114583,117916,112305,123763,115206,112670,148479,138791,144395,138542,151004,119376,101399,95449,69126,70035,69301,Upgrade
3,Last Close Price,13400.00,14900.00,7400.00,6500.00,6900.00,8035.71,7321.43,8035.71,6875.00,6607.14,10446.43,10625.00,12117.35,11479.59,12568.37,11562.90,13430.20,10331.54,6545.11,6869.66,6815.57,Upgrade
4,PE Ratio,167.50,-,15.04,12.20,14.75,14.56,7.70,6.84,5.30,4.86,8.51,9.20,9.92,9.79,11.83,10.27,7.55,6.32,4.68,6.81,8.31,Upgrade
5,PS Ratio,0.57,0.64,0.35,0.33,0.36,0.35,0.27,0.26,0.22,0.23,0.44,0.52,0.64,0.64,0.76,0.66,0.41,0.37,0.24,0.30,0.37,Upgrade
6,PB Ratio,1.17,1.31,0.64,0.56,0.61,0.71,0.66,0.73,0.64,0.61,1.02,1.07,1.25,1.21,1.40,1.32,0.81,1.35,0.92,1.04,0.96,Upgrade
7,P/TBV Ratio,1.31,1.31,0.64,0.56,0.61,0.71,0.66,0.73,0.64,0.61,1.02,1.07,1.25,1.21,1.40,1.32,0.81,1.35,0.92,1.04,0.96,Upgrade
8,P/FCF Ratio,23.47,-,-11.39,-,-13.88,-,166.74,-,-,-,-,-,-,-8.92,-5.35,-,-8.25,-,-,22.81,-,Upgrade
