,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+5 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+5 Quarters
0,Cash & Equivalents,2916,2982,5922,8001,5681,3087,2756,-,7501,6225,3588,9151,13550,10240,9331,44104,3035,9548,12197,5203,Upgrade
1,Short-Term Investments,15401,14253,16094,16000,15200,2500,1000,-,1250,1250,1250,1250,500,500,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,18317,17234,22016,24001,20881,5587,3756,8751,8751,7475,4838,10401,14050,10740,9331,44104,3035,9548,12197,5203,Upgrade
3,Cash Growth,-12.28%,208.45%,486.15%,174.26%,138.60%,-25.26%,-22.36%,-15.86%,-37.71%,-30.40%,-48.15%,-76.42%,362.90%,12.48%,-23.50%,747.66%,-,887.39%,1267.52%,-,Upgrade
4,Accounts Receivable,67446,78289,81166,81164,87993,91236,89111,-,75580,79612,84538,73819,65846,63953,65907,64831,48513,51709,39195,44886,Upgrade
5,Other Receivables,114.13,460.03,724.03,407.57,222.72,107.82,129.04,-,938.82,689.8,682.27,674.26,647.42,279.99,237.79,305.07,317.78,350.37,340.94,11.56,Upgrade
6,Receivables,67560,78749,81890,81572,88216,91344,89240,-,76519,80302,85221,74494,66493,64233,66145,65136,48830,52060,39536,44897,Upgrade
7,Inventory,78226,76878,73345,71380,67119,63015,64231,-,69694,53626,44416,38219,40993,37724,30868,26655,28468,28192,29823,27257,Upgrade
8,Prepaid Expenses,161.43,409.5,551.87,690.88,164.17,306.95,587.16,-,244.58,371.5,647.16,636.57,145.98,228.11,373.46,505.66,148.28,258.52,388.1,380.87,Upgrade
9,Other Current Assets,318.72,322.52,152.34,303.36,117.92,2.18,909.69,-,567.51,1480,131.6,152.3,233.43,2498,2074,184.25,381.15,683.97,11874,9832,Upgrade
10,Total Current Assets,164583,173593,177955,177948,176498,160256,158724,-,155776,143255,135253,123903,121916,115424,108792,136585,80863,90742,93818,87570,Upgrade
11,"Property, Plant & Equipment",25356,26461,27504,28565,29666,30731,30396,-,31938,31118,30106,27212,28017,22853,24082,24553,22810,21492,10068,10548,Upgrade
12,Long-Term Investments,600,600,600,600,600,600,600,-,600,600,600,600,600,600,600,600,600,600,300,300,Upgrade
13,Other Long-Term Assets,1699,2479,2627,3254,3378,4362,4679,-,4706,3682,3994,3138,3446,2906,2744,3054,2867,2456,2605,2224,Upgrade
14,Total Assets,192239,203133,208686,210367,210142,195949,194398,-,193019,178655,169954,154852,153978,141783,136218,164792,107140,115290,106790,100642,Upgrade
15,Accounts Payable,19547,23187,22697,23533,26332,36829,36188,-,30559,18913,15907,9632,16110,12500,8992,17419,7571,22759,17068,20096,Upgrade
16,Accrued Expenses,1859,2030,1952,1625,722.96,1487,1536,-,676.49,1299,1386,1720,1425,1378,1317,1472,568.42,688.44,719.63,701.35,Upgrade
17,Short-Term Debt,61220,64288,70941,70197,68679,41575,40894,-,48611,48600,46355,39798,34133,29689,30344,30175,28931,29699,29511,27396,Upgrade
18,Current Income Taxes Payable,1233,2816,2717,5466,5082,4864,5391,-,3484,3750,4160,3370,3101,2049,1490,775.26,1379,1502,670.85,585.09,Upgrade
19,Current Unearned Revenue,1.6,4,6.4,8.8,31.76,4,7.2,-,6.4,16,25.6,35.2,4.01,8,-,-,-,-,-,-,Upgrade
20,Other Current Liabilities,156.99,287.95,204.27,560.82,784.92,158.48,86.96,-,16.3,261.12,81.11,15.89,0.24,23.68,13.62,10568,3960,4023,6657,2689,Upgrade
21,Total Current Liabilities,84016,92614,98518,101390,101633,84918,84103,-,83353,72838,67915,54570,54773,45648,42157,60411,42409,58671,54626,51468,Upgrade
22,Long-Term Debt,435.23,701.78,701.78,1477,1477,5869,5869,-,7211,9009,8086,8825,9618,10936,11026,23858,20592,15836,14143,8304,Upgrade
23,Long-Term Unearned Revenue,0.09,0.19,0.28,0.38,0.48,0.88,1.47,-,2.64,3.31,6.68,10.56,13.75,17.67,21.54,25.42,29.09,27.09,30.47,33.86,Upgrade
24,Total Liabilities,84452,93316,99220,102868,103111,90788,89974,-,90567,81850,76007,63406,64405,56601,53204,84294,63030,74534,68800,59806,Upgrade
25,Common Stock,94649,94649,94649,94649,84509,84509,84509,-,84509,84509,84509,75456,75456,67980,67980,67980,33000,33000,33000,33000,Upgrade
26,Retained Earnings,13272,15303,14952,12985,22656,20786,20049,-,18077,12429,9571,16124,14250,17336,15168,12518,11109,7756,4991,7836,Upgrade
27,Comprehensive Income & Other,-134.05,-134.05,-134.05,-134.05,-134.05,-134.05,-134.05,-,-134.05,-134.05,-134.05,-134.05,-134.05,-134.05,-134.05,-,-,-,-,-,Upgrade
28,Shareholders' Equity,107787,109817,109466,107499,107032,105162,104424,102452,102452,96805,93947,91447,89573,85181,83014,80498,44109,40756,37991,40836,Upgrade
29,Total Liabilities & Equity,192239,203133,208686,210367,210142,195949,194398,-,193019,178655,169954,154852,153978,141783,136218,164792,107140,115290,106790,100642,Upgrade
30,Total Debt,61655,64990,71643,71674,70156,47445,46763,55822,55822,57609,54441,48623,43751,40625,41370,54033,49524,45535,43654,35700,Upgrade
31,Net Cash (Debt),-43337,-47756,-49627,-47673,-49275,-41857,-43007,-47071,-47071,-50133,-49603,-38222,-29702,-29885,-32039,-9929,-46488,-35986,-31457,-30497,Upgrade
32,Net Cash Per Share,-4588.80,-5031.13,-5247.67,-4995.38,-5199.56,-4410.49,-4536.99,-4963.04,-4970.84,-5293.71,-5244.43,-4032.38,-3138.04,-3159.06,-3386.51,-1978.74,-10115.58,-7831.29,-6841.10,-6633.92,Upgrade
33,Filing Date Shares Outstanding,9.46,9.46,9.46,9.46,9.47,9.47,9.47,9.48,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,4.6,4.59,4.59,4.6,Upgrade
34,Total Common Shares Outstanding,9.46,9.46,9.46,9.46,9.47,9.47,9.47,9.48,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,4.6,4.59,4.59,4.6,Upgrade
35,Working Capital,80567,80980,79437,76557,74865,75338,74621,-,72423,70416,67339,69333,67143,69776,66635,76174,38454,32071,39192,36102,Upgrade
36,Book Value Per Share,11388.12,11602.65,11565.54,11357.72,11308.08,11110.51,11032.62,10824.28,10824.28,10227.58,9925.63,9661.32,9463.33,8999.23,8770.26,8504.46,9597.89,8869.95,8268.06,8883.00,Upgrade
37,Tangible Book Value,107787,109817,109466,107499,107032,105162,104424,102452,102452,96805,93947,91447,89573,85181,83014,80498,44109,40756,37991,40836,Upgrade
38,Tangible Book Value Per Share,11388.12,11602.65,11565.54,11357.72,11308.08,11110.51,11032.62,10824.28,10824.28,10227.58,9925.63,9661.32,9463.33,8999.23,8770.26,8504.46,9597.89,8869.95,8268.06,8883.00,Upgrade
39,Construction In Progress,745.95,745.95,745.95,745.95,745.95,745.95,745.95,-,1333,1466,745.95,745.95,745.95,-,183.25,-,13.4,13.4,198.64,71.6,Upgrade
