,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1926,2160,2055,2106,1625,1808,1230,1385,892.31,1697,Upgrade
1,Revenue Growth (YoY),-6.28%,2.57%,26.48%,16.51%,32.11%,30.53%,37.85%,-18.39%,-31.59%,6.42%,Upgrade
2,Cost of Revenue,1131,1255,1178,1290,992.44,1090,723.23,874.96,622.22,1233,Upgrade
3,Gross Profit,794.93,905.7,877.32,816.41,632.57,718.06,506.77,509.85,270.09,463.86,Upgrade
4,"Selling, General & Admin",692.52,691.97,733.91,649.77,598.54,552.59,510.77,492.95,390.09,434.09,Upgrade
5,Other Operating Expenses,-2.66,-1.57,-2.33,-1.55,-2.51,-2.67,-1.37,-7.58,-1.01,-3,Upgrade
6,Operating Expenses,689.87,690.4,731.58,648.22,596.03,549.92,509.39,485.37,389.09,431.09,Upgrade
7,Operating Income,105.07,215.29,145.74,168.19,36.53,168.14,-2.62,24.48,-119,32.77,Upgrade
8,Interest Expense,-30.38,-31.56,-32.62,-32.19,-26.97,-14.61,-15.87,-17.5,-17.09,-17.95,Upgrade
9,Interest & Investment Income,2.14,2.53,0.99,0.34,0.66,0.58,0.8,0.18,0.84,0.61,Upgrade
10,Other Non Operating Income (Expenses),-,-0.13,-,-2.71,-,-1.39,-,0,-0,0.36,Upgrade
11,EBT Excluding Unusual Items,76.82,186.14,114.11,133.63,10.23,152.71,-17.7,7.16,-135.26,15.79,Upgrade
12,Gain (Loss) on Sale of Assets,20.32,-1.68,0.87,0.69,6.66,-1.91,-0.26,0.97,-0.84,-0.05,Upgrade
13,Asset Writedown,-,-52.23,-,-35.98,-,-49.98,-,-36.35,-,-4.5,Upgrade
14,Other Unusual Items,-,0.21,-,2.92,3.03,1.11,0.52,8.08,3.23,-,Upgrade
15,Pretax Income,97.14,132.43,114.99,101.25,19.92,101.93,-17.44,-20.14,-132.87,11.24,Upgrade
16,Income Tax Expense,33.24,30.36,36.88,46.78,34.57,41.7,13.59,11.08,2.7,14,Upgrade
17,Earnings From Continuing Operations,63.9,102.07,78.11,54.47,-14.65,60.23,-31.04,-31.22,-135.57,-2.77,Upgrade
18,Minority Interest in Earnings,-1.37,-5.01,-3.93,-4.41,-4.65,-5.51,-2.56,-2.63,-0.02,-1.04,Upgrade
19,Net Income,62.53,97.06,74.18,50.07,-19.29,54.73,-33.59,-33.85,-135.59,-3.8,Upgrade
20,Net Income to Common,62.53,97.06,74.18,50.07,-19.29,54.73,-33.59,-33.85,-135.59,-3.8,Upgrade
21,Net Income Growth,-15.70%,93.86%,-,-8.51%,-,-,-,-,-,-,Upgrade
22,Shares Outstanding (Basic),272,272,272,272,272,272,272,272,272,272,Upgrade
23,Shares Outstanding (Diluted),275,272,272,272,272,272,272,272,272,272,Upgrade
24,Shares Change (YoY),1.20%,-,-,-,-,-,-,-,-,-,Upgrade
25,EPS (Basic),0.23,0.36,0.27,0.18,-0.07,0.20,-0.12,-0.12,-0.50,-0.01,Upgrade
26,EPS (Diluted),0.23,0.36,0.27,0.18,-0.07,0.20,-0.12,-0.12,-0.50,-0.01,Upgrade
27,EPS Growth,-14.81%,98.52%,-,-10.00%,-,-,-,-,-,-,Upgrade
28,Free Cash Flow,-258.03,338.75,34.7,115.7,-144.93,214.24,-65.22,181.52,-16.39,215.37,Upgrade
29,Free Cash Flow Per Share,-0.94,1.25,0.13,0.43,-0.53,0.79,-0.24,0.67,-0.06,0.79,Upgrade
30,Dividend Per Share,0.060,0.190,0.060,-,-,-,-,-,-,-,Upgrade
31,Operating Margin,5.45%,9.97%,7.09%,7.99%,2.25%,9.30%,-0.21%,1.77%,-13.34%,1.93%,Upgrade
32,Profit Margin,3.25%,4.49%,3.61%,2.38%,-1.19%,3.03%,-2.73%,-2.44%,-15.20%,-0.22%,Upgrade
33,Free Cash Flow Margin,-13.39%,15.68%,1.69%,5.49%,-8.92%,11.85%,-5.30%,13.11%,-1.84%,12.69%,Upgrade
34,EBITDA,176.89,278.56,215.26,225.79,96.49,218.25,55.24,80.46,-65.03,83.14,Upgrade
35,D&A For EBITDA,71.83,63.27,69.52,57.59,59.96,50.11,57.86,55.98,53.97,50.37,Upgrade
36,EBIT,105.07,215.29,145.74,168.19,36.53,168.14,-2.62,24.48,-119,32.77,Upgrade
