,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,2024,2288,4248,2760,-,-
1,Market Cap Growth,-17.10%,-17.10%,-,-,-,-
2,Enterprise Value,2672,2601,4396,2773,-,-
3,Last Close Price,2.53,2.86,5.31,3.45,-,-
4,PE Ratio,47.14,53.29,75.68,58.38,-,-
5,PS Ratio,12.89,14.57,25.29,18.57,-,-
6,PB Ratio,8.67,9.81,18.42,14.51,-,-
7,P/TBV Ratio,9.82,9.82,18.44,14.53,-,-
8,EV/Sales Ratio,17.02,16.57,26.17,18.65,-,-
9,EV/EBITDA Ratio,30.61,31.51,45.92,35.18,-,-
10,EV/EBIT Ratio,32.46,31.59,46.01,35.25,-,-
11,Debt / Equity Ratio,3.34,3.34,2.10,1.41,4.65,-
12,Debt / FCF Ratio,-,-,-,-,0.88,-
13,Return on Capital Employed (ROCE),34.50%,34.50%,40.06%,39.86%,120.32%,-
14,Earnings Yield,2.12%,1.88%,1.32%,1.71%,-,-
15,FCF Yield,-21.79%,-19.28%,-8.55%,-5.93%,-,-
16,Buyback Yield / Dilution,-23.08%,-14.29%,-33.33%,-16.67%,-,-
17,Total Shareholder Return,-23.08%,-14.29%,-33.33%,-16.67%,-,-
