,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,16.67,21.81,15.38,27.72,-
1,Cash & Short-Term Investments,16.67,21.81,15.38,27.72,-
2,Cash Growth,8.37%,-21.29%,-,-,-
3,Accounts Receivable,236.91,196.97,128.99,108.02,-
4,Other Receivables,1.17,0.63,0.73,1.52,-
5,Receivables,238.08,197.6,129.72,109.55,-
6,Total Current Assets,254.75,219.42,145.1,137.26,-
7,"Property, Plant & Equipment",0.63,0.93,1.13,0.35,-
8,Other Intangible Assets,0.03,0.03,0.04,0.04,-
9,Long-Term Deferred Tax Assets,1.36,1.1,0.88,0.86,-
10,Other Long-Term Assets,3.8,3.77,1.55,1.53,-
11,Total Assets,260.56,225.24,148.69,140.04,-
12,Accounts Payable,123.39,128.36,82.67,96.99,-
13,Accrued Expenses,0.38,0.35,0.33,0.31,-
14,Current Portion of Long-Term Debt,98.52,60.25,32.85,28.56,-
15,Current Portion of Leases,0.51,0.6,0.56,0.22,-
16,Current Income Taxes Payable,0.68,0.7,0.33,0.29,-
17,Current Unearned Revenue,6.45,4.17,5.28,4.33,-
18,Other Current Liabilities,0.08,0.26,1.48,2.48,-
19,Total Current Liabilities,230,194.7,123.51,133.18,-
20,Long-Term Debt,0.63,0.77,0.38,0.46,-
21,Long-Term Leases,0.05,0.25,0.54,0.09,-
22,Total Liabilities,230.68,195.72,124.42,133.73,-
23,Common Stock,8,8,8,0.01,-
24,Additional Paid-In Capital,7.95,7.95,-,-,-
25,Retained Earnings,13.96,13.62,-,6.43,-
26,Comprehensive Income & Other,-0.03,-0.05,16.27,-0.13,-
27,Shareholders' Equity,29.88,29.52,24.27,6.31,-
28,Total Liabilities & Equity,260.56,225.24,148.69,140.04,-
29,Total Debt,99.72,61.87,34.33,29.33,-
30,Net Cash (Debt),-83.05,-40.06,-18.94,-1.61,-
31,Net Cash Per Share,-0.10,-0.05,-0.03,-0.00,-
32,Filing Date Shares Outstanding,800,800,800,800,600
33,Total Common Shares Outstanding,800,800,800,800,600
34,Working Capital,24.74,24.72,21.59,4.08,-
35,Book Value Per Share,0.04,0.04,0.03,0.01,-
36,Tangible Book Value,29.85,29.49,24.24,6.27,-
37,Tangible Book Value Per Share,0.04,0.04,0.03,0.01,-
38,Machinery,-,0.15,-,0.07,-
