,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,7.37,12.74,8.76,10.2,6.23
1,Revenue Growth (YoY),-15.93%,24.88%,40.74%,-,-
2,Cost of Revenue,1.14,1.13,1.18,1.17,1.41
3,Gross Profit,6.23,11.61,7.59,9.03,4.82
4,"Selling, General & Admin",2.06,2.33,3.19,3.18,2.14
5,Other Operating Expenses,-0,-0,-0,-0.01,-0.01
6,Operating Expenses,3.63,3.67,3.3,3.28,2.32
7,Operating Income,2.6,7.95,4.28,5.75,2.5
8,Interest Expense,-2.68,-2.13,-2.02,-1.11,-0.8
9,Interest & Investment Income,0.33,0.23,0.1,0.02,-
10,Currency Exchange Gain (Loss),-0,-0,-0.02,-0.01,-0
11,EBT Excluding Unusual Items,0.24,6.05,2.34,4.66,1.7
12,Gain (Loss) on Sale of Investments,0.06,0.04,0.03,0.03,0.03
13,Pretax Income,0.3,6.09,2.37,4.68,1.73
14,Income Tax Expense,-0.04,0.93,0.35,0.68,0.24
15,Net Income,0.34,5.16,2.02,4.01,1.49
16,Net Income to Common,0.34,5.16,2.02,4.01,1.49
17,Net Income Growth,-83.30%,28.74%,36.30%,-,-
18,Shares Outstanding (Basic),800,800,700,600,600
19,Shares Outstanding (Diluted),800,800,700,600,600
20,Shares Change (YoY),14.29%,33.33%,16.67%,-,-
21,EPS (Basic),0.00,0.01,0.00,0.01,0.00
22,EPS (Diluted),0.00,0.01,0.00,0.01,0.00
23,EPS Growth,-85.40%,-3.44%,16.81%,-,-
24,Free Cash Flow,-40.31,-16.18,-30.31,9.44,24.05
25,Free Cash Flow Per Share,-0.05,-0.02,-0.04,0.02,0.04
26,Operating Margin,35.22%,62.39%,48.88%,56.39%,40.15%
27,Profit Margin,4.59%,40.51%,23.09%,39.30%,23.85%
28,Free Cash Flow Margin,-547.14%,-126.96%,-345.88%,92.51%,386.22%
29,EBITDA,2.61,7.96,4.3,5.76,2.51
30,D&A For EBITDA,0.02,0.01,0.01,0.01,0.01
31,EBIT,2.6,7.95,4.28,5.75,2.5
