,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,494.11,468.18,349.69,445.86,658.01,505.44,611,540.23,844.01,858.24,858.24,859.42,770.67,578.18,578.18,484.15
1,Other Revenue,-8.4,8.4,-,139.57,-88.91,88.91,-,133.12,-,-,-,40.35,-20.63,10.31,10.31,24.05
2,Revenue,485.72,476.57,349.69,585.43,569.1,594.36,611,673.35,844.01,858.24,858.24,899.78,750.05,588.49,588.49,508.19
3,Revenue Growth (YoY),-14.65%,-19.82%,-42.77%,-13.06%,-32.57%,-30.75%,-28.81%,-25.16%,12.53%,45.84%,45.84%,77.05%,-,-,-,-
4,Cost of Revenue,455.96,444.84,319.77,547.72,534.49,533.16,591.47,654.08,798.05,774.75,774.75,739.25,774.42,527.46,527.46,372.72
5,Gross Profit,29.76,31.74,29.92,37.71,34.61,61.2,19.53,19.27,45.96,83.49,83.49,160.53,-24.38,61.03,61.03,135.47
6,"Selling, General & Admin",14.11,16.75,21.5,20.26,12.94,15.53,14.88,6.32,14.42,16.48,16.48,57.54,-26.9,13.45,13.45,46.39
7,Research & Development,20.15,16.58,16.09,16.14,11.12,10.91,15.59,22.57,13.37,17.51,17.51,72.88,-42.22,21.11,21.11,48.92
8,Other Operating Expenses,-2.68,-12.21,-0.64,-20.2,-10.74,-9.56,-28.67,4.64,-8.26,-5.19,-5.19,-6.3,9.76,-4.88,-4.88,-2.26
9,Operating Expenses,31.76,28.73,26.29,24.73,13.69,26.93,-14.85,46.95,25.59,25.65,25.65,130.99,-58.86,29.43,29.43,96.28
10,Operating Income,-2,3.01,3.63,12.99,20.91,34.26,34.37,-27.67,20.38,57.84,57.84,29.54,34.49,31.6,31.6,39.2
11,Interest Expense,-5.08,-7.16,-5.84,-7.6,-,-18,-9.46,-13.28,-,-12.13,-12.13,-8.13,-0.79,-1.16,-1.16,-
12,Interest & Investment Income,0.91,1.57,0.79,1.54,1.66,0.6,0.57,0.95,9.73,0.69,0.69,1.63,2.33,0.39,0.39,1.57
13,Other Non Operating Income (Expenses),0.41,0.27,-0.12,-4.43,-10.51,4.36,-5.25,-1.23,-22.47,-0.03,-0.03,-13.07,5.1,-2.72,-2.72,-4.27
14,EBT Excluding Unusual Items,-5.76,-2.31,-1.54,2.49,12.06,21.22,20.23,-41.23,7.63,46.36,46.36,9.96,41.12,28.11,28.11,36.5
15,Gain (Loss) on Sale of Assets,-,-,-,0.02,-,-,-0.02,-1.33,-,0,0,0.06,-,-,-,-
16,Asset Writedown,4.88,-1.63,1.63,-6.59,6.54,4.71,-4.71,8.24,5.73,-7.02,-7.02,-0.47,0.36,-0.18,-0.18,-0.03
17,Other Unusual Items,0.89,7.18,0.65,2.78,-1.4,1.4,-,11.78,-,-,-,5.98,-2.39,1.19,1.19,20.37
18,Pretax Income,0.01,3.24,0.74,-1.3,17.2,27.34,15.5,-22.54,13.36,39.34,39.34,15.54,39.1,29.12,29.12,56.84
19,Income Tax Expense,-1.1,-1.74,-0.39,-0.03,-1.01,0.95,2.18,-28.34,-5.37,4.77,4.77,-7.33,6.1,4.55,4.55,2.17
20,Earnings From Continuing Operations,1.11,4.98,1.13,-1.28,18.21,26.38,13.32,5.8,18.73,34.58,34.58,22.88,32.99,24.58,24.58,54.67
21,Minority Interest in Earnings,0.16,-0.18,1.83,1.13,0.54,0.98,0.72,-0.28,-0.34,-0.37,-0.37,-0.49,-0.11,0.05,0.05,-0.69
22,Net Income,1.27,4.8,2.97,-0.15,18.75,27.37,14.04,5.52,18.38,34.21,34.21,22.38,32.88,24.63,24.63,53.98
23,Net Income to Common,1.27,4.8,2.97,-0.15,18.75,27.37,14.04,5.52,18.38,34.21,34.21,22.38,32.88,24.63,24.63,53.98
24,Net Income Growth,-93.24%,-82.46%,-78.88%,-,1.99%,-20.01%,-58.96%,-75.34%,-44.10%,38.90%,38.90%,-58.54%,-,-,-,-
25,Shares Outstanding (Basic),463,463,456,440,440,402,401,402,401,402,402,402,402,402,402,402
26,Shares Outstanding (Diluted),463,463,456,440,440,402,401,402,401,402,402,402,402,402,402,402
27,Shares Change (YoY),5.22%,15.08%,13.71%,9.37%,9.72%,0.12%,-0.10%,0.06%,-0.05%,-0.01%,-0.01%,-,-,-,-,-
28,EPS (Basic),0.00,0.01,0.01,-0.00,0.04,0.07,0.04,0.01,0.05,0.09,0.09,0.06,0.08,0.06,0.06,0.13
29,EPS (Diluted),0.00,0.01,0.01,-0.00,0.04,0.07,0.04,0.01,0.05,0.09,0.09,0.06,0.08,0.06,0.06,0.13
30,EPS Growth,-93.58%,-84.76%,-81.43%,-,-7.05%,-20.11%,-58.92%,-75.36%,-44.05%,38.91%,38.91%,-58.54%,-,-,-,-
31,Free Cash Flow,53.95,46.99,-40.32,329.41,-206.78,155.04,47.93,-175.72,56.5,9.16,9.16,-149.53,50.85,-101.54,-101.54,-13.96
32,Free Cash Flow Per Share,0.12,0.10,-0.09,0.75,-0.47,0.39,0.12,-0.44,0.14,0.02,0.02,-0.37,0.13,-0.25,-0.25,-0.03
33,Dividend Per Share,-,-,-,0.025,-,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,6.13%,6.66%,8.56%,6.44%,6.08%,10.30%,3.20%,2.86%,5.45%,9.73%,9.73%,17.84%,-3.25%,10.37%,10.37%,26.66%
35,Operating Margin,-0.41%,0.63%,1.04%,2.22%,3.68%,5.76%,5.63%,-4.11%,2.41%,6.74%,6.74%,3.28%,4.60%,5.37%,5.37%,7.71%
36,Profit Margin,0.26%,1.01%,0.85%,-0.03%,3.29%,4.60%,2.30%,0.82%,2.18%,3.99%,3.99%,2.49%,4.38%,4.19%,4.19%,10.62%
37,Free Cash Flow Margin,11.11%,9.86%,-11.53%,56.27%,-36.33%,26.08%,7.85%,-26.10%,6.69%,1.07%,1.07%,-16.62%,6.78%,-17.25%,-17.25%,-2.75%
38,EBITDA,21.88,27.96,27.52,36.87,40.29,57.68,53.75,-8.29,31.11,68.58,68.58,40.28,45.01,42.12,42.12,49.23
39,EBITDA Margin,4.50%,5.87%,7.87%,6.30%,7.08%,9.71%,8.80%,-1.23%,3.69%,7.99%,7.99%,4.48%,6.00%,7.16%,7.16%,9.69%
40,D&A For EBITDA,23.88,24.95,23.88,23.88,19.38,23.42,19.38,19.38,10.74,10.74,10.74,10.74,10.52,10.52,10.52,10.03
41,EBIT,-2,3.01,3.63,12.99,20.91,34.26,34.37,-27.67,20.38,57.84,57.84,29.54,34.49,31.6,31.6,39.2
42,EBIT Margin,-0.41%,0.63%,1.04%,2.22%,3.68%,5.76%,5.63%,-4.11%,2.41%,6.74%,6.74%,3.28%,4.60%,5.37%,5.37%,7.71%
43,Effective Tax Rate,-,-,-,-,-,3.48%,14.08%,-,-,12.11%,12.11%,-,15.61%,15.61%,15.61%,3.81%
44,Revenue as Reported,485.72,476.57,349.69,585.43,569.1,594.36,611,673.35,844.01,858.24,858.24,2827,-,588.49,588.49,1646
