,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,10249,11169,11886,14528,19373,23192,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-51.84%,-51.84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10310,11335,12253,14918,19762,23684,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,22.30,24.30,25.86,31.58,42.11,50.41,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,1153.75,1257.22,450.83,296.92,-,353.14,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.35,5.89,6.00,6.92,8.21,9.47,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,5.22,5.64,5.99,7.28,9.71,11.54,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,6.00,6.00,6.40,7.78,10.39,12.35,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,26.28,28.64,91.92,-,59.50,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,23.74,23.74,64.08,-,55.17,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.43,5.97,6.19,7.11,8.37,9.68,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,91.17,99.24,92.38,91.88,104.79,165.12,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,3635.80,-,302.23,207.78,192.74,382.74,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,26.43,29.06,94.76,-,60.70,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.28,0.28,0.27,0.34,0.38,0.37,0.49,0.68,0.68,-,-,0.48,0.48,0.33,0.33,0.33,0.20
15,Debt / EBITDA Ratio,4.89,6.31,4.70,6.16,5.06,4.55,3.70,5.43,-,-,-,2.83,4.16,2.88,3.07,3.07,1.52
16,Debt / FCF Ratio,1.42,1.42,4.13,-,2.35,-,10.27,-18.79,-,-,-,-4.06,-,-3.12,-,-,-
17,Asset Turnover,0.54,0.53,0.38,0.61,0.59,-,-,-,-,-,-,-,-,0.72,0.80,-,
18,Inventory Turnover,3.86,3.53,3.85,3.94,6.87,5.33,-,-,-,-,-,-,-,-,4.43,5.82,-
19,Quick Ratio,1.22,1.22,1.29,1.35,1.49,1.38,1.22,-,1.05,-,-,-,0.99,-,1.08,1.08,1.37
20,Current Ratio,1.57,1.57,1.69,1.65,1.67,1.63,1.50,-,1.34,-,-,-,1.34,-,1.45,1.45,1.65
21,Return on Equity (ROE),0.22%,1.00%,0.23%,-0.25%,3.88%,6.11%,3.12%,-,-,-,8.62%,5.81%,8.52%,6.35%,6.46%,-,
22,Return on Assets (ROA),-0.14%,0.21%,0.25%,0.84%,1.36%,-,-,-,-,-,-,-,-,2.43%,2.67%,-,
23,Return on Capital (ROIC),-0.20%,0.29%,0.33%,1.18%,1.95%,3.12%,2.99%,-,-,-,6.08%,3.32%,4.17%,3.82%,4.12%,-,
24,Return on Capital Employed (ROCE),0.15%,-,1.84%,3.28%,4.53%,2.66%,2.90%,-,-,-,-,-,6.65%,-,5.71%,3.95%,2.35%
25,Earnings Yield,0.09%,0.08%,0.22%,0.34%,0.31%,0.28%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,3.81%,3.49%,1.09%,1.63%,1.68%,-0.77%,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.11%,-,-,-,0.06%,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,385.21%,-,436.10%,119.85%,-,42.69%,47.67%,96.93%,210.13%,69.65%,46.63%,46.63%,151.55%,-,28.44%,28.44%,45.10%
29,Buyback Yield / Dilution,-10.71%,-5.22%,-15.08%,-13.71%,-9.37%,-9.72%,-0.12%,0.10%,-0.06%,0.05%,0.01%,0.01%,-,-,-,-,-
30,Total Shareholder Return,-10.60%,-5.22%,-15.08%,-13.71%,-9.31%,-9.72%,-0.12%,0.10%,-0.06%,0.05%,0.01%,0.01%,-,-,-,-,-
