,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,508.04,392.69,334.81,448.33,371.39,395.55,-,326.46,-,-,-,304.95,-,186.89,186.89,182.25
1,Cash & Short-Term Investments,508.04,392.69,334.81,448.33,371.39,395.55,326.46,326.46,-,-,304.95,304.95,186.89,186.89,186.89,182.25
2,Cash Growth,36.80%,-0.72%,2.56%,37.33%,-,-,7.05%,7.05%,-,-,63.17%,67.32%,-,-,-,-
3,Accounts Receivable,1395,1416,1608,1743,1878,1583,-,1801,-,-,-,1766,-,1393,1393,1179
4,Other Receivables,9.29,3.01,6.2,11.67,9.53,8.7,-,7.13,-,-,-,5.25,-,0.86,0.86,0.91
5,Receivables,1404,1419,1614,1755,1888,1592,-,1808,-,-,-,1771,-,1394,1394,1180
6,Inventory,518.19,515.26,408.68,239.78,397.89,405.06,-,554.56,-,-,-,644.44,-,476.38,476.38,248.56
7,Prepaid Expenses,-,-,-,0.03,-,-,-,0.34,-,-,-,0.19,-,0.19,0.19,0.19
8,Other Current Assets,26.53,38.95,35.78,37.06,17.53,34.52,-,22.87,-,-,-,105.07,-,64.52,64.52,31.98
9,Total Current Assets,2457,2366,2394,2480,2674,2427,-,2712,-,-,-,2826,-,2122,2122,1643
10,"Property, Plant & Equipment",901.47,922.9,926.07,949.06,951.12,970.1,-,1010,-,-,-,907.7,-,843.38,843.38,670.3
11,Long-Term Investments,34.32,34.64,36.29,37.91,53.66,55.95,-,58.27,-,-,-,58.95,-,59.98,59.98,59.38
12,Other Intangible Assets,102.24,103.03,103.83,104.38,105.16,105.93,-,107.52,-,-,-,110.34,-,111.74,111.74,113.29
13,Long-Term Deferred Tax Assets,62.65,64.46,65.05,64.41,59.3,59.1,-,67.37,-,-,-,18.11,-,11.19,11.19,17.37
14,Long-Term Deferred Charges,5.89,13.76,12.76,11.62,11.18,8.61,-,2.6,-,-,-,3.45,-,3.42,3.42,3.33
15,Other Long-Term Assets,95.21,97.14,100.24,98.3,110.59,110.4,-,103.92,-,-,-,91.41,-,104.37,104.37,156.79
16,Total Assets,3659,3602,3638,3746,3965,3737,-,4062,-,-,-,4016,-,3256,3256,2663
17,Accounts Payable,983.98,943.6,757.8,727.64,979.85,901.96,-,851.44,-,-,-,1188,-,849.37,849.37,638.61
18,Accrued Expenses,11.68,12.54,7.96,26.93,13.43,13.93,-,24.37,-,-,-,18.32,-,10.56,10.56,12.75
19,Short-Term Debt,354.75,314.57,482.91,549.57,462.49,598.89,-,918.24,-,-,-,542.75,-,343.06,343.06,196.18
20,Current Portion of Long-Term Debt,180.02,100.4,100.5,50,60.5,-,-,35,-,-,-,20,-,20,20,20
21,Current Portion of Leases,-,-,-,0.5,-,-,-,0.48,-,-,-,1.23,-,2.91,2.91,12.08
22,Current Income Taxes Payable,5.37,-,2.17,-,3.4,0.41,-,0.05,-,-,-,0.03,-,4.04,4.04,0.28
23,Current Unearned Revenue,5.88,5.63,7.25,3.03,4.59,5.26,-,1.49,-,-,-,-,-,0.7,0.7,2.74
24,Other Current Liabilities,28.09,23.81,87.71,124.1,117.08,101.84,-,192.16,-,-,-,331.83,-,231.68,231.68,112.35
25,Total Current Liabilities,1570,1401,1446,1482,1641,1622,-,2023,-,-,-,2102,-,1462,1462,994.99
26,Long-Term Debt,17.82,109.22,84.5,154.5,201.5,251.5,-,204.5,-,-,-,211.16,-,151.44,151.44,70.49
27,Long-Term Leases,-,10.48,9.85,9.73,9.61,9.5,-,9.26,-,-,-,-,-,0.29,0.29,1.47
28,Long-Term Unearned Revenue,18.6,46.4,20.15,50.65,21.23,21.99,-,58.65,-,-,-,26.53,-,71.3,71.3,29.6
29,Long-Term Deferred Tax Liabilities,48.15,50.34,53.28,53.28,50.39,51.77,-,56.98,-,-,-,31.99,-,22.64,22.64,23.46
30,Other Long-Term Liabilities,25.68,-,28.38,-,31.08,32.43,-,-,-,-,-,40.54,-,-,-,45.95
31,Total Liabilities,1680,1617,1642,1750,1955,1989,-,2353,-,-,-,2412,-,1708,1708,1166
32,Common Stock,459.62,459.62,459.62,459.62,459.62,401.62,-,401.62,-,-,-,401.62,-,401.62,401.62,401.62
33,Additional Paid-In Capital,1008,1008,1008,1008,1008,819.41,-,819.23,-,-,-,818.5,-,817.97,817.97,816.54
34,Retained Earnings,517.52,516.25,522.94,519.98,520.12,501.38,-,459.97,-,-,-,367.64,-,312.37,312.37,263.11
35,Comprehensive Income & Other,-21.98,-23.02,-19.22,-17.84,-4.45,-2.51,-,-0.53,-,-,-,0.04,-,0.92,0.92,0.41
36,Total Common Equity,1963,1961,1971,1970,1983,1720,1680,1680,-,-,1588,1588,1533,1533,1533,1482
37,Minority Interest,15.66,24.15,23.98,25.81,26.94,27.48,-,29.18,-,-,-,16.06,-,15.45,15.45,15.55
38,Shareholders' Equity,1979,1985,1995,1996,2010,1747,1709,1709,-,-,1604,1604,1548,1548,1548,1497
39,Total Liabilities & Equity,3659,3602,3638,3746,3965,3737,-,4062,-,-,-,4016,-,3256,3256,2663
40,Total Debt,552.59,534.67,677.76,764.29,734.11,859.88,1167,1167,-,-,775.14,775.14,517.7,517.7,517.7,300.22
41,Net Cash (Debt),-44.54,-141.98,-342.95,-315.97,-362.72,-464.33,-841.02,-841.02,-,-,-470.2,-470.2,-330.81,-330.81,-330.81,-117.97
42,Net Cash Per Share,-0.10,-0.31,-0.75,-0.72,-0.82,-1.15,-2.10,-2.09,-,-,-1.17,-1.17,-0.82,-0.82,-0.82,-0.29
43,Filing Date Shares Outstanding,459.62,459.62,459.62,459.62,459.62,401.62,401.19,401.84,401.43,401.57,401.57,401.62,401.62,401.62,401.62,401.62
44,Total Common Shares Outstanding,459.62,459.62,459.62,459.62,459.62,401.62,401.19,401.84,401.43,401.57,401.57,401.62,401.62,401.62,401.62,401.62
45,Working Capital,887.33,965.56,947.28,998.1,1033,804.48,-,688.83,-,-,-,724.12,-,659.92,659.92,647.72
46,Book Value Per Share,4.27,4.27,4.29,4.29,4.32,4.28,4.18,4.18,-,-,3.95,3.95,3.82,3.82,3.82,3.69
47,Tangible Book Value,1861,1858,1868,1865,1878,1614,1573,1573,-,-,1477,1477,1421,1421,1421,1368
48,Tangible Book Value Per Share,4.05,4.04,4.06,4.06,4.09,4.02,3.91,3.91,-,-,3.68,3.68,3.54,3.54,3.54,3.41
49,Buildings,-,490.87,-,493.86,-,-,-,493.18,-,-,-,438.25,-,168.09,168.09,168.09
50,Machinery,-,770.56,-,775.62,-,-,-,745.74,-,-,-,487.66,-,283.84,283.84,247.68
51,Construction In Progress,-,29.36,-,13.78,-,-,-,19.77,-,-,-,153.34,-,511.12,511.12,337.66
