,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,227,268.64,253.5,340.52,336.57,337.97,316.26,350.7,315.19,315.19
1,Revenue Growth (YoY),-32.55%,-20.51%,-19.84%,-2.90%,6.78%,7.23%,-,-,-,-
2,Cost of Revenue,-619.98,210.01,178.44,231.52,260.67,256.44,234.1,250.71,260.89,260.89
3,Gross Profit,846.98,58.62,75.06,109,75.9,81.53,82.16,99.99,54.3,54.3
4,"Selling, General & Admin",-70.79,22.83,23.4,24.57,19.61,23.79,18.47,22.96,14.27,14.27
5,Research & Development,-110.65,46.83,33.39,30.42,33.24,28.48,25.84,20.66,17.29,17.29
6,Other Operating Expenses,1026,-2.3,0.66,0.96,6.75,-0.33,-5.07,0.1,0.67,0.67
7,Operating Expenses,844.2,65.22,59.64,56.1,58.57,52.56,39.48,44.08,31.61,31.61
8,Operating Income,2.78,-6.6,15.42,52.9,17.33,28.97,42.69,55.91,22.69,22.69
9,Interest Expense,-21.52,-0.2,-,-1.01,-0.07,-0.17,-,-1.1,-0.08,-0.08
10,Interest & Investment Income,0.41,7.94,10.73,3.65,6.23,5.49,9.27,3.81,4.31,4.31
11,Currency Exchange Gain (Loss),-,0.01,-0.01,-,-0.11,0.31,-0.31,-,0.33,0.33
12,Other Non Operating Income (Expenses),0.14,0.08,-2.15,1.92,-1.92,0.18,-0.23,2.18,-0.04,-0.04
13,EBT Excluding Unusual Items,-18.18,1.23,23.99,57.47,21.47,34.78,51.42,60.79,27.2,27.2
14,Gain (Loss) on Sale of Assets,-1.78,-,1.78,-,-,-,-,-,-,-
15,Asset Writedown,-,-,0.35,-0.35,1.56,-1.56,0.42,-0.42,-,-
16,Other Unusual Items,-,-1.75,0.27,1.48,14.22,-,-,-,2.19,2.19
17,Pretax Income,-19.97,-0.53,26.39,58.61,37.25,33.22,51.84,60.37,29.39,29.39
18,Income Tax Expense,0.97,-2.06,1.65,2.92,7.54,1.11,0.91,2.65,1.14,1.14
19,Net Income,-20.94,1.53,24.74,55.69,29.72,32.11,50.93,57.72,28.25,28.25
20,Net Income to Common,-20.94,1.53,24.74,55.69,29.72,32.11,50.93,57.72,28.25,28.25
21,Net Income Growth,-,-95.22%,-51.42%,-3.51%,5.19%,13.64%,-,-,-,-
22,Shares Outstanding (Basic),124,118,111,90,90,91,89,90,90,90
23,Shares Outstanding (Diluted),124,118,111,90,90,91,89,90,90,90
24,Shares Change (YoY),38.16%,29.83%,24.45%,-0.39%,0.47%,1.57%,-,-,-,-
25,EPS (Basic),-0.17,0.01,0.22,0.62,0.33,0.35,0.57,0.64,0.32,0.32
26,EPS (Diluted),-0.17,0.01,0.22,0.62,0.33,0.35,0.57,0.64,0.32,0.32
27,EPS Growth,-,-96.32%,-60.97%,-3.13%,4.70%,11.89%,-,-,-,-
28,Free Cash Flow,-,-39.86,46.83,-88.67,17.6,-41.66,112.92,-92.4,14.4,14.4
29,Free Cash Flow Per Share,-,-0.34,0.42,-0.99,0.20,-0.46,1.26,-1.02,0.16,0.16
30,Dividend Per Share,-,-,-,-,0.428,-,-,-,-,-
31,Gross Margin,373.12%,21.82%,29.61%,32.01%,22.55%,24.12%,25.98%,28.51%,17.23%,17.23%
32,Operating Margin,1.23%,-2.46%,6.08%,15.54%,5.15%,8.57%,13.50%,15.94%,7.20%,7.20%
33,Profit Margin,-9.22%,0.57%,9.76%,16.36%,8.83%,9.50%,16.10%,16.46%,8.96%,8.96%
34,Free Cash Flow Margin,-,-14.84%,18.47%,-26.04%,5.23%,-12.33%,35.70%,-26.35%,4.57%,4.57%
35,EBITDA,7.87,-1.5,20.89,58,22.42,36.79,51.79,63.72,29.43,29.43
36,EBITDA Margin,3.47%,-0.56%,8.24%,17.03%,6.66%,10.88%,16.38%,18.17%,9.34%,9.34%
37,D&A For EBITDA,5.09,5.09,5.47,5.09,5.09,7.81,9.11,7.81,6.74,6.74
38,EBIT,2.78,-6.6,15.42,52.9,17.33,28.97,42.69,55.91,22.69,22.69
39,EBIT Margin,1.23%,-2.46%,6.08%,15.54%,5.15%,8.57%,13.50%,15.94%,7.20%,7.20%
40,Effective Tax Rate,-,-,6.24%,4.97%,20.23%,3.34%,1.76%,4.40%,3.87%,3.87%
41,Revenue as Reported,-,268.64,253.5,340.52,336.57,337.97,316.26,350.7,315.19,315.19
