,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,9637,9240,5676,6420,-,-,-,-,-,-,-
1,Enterprise Value,8542,8145,4374,5708,-,-,-,-,-,-,-
2,Last Close Price,80.31,77.00,47.30,53.01,-,-,-,-,-,-,-
3,PE Ratio,146.02,-,50.82,45.13,-,-,-,-,-,-,-
4,PS Ratio,8.18,8.48,4.73,5.06,-,-,-,-,-,-,-
5,PB Ratio,7.01,6.72,4.13,4.66,-,-,-,-,-,-,-
6,P/TBV Ratio,7.28,7.28,4.47,5.05,-,-,-,-,-,-,-
7,P/FCF Ratio,-,-,-,-97.42,-,-,-,-,-,-,-
8,P/OCF Ratio,-,-,-,308.90,-,-,-,-,-,-,-
9,EV/Sales Ratio,7.84,7.47,3.65,4.50,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,100.64,95.53,-,41.33,-,-,-,-,-,-,-
11,EV/EBIT Ratio,132.42,126.27,-,49.80,-,-,-,-,-,-,-
12,EV/FCF Ratio,-,-,-,-86.61,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.01,0.01
14,Debt / EBITDA Ratio,0.10,0.26,-,0.09,0.04,0.10,-,0.02,0.03,0.03,0.03
15,Debt / FCF Ratio,-,-,-,-0.13,-,-3.24,-,0.10,-,0.14,0.28
16,Asset Turnover,-,0.61,0.65,-,-,-,-,-,1.07,-,
17,Inventory Turnover,-,-,5.40,3.82,-,-,-,-,-,8.10,-
18,Quick Ratio,-,-,3.56,3.17,1.94,1.64,-,1.38,-,1.10,1.10
19,Current Ratio,-,-,4.27,3.63,2.56,2.14,-,1.78,-,1.39,1.39
20,Return on Equity (ROE),-6.09%,0.45%,8.78%,-,-,-,29.24%,-,20.16%,-,
21,Return on Assets (ROA),-,-0.93%,2.48%,-,-,-,-,-,4.80%,-,
22,Return on Capital (ROIC),0.50%,-1.19%,3.39%,-,-,-,15.19%,-,10.05%,-,
23,Return on Capital Employed (ROCE),-,-,-,8.30%,16.06%,17.54%,-,18.93%,-,7.97%,3.98%
24,Earnings Yield,0.63%,0.66%,1.97%,2.22%,-,-,-,-,-,-,-
25,FCF Yield,-,-1.13%,-1.03%,-,-,-,-,-,-,-,
26,Payout Ratio,0.00%,-,3232.93%,-,-,-,-,-,-,-,-
27,Buyback Yield / Dilution,-23.02%,-38.16%,-29.83%,-24.45%,0.39%,-0.47%,-1.57%,-,-,-,-
28,Total Shareholder Return,-22.52%,-38.16%,-29.83%,-24.45%,0.39%,-0.47%,-1.57%,-,-,-,-
