,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,969.46,1100,491.19,412.06,-,448.84,-,543.78,543.78
1,Short-Term Investments,-,-,110.05,100.88,108.3,-,84.3,-,-,-
2,Trading Asset Securities,-,134.23,100.67,130.49,300.88,-,291.42,-,62.09,62.09
3,Cash & Short-Term Investments,1104,1104,1311,722.56,821.23,-,824.55,791.72,605.87,605.87
4,Cash Growth,34.39%,-,58.95%,-8.74%,35.55%,-,-,-,-,-
5,Accounts Receivable,-,110.93,50.82,72.46,44.03,-,66.27,-,67.73,67.73
6,Other Receivables,-,15.32,0.31,0.31,0.3,-,-,-,1.51,1.51
7,Receivables,-,126.25,51.13,72.77,44.33,-,66.27,-,69.24,69.24
8,Inventory,-,133.9,177.1,196.47,202.02,-,176.04,-,128.78,128.78
9,Other Current Assets,-,110.89,20.79,58.65,62.92,-,84.38,-,48.52,48.52
10,Total Current Assets,-,1475,1560,1050,1131,-,1151,-,852.41,852.41
11,"Property, Plant & Equipment",-,46.99,50.23,41.85,42.16,-,35.15,-,39.13,39.13
12,Long-Term Investments,-,84.7,82.08,89.75,80.83,-,106.55,-,185.85,185.85
13,Other Intangible Assets,-,105.85,106.91,99.27,86.14,-,99.83,-,83.4,83.4
14,Long-Term Deferred Tax Assets,-,6.26,4.71,4.57,6.98,-,11.85,-,18.95,18.95
15,Long-Term Deferred Charges,-,-,0.08,0.2,0.32,-,0.68,-,1.46,1.46
16,Other Long-Term Assets,-,7.02,7.02,7.02,7.02,-,1.19,-,-,-
17,Total Assets,-,1726,1811,1293,1354,-,1406,-,1181,1181
18,Accounts Payable,-,81.94,64.1,75.83,107.76,-,149.71,-,149.14,149.14
19,Accrued Expenses,-,20.56,29.75,20.41,45.87,-,28.62,-,26.02,26.02
20,Current Portion of Leases,-,5.41,4.83,4.21,4.92,-,2.6,-,-,-
21,Current Income Taxes Payable,-,3.42,1.3,6.28,0.92,-,0.19,-,6.8,6.8
22,Current Unearned Revenue,-,201.69,226.22,268.22,307.25,-,372.34,-,377.4,377.4
23,Other Current Liabilities,-,31.99,103.85,34.89,61.27,-,92.35,-,52.21,52.21
24,Total Current Liabilities,-,345.02,430.05,409.84,528,-,645.81,-,611.57,611.57
25,Long-Term Leases,-,2.91,3.6,6.09,6.58,-,2.53,-,4.03,4.03
26,Long-Term Unearned Revenue,-,2.14,-,-,-,-,-,-,5.08,5.08
27,Total Liabilities,-,350.06,433.65,415.93,534.58,-,648.34,-,620.68,620.68
28,Common Stock,-,120,120,90,90,-,90,-,90,90
29,Additional Paid-In Capital,-,917.7,915.06,420.01,418.38,-,413.03,-,375.27,375.27
30,Retained Earnings,-,331.99,330.46,357.08,301.39,-,239.56,-,92.78,92.78
31,Comprehensive Income & Other,-,5.79,11.49,10.09,9.61,-,15.56,-,2.48,2.48
32,Shareholders' Equity,1375,1375,1377,877.18,819.38,-,758.15,635.1,560.53,560.53
33,Total Liabilities & Equity,-,1726,1811,1293,1354,-,1406,-,1181,1181
34,Total Debt,8.32,8.32,8.43,10.3,11.5,-,5.14,7.08,4.03,4.03
35,Net Cash (Debt),1095,1095,1302,712.26,809.73,-,819.42,784.64,601.85,601.85
36,Net Cash Growth,35.27%,-,58.92%,-9.22%,34.54%,-,-,-,-,-
37,Net Cash Per Share,8.80,9.26,11.70,7.93,8.99,-,9.17,8.70,6.71,6.71
38,Filing Date Shares Outstanding,124.49,120,120,90,120,91.1,90,90.18,90,90
39,Total Common Shares Outstanding,124.49,120,120,90,90,91.1,90,90.18,90,90
40,Working Capital,-,1130,1130,640.61,602.51,-,505.44,-,240.84,240.84
41,Book Value Per Share,11.46,11.46,11.48,9.75,9.10,-,8.42,7.03,6.23,6.23
42,Tangible Book Value,1270,1270,1270,777.91,733.24,-,658.32,545.09,477.12,477.12
43,Tangible Book Value Per Share,10.58,10.58,10.58,8.64,8.15,-,7.31,6.03,5.30,5.30
44,Buildings,-,-,7.3,-,7.3,-,7.3,-,7.3,7.3
45,Machinery,-,-,59.69,-,49.55,-,43.22,-,40.56,40.56
