,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,487.23,794.56,261.14,724.75,283.52
1,Revenue Growth (YoY),86.58%,9.63%,-7.89%,-,-
2,Cost of Revenue,307.13,524.02,204.12,450.13,244.7
3,Gross Profit,180.1,270.54,57.02,274.62,38.83
4,"Selling, General & Admin",444.12,531.79,368.36,435.86,334.02
5,Research & Development,227.52,266.17,224.34,223.29,205
6,Other Operating Expenses,7.14,-5.6,3.01,-10.64,7.41
7,Operating Expenses,760.44,929.37,603.69,689.03,552.29
8,Operating Income,-580.34,-658.83,-546.67,-414.42,-513.46
9,Interest Expense,-17.06,-6.13,-8.82,-9,-15.44
10,Interest & Investment Income,11.49,4.71,3.37,1.1,2.53
11,Earnings From Equity Investments,-,-0.07,-,-26.27,3.78
12,Currency Exchange Gain (Loss),14.72,-7.32,8.02,10.28,10.36
13,Other Non Operating Income (Expenses),18.6,-1.75,0.7,1.52,-4
14,EBT Excluding Unusual Items,-552.58,-669.39,-543.41,-436.78,-516.24
15,Impairment of Goodwill,-,-23.37,-,-,-
16,Gain (Loss) on Sale of Investments,-1.06,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.04,14.54,-15.46,-17.51,-0.33
18,Other Unusual Items,22.43,-1.39,11.25,-1.83,1.83
19,Pretax Income,-531.17,-679.6,-547.63,-456.12,-514.74
20,Income Tax Expense,8.64,37.07,0.29,16.09,0.42
21,Earnings From Continuing Operations,-539.81,-716.67,-547.92,-472.21,-515.16
22,Minority Interest in Earnings,23.45,15.42,15.12,7.3,5.26
23,Net Income,-516.35,-701.26,-532.79,-464.91,-509.9
24,Net Income to Common,-516.35,-701.26,-532.79,-464.91,-509.9
25,Shares Outstanding (Basic),418,407,404,394,384
26,Shares Outstanding (Diluted),418,407,404,394,384
27,Shares Change (YoY),3.60%,3.15%,5.08%,-,-
28,EPS (Basic),-1.23,-1.72,-1.32,-1.18,-1.33
29,EPS (Diluted),-1.23,-1.72,-1.32,-1.18,-1.33
30,Free Cash Flow,-584.88,-767.72,-768.11,-630.76,-227.15
31,Free Cash Flow Per Share,-1.40,-1.89,-1.90,-1.60,-0.59
32,Operating Margin,-119.11%,-82.92%,-209.34%,-57.18%,-181.10%
33,Profit Margin,-105.98%,-88.26%,-204.03%,-64.15%,-179.85%
34,Free Cash Flow Margin,-120.04%,-96.62%,-294.14%,-87.03%,-80.12%
35,EBITDA,-566.44,-644.91,-527.46,-397.04,-486.85
36,D&A For EBITDA,13.9,13.92,19.21,17.38,26.61
37,EBIT,-580.34,-658.83,-546.67,-414.42,-513.46
38,Advertising Expenses,64.2,-,43.9,-,21.37
