,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,210,220,284,952,1669,8581,7312,8596,8971,8433,8566
1,Market Cap Growth,-76.84%,-76.84%,-83.00%,-88.91%,-77.17%,-0.18%,-18.49%,1.94%,4.73%,-4.87%,-10.42%
2,Enterprise Value,32161,32982,35847,37990,45796,53974,50225,47352,40099,35364,32776
3,Last Close Price,0.06,0.07,0.09,0.28,0.50,2.57,2.19,2.44,2.55,2.28,2.32
4,PE Ratio,-,-,-,-,-,-,4.78,4.15,4.55,5.48,5.22
5,Forward PE,-,0.51,0.51,0.75,1.15,4.34,3.30,4.42,4.10,4.75,-
6,PS Ratio,0.01,0.01,0.01,0.07,0.07,0.28,0.22,0.30,0.37,0.37,0.50
7,PB Ratio,0.07,0.02,0.02,0.04,0.06,0.24,0.19,0.24,0.28,0.38,0.42
8,P/TBV Ratio,0.07,0.07,0.06,0.10,0.12,0.49,0.38,0.46,0.50,0.54,0.55
9,P/FCF Ratio,-,-0.38,-,0.39,0.92,2.92,17.28,-,-,-,8.60
10,P/OCF Ratio,-,-0.39,-,0.39,0.91,2.91,16.26,-,-,-,7.74
11,EV/Sales Ratio,1.52,1.56,1.64,2.60,2.02,1.75,1.53,1.68,1.67,1.54,1.93
12,EV/EBITDA Ratio,-,-32.68,-,-,-,19.03,12.58,13.15,12.71,10.01,13.62
13,EV/EBIT Ratio,-,-31.31,-,-,-,19.65,12.87,13.45,13.04,10.28,14.14
14,EV/FCF Ratio,-55.36,-56.77,-,15.75,25.20,18.40,118.72,-,-,-,32.91
15,Debt / Equity Ratio,1.82,1.82,1.51,1.21,1.08,0.96,1.13,1.17,1.24,1.68,1.69
16,Debt / FCF Ratio,-,-41.42,-,10.79,16.05,11.70,104.03,-,-,-,34.26
17,Return on Capital Employed (ROCE),-,-5.21%,-,-,-,4.82%,5.43%,5.09%,4.92%,7.03%,5.38%
18,Earnings Yield,-3240.16%,-3092.88%,-2800.51%,-663.81%,-262.85%,-2.52%,20.92%,24.10%,21.99%,18.24%,19.17%
19,FCF Yield,-276.17%,-263.62%,121.89%,253.55%,108.85%,34.19%,5.79%,-33.04%,-34.31%,17.23%,11.63%
20,Buyback Yield / Dilution,0.00%,-,0.00%,0.28%,-0.08%,0.26%,0.55%,-0.27%,-0.16%,0.23%,-1.13%
21,Total Shareholder Return,0.00%,-,0.00%,0.28%,-0.08%,0.26%,0.55%,-0.27%,-0.16%,0.23%,-1.13%
