,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,6006,13696,6099,7404,12609,13703,12964,10535,9624,11262
1,Revenue Growth (YoY),-1.51%,84.98%,-51.63%,-45.97%,-2.74%,30.07%,34.71%,-6.46%,146.29%,109.53%
2,Cost of Revenue,5474,14452,6012,7563,10785,11351,10234,8462,7189,8581
3,Gross Profit,532.03,-756.02,86.3,-159.14,1825,2351,2730,2073,2434,2681
4,"Selling, General & Admin",298.42,458.02,412.41,631.23,750.3,1081,820.47,1056,862.78,1117
5,Operating Expenses,298.42,458.02,412.41,631.23,750.3,1081,820.47,1056,862.78,1117
6,Operating Income,233.61,-1214,-326.12,-790.38,1074,1271,1910,1018,1572,1564
7,Interest Expense,-749.16,-858.8,-824.64,-594.72,-695.26,-594.09,-524.59,-580.72,-425.19,-450.48
8,Interest & Investment Income,4.2,8.29,20.27,22.26,21.95,102.18,56.37,186.14,59.41,161.2
9,Earnings From Equity Investments,-329.44,-402.63,-260.66,-95.01,-491.11,284.56,35.27,210.17,232.9,481.83
10,Currency Exchange Gain (Loss),-77.56,249.1,-445.93,-272.17,-410.47,127.07,29.97,280.5,-,1.43
11,Other Non Operating Income (Expenses),-255.31,-48.06,-658.53,-687.7,-4.85,8.28,-3.23,18.12,-4.88,-79.73
12,EBT Excluding Unusual Items,-1174,-2266,-2496,-2418,-505.33,1199,1503,1132,1434,1678
13,Gain (Loss) on Sale of Investments,-,-79.8,-,-205.69,159.45,7,69.71,37.98,44.52,-26.69
14,Gain (Loss) on Sale of Assets,-,-17.57,-,-368.59,-,0.5,60.2,222.34,29.65,14.87
15,Asset Writedown,-412.14,-1946,-138.02,-421.8,-127.23,188.75,87.69,201.65,57.3,25.88
16,Other Unusual Items,0.92,-1.91,1.91,-2.65,553.93,4.33,4.56,-,-,-
17,Pretax Income,-1585,-4311,-2632,-3416,80.82,1399,1726,1594,1565,1692
18,Income Tax Expense,125.45,584.88,211.92,115.89,486.29,523.48,735.68,634.09,670.31,780.85
19,Earnings From Continuing Operations,-1710,-4896,-2844,-3532,-405.47,875.68,989.97,959.87,895.07,911.33
20,Minority Interest in Earnings,-73.72,336.93,188.23,341.85,-285.56,-369.15,-250.66,23.68,-217.65,-186.83
21,Net Income,-1784,-4559,-2655,-3190,-691.03,506.53,739.31,983.55,677.42,724.5
22,Net Income to Common,-1784,-4559,-2655,-3190,-691.03,506.53,739.31,983.55,677.42,724.5
23,Net Income Growth,-,-,-,-,-,-48.50%,9.14%,35.76%,-8.83%,-4.77%
24,Shares Outstanding (Basic),3339,3339,3339,3339,3338,3336,3326,3319,3319,3320
25,Shares Outstanding (Diluted),3339,3339,3339,3339,3348,3336,3357,3354,3348,3349
26,Shares Change (YoY),-,-0.00%,-0.28%,0.08%,-0.26%,-0.55%,0.27%,0.16%,-0.23%,1.13%
27,EPS (Basic),-0.53,-1.37,-0.80,-0.96,-0.21,0.15,0.22,0.30,0.20,0.22
28,EPS (Diluted),-0.53,-1.37,-0.80,-0.96,-0.21,0.15,0.22,0.30,0.20,0.22
29,EPS Growth,-,-,-,-,-,-49.66%,10.00%,35.78%,-9.09%,-5.60%
30,Free Cash Flow,34.05,-574.7,888.72,1344,263.22,2241,-1897,-464.98,-2126,3451
31,Free Cash Flow Per Share,0.01,-0.17,0.27,0.40,0.08,0.67,-0.57,-0.14,-0.64,1.03
32,Operating Margin,3.89%,-8.86%,-5.35%,-10.67%,8.52%,9.27%,14.73%,9.66%,16.33%,13.89%
33,Profit Margin,-29.70%,-33.29%,-43.54%,-43.09%,-5.48%,3.70%,5.70%,9.34%,7.04%,6.43%
34,Free Cash Flow Margin,0.57%,-4.20%,14.57%,18.15%,2.09%,16.36%,-14.63%,-4.41%,-22.09%,30.64%
35,EBITDA,252.87,-1192,-303.69,-763.6,1114,1307,1946,1049,1608,1612
36,D&A For EBITDA,19.26,21.98,22.42,26.77,39.66,36.49,35.97,30.96,36.84,48.24
37,EBIT,233.61,-1214,-326.12,-790.38,1074,1271,1910,1018,1572,1564
