,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,3340,3239,4473,2324,3373,2438,4944,3865,3778,2327,Upgrade
1,Short-Term Investments,1509,1272,1327,1247,366.5,387.86,150,109,589.54,1001,Upgrade
2,Trading Asset Securities,1631,1596,2107,1974,1796,2684,1043,1432,340.73,551.74,Upgrade
3,Cash & Short-Term Investments,6480,6106,7907,5544,5535,5510,6137,5406,4708,3880,Upgrade
4,Cash Growth,-18.05%,10.14%,42.84%,0.62%,-9.80%,1.92%,30.34%,39.33%,25.43%,10.78%,Upgrade
5,Accounts Receivable,2578,2355,2187,1784,1935,1765,1770,1553,1846,1813,Upgrade
6,Other Receivables,983.91,320.52,-,550.76,-,668.41,-,253.52,-,128.58,Upgrade
7,Receivables,3562,2675,2187,2334,1935,2434,1770,1807,1846,1942,Upgrade
8,Inventory,815.55,827.86,803.61,772.94,784.63,746.34,626.74,612.3,631.78,617.18,Upgrade
9,Prepaid Expenses,163.24,94.13,-,466.54,-,-,-,93.7,-,49.62,Upgrade
10,Restricted Cash,-,-,-,32,32.1,31.98,36.83,37.47,37.23,36.64,Upgrade
11,Other Current Assets,1516,999.44,2212,1636,1979,1675,2328,2014,1956,2997,Upgrade
12,Total Current Assets,12536,10703,13109,10786,10266,10397,10899,9970,9179,9522,Upgrade
13,"Property, Plant & Equipment",5259,5089,4676,4589,4351,4203,4162,4016,3787,3533,Upgrade
14,Long-Term Investments,1574,1968,598.58,1114,581.2,582.2,108.78,71.46,80.14,71.87,Upgrade
15,Goodwill,1024,1042,1044,1003,966.74,985.41,1027,1057,1051,1038,Upgrade
16,Other Intangible Assets,6503,4805,6209,4448,5673,4080,4947,3765,4762,4102,Upgrade
17,Long-Term Deferred Tax Assets,235.4,144.59,146.42,113.95,127.44,133.11,124.87,114.74,110.32,93.86,Upgrade
18,Long-Term Deferred Charges,-,1513,-,1536,-,1362,-,1005,-,583.75,Upgrade
19,Other Long-Term Assets,66.69,226.1,517.8,658.43,602.91,839.37,575.57,631.68,595.61,464.14,Upgrade
20,Total Assets,27198,25491,26300,24250,22568,22582,21844,20631,19565,19408,Upgrade
21,Accounts Payable,797.01,767.19,665.15,559.94,442.6,570.89,722.62,485.26,467.46,341.05,Upgrade
22,Accrued Expenses,-,746.77,752.27,686.18,-,430.41,4.42,210.47,21.69,344.65,Upgrade
23,Short-Term Debt,5456,4568,5365,4723,4731,4740,4296,5415,4116,3806,Upgrade
24,Current Portion of Long-Term Debt,1196,609.05,2382,2102,664.56,500.62,356.89,214.81,275.59,218.69,Upgrade
25,Current Portion of Leases,17.95,18.5,12.51,15.25,15.91,22.75,9.09,13.01,14.3,16.63,Upgrade
26,Current Income Taxes Payable,329.79,200.33,177.07,133.2,167.71,141.14,238.55,308.35,225.9,203.8,Upgrade
27,Current Unearned Revenue,29.42,156.55,65.11,72.83,69.24,70.99,81.36,131.19,33.74,66.9,Upgrade
28,Other Current Liabilities,1949,1071,1989,1195,1309,853.54,627.42,455.97,1155,704.62,Upgrade
29,Total Current Liabilities,9774,8138,11408,9487,7400,7330,6337,7234,6310,5703,Upgrade
30,Long-Term Debt,2734,3176,2079,2241,3758,4208,4238,4327,4570,4498,Upgrade
31,Long-Term Leases,50.09,52.15,28.43,23.24,17.07,19.21,6.64,11.73,12.91,12.33,Upgrade
