,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Rental Revenue,221.84,221.3,223.62,223.99,197.48
1,Total Revenue,221.84,221.3,223.62,223.99,197.48
2,Revenue Growth (YoY,-0.80%,-1.20%,13.24%,-,-
3,Property Expenses,42.27,52.45,42.93,47.39,30.52
4,"Selling, General & Administrative",17.2,19.83,17.61,15.3,16.67
5,Other Operating Expenses,-2.93,-10.76,-0.49,-5.94,4.39
6,Total Operating Expenses,56.54,61.52,60.05,56.75,51.58
7,Operating Income,165.3,159.78,163.57,167.24,145.9
8,Interest Expense,-55.67,-60.5,-53.46,-48.84,-24.35
9,Interest & Investment Income,4.26,4.32,4.88,3.32,0.22
10,Currency Exchange Gain (Loss),-0.74,0.58,-0.94,0.09,-0.77
11,EBT Excluding Unusual Items,113.15,104.18,114.05,121.81,121
12,Asset Writedown,-102.68,-16.09,71.1,90.85,210.38
13,Pretax Income,10.47,88.09,185.16,212.66,331.37
14,Income Tax Expense,-1.71,16.83,36.95,47.83,56.53
15,Net Income,12.18,71.26,148.21,164.83,274.84
16,Net Income to Common,12.18,71.26,148.21,164.83,274.84
17,Net Income Growth,-91.78%,-56.77%,-46.08%,-,-
18,Basic Shares Outstanding,808,803,800,800,800
19,Diluted Shares Outstanding,813,810,805,800,800
20,Shares Change (YoY),0.99%,1.21%,0.58%,-,-
21,EPS (Basic),0.02,0.09,0.19,0.21,0.34
22,EPS (Diluted),0.01,0.09,0.18,0.21,0.34
23,EPS Growth,-91.86%,-57.28%,-46.38%,-,-
24,Dividend Per Share,0.147,0.140,0.146,0.141,0.137
25,Dividend Growth,0.48%,-0.36%,7.10%,-,-
26,Operating Margin,74.51%,72.20%,73.15%,74.66%,73.88%
27,Profit Margin,5.49%,32.20%,66.28%,73.59%,139.18%
28,Free Cash Flow Margin,57.23%,57.76%,52.79%,33.06%,45.43%
29,EBITDA,166.37,160.9,164.63,168.04,146.67
30,D&A For Ebitda,1.07,1.12,1.06,0.8,0.77
31,EBIT,165.3,159.78,163.57,167.24,145.9
