,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,2350,2165,2149,2224,2328,2760
1,Market Cap Growth,18.85%,-2.64%,-7.70%,-19.42%,-,-
2,Enterprise Value,4761,4539,4539,4600,4666,4504
3,Last Close Price,2.88,2.53,2.39,2.36,2.35,2.67
4,PE Ratio,-,25.95,9.79,7.10,5.29,10.04
5,PS Ratio,5.24,4.89,4.83,4.97,5.52,13.98
6,PB Ratio,0.64,0.52,0.51,0.52,0.55,0.65
7,P/FCF Ratio,-,8.50,8.74,11.58,14.22,30.76
8,P/OCF Ratio,-,8.50,8.74,11.58,14.22,30.76
9,EV/Sales Ratio,10.67,10.24,10.20,10.28,11.07,22.81
10,EV/EBITDA Ratio,13.18,13.87,13.94,13.83,14.83,30.71
11,EV/EBIT Ratio,13.26,13.96,14.04,13.91,14.90,30.87
12,EV/FCF Ratio,-,17.81,18.46,23.95,28.49,50.20
13,Debt / Equity Ratio,0.68,0.61,0.61,0.61,0.62,0.64
14,Debt / FCF Ratio,-,9.94,10.43,13.60,16.18,30.08
15,Earnings Yield,-12.53%,3.85%,10.21%,14.08%,18.89%,9.96%
16,FCF Yield,11.77%,11.44%,8.64%,7.03%,3.25%,
17,Dividend Yield,9.98%,11.35%,12.00%,12.18%,11.78%,5.12%
18,Buyback Yield / Dilution,-0.47%,-0.99%,-1.21%,-0.58%,-,-
19,Total Shareholder Return,9.51%,10.36%,10.79%,11.60%,11.78%,5.12%
