,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,330,308,341,329,412,707,789,515,1077,846,1031
1,Market Cap Growth,-6.43%,-6.43%,-17.18%,-53.40%,-47.83%,37.33%,-26.75%,-39.19%,4.45%,-48.47%,7.49%
2,Enterprise Value,837,835,796,815,1021,1323,1423,1236,1778,1596,1780
3,Last Close Price,0.51,0.45,0.47,0.40,0.46,0.77,0.85,0.54,1.13,0.90,1.10
4,PE Ratio,7.64,6.96,6.68,4.63,6.21,13.78,14.59,92.75,-,17.29,11.42
5,Forward PE,-,10.04,10.04,10.04,10.04,10.04,9.79,5.09,-,-,-
6,PS Ratio,0.33,0.30,0.35,0.32,0.37,0.59,0.65,0.48,1.21,1.10,1.33
7,PB Ratio,0.40,0.37,0.40,0.37,0.46,0.78,0.86,0.57,1.23,0.99,1.19
8,P/TBV Ratio,0.37,0.37,0.40,0.37,0.46,0.78,0.86,0.57,1.23,0.99,1.19
9,P/FCF Ratio,0.85,0.79,0.96,0.86,1.04,1.83,1.75,2.32,-,27.82,-
10,P/OCF Ratio,0.73,0.73,0.89,0.81,0.98,1.67,1.65,2.16,-,5.34,21.04
11,EV/Sales Ratio,0.82,0.81,0.81,0.79,0.93,1.10,1.18,1.15,2.00,2.07,2.29
12,EV/EBITDA Ratio,6.40,6.51,6.24,5.47,6.93,11.55,12.07,17.66,34.44,13.99,12.68
13,EV/EBIT Ratio,9.70,9.67,9.82,8.58,11.09,18.58,17.44,34.56,-,22.48,17.48
14,EV/FCF Ratio,2.15,2.14,2.23,2.13,2.59,3.42,3.15,5.58,-,52.47,-
15,Debt / Equity Ratio,0.75,0.75,0.74,0.64,0.64,0.79,0.74,0.78,0.91,0.87,0.90
16,Debt / FCF Ratio,1.59,1.59,1.75,1.48,1.45,1.84,1.51,3.19,-,24.46,-
17,Return on Capital Employed (ROCE),9.86%,9.86%,9.03%,10.32%,10.04%,7.43%,8.20%,3.84%,-,8.17%,11.51%
18,Earnings Yield,13.42%,14.37%,14.96%,21.58%,16.10%,7.26%,6.85%,1.08%,-1.50%,5.78%,8.76%
19,FCF Yield,118.12%,126.42%,104.69%,116.23%,95.91%,54.67%,57.30%,43.05%,5.25%,3.60%,-12.65%
20,Dividend Yield,11.57%,13.19%,15.21%,19.95%,11.80%,3.66%,2.83%,2.42%,-,-,2.72%
21,Buyback Yield / Dilution,3.33%,4.44%,2.22%,-,0.02%,-0.02%,-1.54%,-3.79%,-6.55%,-7.70%,-3.20%
22,Total Shareholder Return,14.90%,17.63%,17.43%,19.95%,11.82%,3.64%,1.29%,-1.38%,-6.55%,-7.70%,-0.48%
