,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,333960,307340,290396,231000,217800,154000,106000,82000,102000,-,-
1,Market Cap Growth,-,99.57%,173.96%,181.71%,113.53%,-,-,-,-,-,-
2,Enterprise Value,292068,284895,274615,198394,187966,124166,-,-,-,-,-
3,Last Close Price,13800.00,12700.00,12000.00,9545.45,9000.00,6363.64,4380.17,3388.43,4214.88,-,-
4,PE Ratio,26.91,16.01,18.67,17.17,18.44,22.49,12.81,7.84,10.07,-,-
5,PS Ratio,1.71,1.63,1.86,1.60,1.75,1.18,0.81,0.61,0.87,-,-
6,PB Ratio,1.30,1.17,1.13,0.92,0.87,0.64,0.44,-,-,-,-
7,P/TBV Ratio,1.56,1.56,1.52,1.25,1.19,0.90,0.62,-,-,-,-
8,P/FCF Ratio,22.80,-122.16,-,-,-,18.26,-,-,-,-,-
9,P/OCF Ratio,19.60,-122.16,-,-,-,18.26,-,-,-,-,-
10,EV/Sales Ratio,1.50,1.51,1.76,1.37,1.51,0.95,-,-,-,-,-
11,EV/EBITDA Ratio,12.88,14.51,19.96,20.49,-,18.65,-,-,-,-,-
12,EV/EBIT Ratio,17.44,13.26,17.65,17.35,22.54,18.94,-,-,-,-,-
13,EV/FCF Ratio,19.94,-113.24,-,-,-,14.72,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.05,0.11,0.03,0.06,0.06,-,-,-,-
15,Debt / EBITDA Ratio,0.25,0.17,0.46,1.62,-,1.10,1.50,-,-,-,-
16,Debt / FCF Ratio,0.42,-2.47,-,-,-,1.64,-,-,-,-,-
17,Asset Turnover,0.95,-,0.53,-,-,-,-,-,-,-,
18,Inventory Turnover,3.33,4.18,-,2.13,-,-,-,-,-,-,-
19,Quick Ratio,2.55,2.55,1.77,1.15,2.36,-,3.14,-,-,-,-
20,Current Ratio,4.95,4.95,4.20,2.88,4.81,-,6.49,-,-,-,-
21,Return on Equity (ROE),8.71%,-,3.27%,-,3.16%,-,-,-,-,-,
22,Return on Assets (ROA),6.70%,-,2.43%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),7.04%,-,2.56%,-,1.62%,-,-,-,-,-,
24,Return on Capital Employed (ROCE),7.34%,8.19%,6.06%,4.54%,3.34%,-,3.79%,-,-,-,-
25,Earnings Yield,3.72%,6.25%,5.36%,5.82%,5.42%,4.45%,7.80%,12.76%,9.94%,-,-
26,FCF Yield,4.39%,-0.82%,-,-3.29%,-,5.48%,-,0.60%,-,-,-
27,Payout Ratio,3.55%,-,-,22.34%,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,-,-1.21%,-,-14.94%,-,-4.66%,-,-,-,-,
29,Total Shareholder Return,-,-1.21%,-,-14.94%,-,-4.66%,-,-,-,-,
