,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,66603,38708,37605,45738,33924,27129,17860,52118,32979,31970
1,Revenue Growth (YoY),96.33%,42.68%,110.56%,-12.24%,2.86%,-15.14%,-,-,-,-
2,Cost of Revenue,53929,30740,31529,35709,29182,23386,15147,43569,25791,25170
3,Gross Profit,12674,7968,6076,10030,4742,3742,2713,8550,7188,6800
4,"Selling, General & Admin",5118,3069,3330,3749,3109,2970,3060,4052,3057,2894
5,Operating Expenses,5118,3069,3330,3749,3109,2970,3060,4052,3057,2894
6,Operating Income,7556,4898,2746,6281,1633,772.39,-347.25,4498,4131,3906
7,Interest Expense,-159.55,-161.51,-262.32,-226.5,-63.2,-505.43,-387.51,-586.98,-509.52,-510.49
8,Interest & Investment Income,-,611.94,430.67,949.95,800.91,880.88,1330,1278,627.78,457.06
9,Earnings From Equity Investments,-799.87,-815.27,-,3493,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),-241.95,-,-,-,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),1092,-407.04,-217.27,210.12,120.89,68.39,-0.65,71.43,-18.69,-10.06
12,EBT Excluding Unusual Items,7447,4127,2698,10707,2492,1216,594.96,5260,4231,3843
13,Gain (Loss) on Sale of Assets,5.83,-,-,-,-,-,-,-,-,-
14,Pretax Income,7453,4127,2698,10707,2492,1216,594.96,5260,4231,3843
15,Income Tax Expense,1805,1102,647.82,1552,607.12,352.03,226.22,1151,953.42,814.76
16,Earnings From Continuing Operations,5648,3025,2050,9156,1885,864.2,368.74,4110,3277,3028
17,Minority Interest in Earnings,-206.74,-128.03,-79.95,-263.49,-85.58,-73.75,-37.33,-184.13,-51.65,-45.11
18,Net Income,5442,2897,1970,8892,1799,790.44,331.41,3925,3226,2983
19,Net Income to Common,5442,2897,1970,8892,1799,790.44,331.41,3925,3226,2983
20,Net Income Growth,202.45%,266.46%,494.35%,126.52%,-44.22%,-73.50%,-,-,-,-
21,Shares Outstanding (Basic),24,24,-,24,-,24,-,21,24,23
22,Shares Outstanding (Diluted),24,24,-,24,-,24,-,21,24,23
23,Shares Change (YoY),-,1.21%,-,14.94%,-,4.66%,-,-,-,-
24,EPS (Basic),224.86,119.70,-,367.27,-,33.06,-,186.36,133.06,130.58
25,EPS (Diluted),224.86,119.70,-,367.27,-,33.06,-,186.36,133.06,130.58
26,EPS Growth,-,262.09%,-,97.07%,-,-74.68%,-,-,-,-
27,Free Cash Flow,21106,-,-23622,-,16017,-,-7584,-,4040,4040
28,Free Cash Flow Per Share,872.15,-,-,-,-,-,-,-,166.66,176.84
29,Gross Margin,19.03%,20.58%,16.16%,21.93%,13.98%,13.79%,15.19%,16.40%,21.80%,21.27%
30,Operating Margin,11.35%,12.65%,7.30%,13.73%,4.81%,2.85%,-1.94%,8.63%,12.53%,12.22%
31,Profit Margin,8.17%,7.48%,5.24%,19.44%,5.30%,2.91%,1.86%,7.53%,9.78%,9.33%
32,Free Cash Flow Margin,31.69%,-,-62.82%,-,47.21%,-,-42.47%,-,12.25%,12.64%
33,EBITDA,9043,6381,4217,-,3158,2309,1190,-,5648,5423
34,EBITDA Margin,13.58%,16.48%,11.21%,-,9.31%,8.51%,6.66%,-,17.13%,16.96%
35,D&A For EBITDA,1486,1483,1470,-,1525,1536,1537,-,1517,1517
36,EBIT,7556,4898,2746,6281,1633,772.39,-347.25,4498,4131,3906
37,EBIT Margin,11.35%,12.65%,7.30%,13.73%,4.81%,2.85%,-1.94%,8.63%,12.53%,12.22%
38,Effective Tax Rate,24.22%,26.70%,24.02%,14.49%,24.36%,28.94%,38.02%,21.88%,22.54%,21.20%
39,Revenue as Reported,66603,38708,37605,45738,33924,27129,17860,52118,32979,31970
