,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,22777,5806,18928,23917,-,10472,-,-,-,-
1,Short-Term Investments,23000,32720,28440,22016,-,37500,-,-,-,-
2,Trading Asset Securities,6964,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,52741,38526,47368,45933,47972,47972,-,-,-,-
4,Cash Growth,9.94%,-19.69%,-,-,-,-,-,-,-,-
5,Accounts Receivable,168.39,2022,1567,231.22,-,1149,-,-,-,-
6,Other Receivables,1013,750.79,227.89,1767,-,1611,-,-,-,-
7,Receivables,1182,2773,1795,1998,-,2760,-,-,-,-
8,Inventory,48752,54404,70820,47735,-,51540,-,-,-,-
9,Prepaid Expenses,413.55,397.19,148.69,293.87,-,270.23,-,-,-,-
10,Other Current Assets,1859,1837,2834,1836,-,2366,-,-,-,-
11,Total Current Assets,104947,97937,122965,97796,-,104909,-,-,-,-
12,"Property, Plant & Equipment",21649,22661,23973,24463,-,26421,-,-,-,-
13,Long-Term Investments,73990,74790,76509,76493,-,50650,-,-,-,-
14,Goodwill,10759,11297,12372,12910,-,13986,-,-,-,-
15,Other Intangible Assets,49725,49725,49725,49725,-,49725,-,-,-,-
16,Long-Term Deferred Tax Assets,51.15,80.35,139.32,80.91,-,281.93,-,-,-,-
17,Other Long-Term Assets,8501,23601,8705,8855,-,9201,-,-,-,-
18,Total Assets,283621,280090,294389,270323,-,255174,-,-,-,-
19,Accounts Payable,5974,7441,13265,8015,-,23.76,-,-,-,-
20,Accrued Expenses,1169,739.97,1083,1107,-,553.62,-,-,-,-
21,Short-Term Debt,6215,11654,27318,8699,-,13859,-,-,-,-
22,Current Income Taxes Payable,4416,2978,665.61,2452,-,1605,-,-,-,-
23,Other Current Liabilities,3408,487.03,421.98,42.31,-,119.46,-,-,-,-
24,Total Current Liabilities,21182,23299,42754,20315,-,16161,-,-,-,-
25,Other Long-Term Liabilities,200,200,200,200,-,200,-,-,-,-
26,Total Liabilities,21382,23499,42954,20515,-,16361,-,-,-,-
27,Common Stock,242000,242000,220000,220000,-,200000,-,-,-,-
28,Additional Paid-In Capital,2204,2204,2208,2208,-,2255,-,-,-,-
29,Retained Earnings,13401,7959,24959,22971,-,32279,-,-,-,-
30,Total Common Equity,257605,252163,247166,245178,234534,234534,-,-,-,-
31,Minority Interest,4634,4428,4269,4629,-,4280,-,-,-,-
32,Shareholders' Equity,262239,256591,251435,249807,238814,238814,-,-,-,-
33,Total Liabilities & Equity,283621,280090,294389,270323,-,255174,-,-,-,-
34,Total Debt,6215,11654,27318,8699,13859,13859,-,-,-,-
35,Net Cash (Debt),46526,26873,20050,37234,34113,34113,-,-,-,-
36,Net Cash Growth,36.39%,-21.23%,-,-,-,-,-,-,-,-
37,Net Cash Per Share,1922.57,1110.44,-,1537.89,-,1426.69,-,-,-,-
38,Filing Date Shares Outstanding,24.2,24.2,-,24.21,-,23.91,-,21.06,24.24,22.85
39,Total Common Shares Outstanding,24.2,24.2,-,24.21,-,23.91,-,21.06,24.24,22.85
40,Working Capital,83765,74638,80212,77481,-,88748,-,-,-,-
41,Book Value Per Share,10644.85,10419.99,-,10126.59,9808.65,9808.65,-,-,-,-
42,Tangible Book Value,197122,191142,185069,182543,170823,170823,-,-,-,-
43,Tangible Book Value Per Share,8145.53,7898.44,-,7539.57,7144.14,7144.14,-,-,-,-
44,Buildings,5660,-,-,-,-,-,-,-,-,-
45,Machinery,38557,-,-,-,-,-,-,-,-,-
