,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,38959,20822,16229,17914,26503,21562,16821,18368,23120,26893,21230
1,Other Revenue,-2347,2347,-,2540,-1316,1316,-,3036,-1985,1064,920.99
2,Revenue,36612,23169,16229,20454,25187,22878,16821,21403,21135,27957,22150
3,Revenue Growth (YoY),45.36%,1.27%,-3.52%,-4.44%,19.17%,-18.17%,-24.06%,-,-,-,-
4,Cost of Revenue,33713,20892,13985,18338,22272,20616,14632,18657,18972,25537,20429
5,Gross Profit,2900,2277,2243,2116,2915,2262,2189,2747,2162,2420,1721
6,"Selling, General & Admin",654.85,618.69,551.1,700.32,554.3,650.37,565.6,665.72,519.7,617.19,431.92
7,Research & Development,1484,1171,1081,1145,1156,1074,1106,1260,1298,1208,1219
8,Other Operating Expenses,-274.04,252.58,-103.5,312.33,43.57,-61.12,-39.74,620.91,-151.56,-148.33,-155.09
9,Operating Expenses,1870,2040,1523,2075,1756,1789,1630,2546,1684,1679,1503
10,Operating Income,1029,237.45,720.02,41.2,1159,472.67,559.04,201.08,477.72,741.46,218.14
11,Interest Expense,-68.25,-38.39,-37.39,-91.42,-53.74,-67.53,-57.64,-47.07,-68.86,-52.7,-53.46
12,Interest & Investment Income,197.62,127.47,184.5,92.01,105.55,84.56,91.02,52.85,66.48,61.57,32.13
13,Currency Exchange Gain (Loss),43.56,-43.56,-,-39.08,-220.87,220.87,-,282.74,-123.93,124.22,-0.29
14,Other Non Operating Income (Expenses),65.25,-22.82,25.1,-13.66,34.46,24.69,-9.23,-431.01,446.13,22.41,13.94
15,EBT Excluding Unusual Items,1268,260.15,892.23,-10.96,1024,735.25,583.19,58.58,797.54,896.96,210.46
16,Gain (Loss) on Sale of Investments,-173.36,107.98,-119.48,65.18,-19.7,2.23,115.23,212.03,-71.35,115.15,-70.66
17,Gain (Loss) on Sale of Assets,0.42,1.28,0.08,-8.16,-1.05,-1.65,-3.59,-7.24,-1.15,-1.5,0.17
18,Asset Writedown,-113.76,119.91,-119.91,265.38,-265.38,30.57,-30.57,53.21,-53.21,0.21,-0.21
19,Other Unusual Items,-237.77,237.77,-,353.24,-,-,-,661,-,-0.51,0.51
20,Pretax Income,743.15,727.08,652.92,664.68,738.3,766.41,664.26,977.59,671.83,1010,140.28
21,Income Tax Expense,-12.05,44.38,57.36,-53.37,55.45,82.97,93.16,98.53,81.12,152.66,-24.81
22,Earnings From Continuing Operations,755.2,682.7,595.56,718.05,682.85,683.43,571.1,879.06,590.71,857.66,165.09
23,Minority Interest in Earnings,3.36,2.94,9.99,4.83,19.25,8.21,19.15,15.08,8.04,20.01,28.03
24,Net Income,758.56,685.64,605.55,722.88,702.1,691.64,590.25,894.14,598.75,877.67,193.12
25,Net Income to Common,758.56,685.64,605.55,722.88,702.1,691.64,590.25,894.14,598.75,877.67,193.12
26,Net Income Growth,8.04%,-0.87%,2.59%,-19.15%,17.26%,-21.20%,205.64%,-,-,-,-
27,Shares Outstanding (Basic),1010,1013,1015,1048,946,913,913,912,913,912,913
28,Shares Outstanding (Diluted),1010,1013,1015,1048,946,913,913,912,913,912,913
29,Shares Change (YoY),6.71%,10.98%,11.24%,14.83%,3.69%,0.01%,-0.01%,-,-,-,-
30,EPS (Basic),0.75,0.68,0.60,0.69,0.74,0.76,0.65,0.98,0.66,0.96,0.21
31,EPS (Diluted),0.75,0.68,0.60,0.69,0.74,0.76,0.65,0.98,0.66,0.96,0.21
32,EPS Growth,1.25%,-10.67%,-7.78%,-29.59%,13.08%,-21.21%,205.67%,-,-,-,-
33,Free Cash Flow,-314.62,-534.76,623.43,1732,-346.23,467.38,531.7,412.42,67.22,-572.53,295.19
34,Free Cash Flow Per Share,-0.31,-0.53,0.61,1.65,-0.37,0.51,0.58,0.45,0.07,-0.63,0.32
35,Dividend Per Share,-,-,-,0.857,-,-,-,-,-,-,-
36,Gross Margin,7.92%,9.83%,13.82%,10.34%,11.57%,9.89%,13.01%,12.83%,10.23%,8.66%,7.77%
37,Operating Margin,2.81%,1.02%,4.44%,0.20%,4.60%,2.07%,3.32%,0.94%,2.26%,2.65%,0.98%
38,Profit Margin,2.07%,2.96%,3.73%,3.53%,2.79%,3.02%,3.51%,4.18%,2.83%,3.14%,0.87%
39,Free Cash Flow Margin,-0.86%,-2.31%,3.84%,8.47%,-1.37%,2.04%,3.16%,1.93%,0.32%,-2.05%,1.33%
40,EBITDA,1251,453.56,941.96,263.13,1394,708.02,775.71,386.35,661.6,925.34,376.51
41,EBITDA Margin,3.42%,1.96%,5.80%,1.29%,5.54%,3.09%,4.61%,1.80%,3.13%,3.31%,1.70%
