,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,13366,11268,12913,12756,16155,9245,17188,7851,-,-,-
1,Short-Term Investments,-,323.38,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1724,2008,2587,2777,1830,718.69,1886,605.89,-,-,-
3,Cash & Short-Term Investments,15090,13600,15500,15533,17985,9963,19073,8457,-,-,6417
4,Cash Growth,-16.10%,36.50%,-18.74%,83.67%,-,-,197.24%,-,-,-,-
5,Accounts Receivable,28144,20004,14012,14467,19708,18003,12200,14445,-,-,-
6,Other Receivables,559.5,301.81,275.8,359.11,749.35,525.92,600.08,501.78,-,-,-
7,Receivables,28703,20305,14287,14826,20457,18529,12800,14947,-,-,-
8,Inventory,10952,7460,4990,4344,5623,5114,5816,6211,-,-,-
9,Other Current Assets,3047,1974,1550,1431,1351,1250,1201,1444,-,-,-
10,Total Current Assets,57791,43339,36328,36134,45417,34856,38891,31059,-,-,-
11,"Property, Plant & Equipment",8868,8252,7993,7968,7559,7499,7383,7379,-,-,-
12,Long-Term Investments,4104,3680,3679,3649,3679,3667,3752,3766,-,-,-
13,Goodwill,142.18,47.64,67,0.6,0.6,0.6,0.6,0.6,-,-,-
14,Other Intangible Assets,1247,1227,1208,1179,1173,1161,1166,1176,-,-,-
15,Long-Term Deferred Tax Assets,475.5,448.91,424.94,429.14,356.1,346.07,339.65,294.76,-,-,-
16,Long-Term Deferred Charges,97.99,90.13,89.41,89.4,88.06,68.85,71.51,76.66,-,-,-
17,Other Long-Term Assets,2179,1913,2036,2061,79.35,47.71,72.11,70.05,-,-,-
18,Total Assets,74905,58997,51826,51510,58353,47646,51676,43821,-,-,-
19,Accounts Payable,38798,27317,21571,20725,28273,23795,19526,21453,-,-,-
20,Accrued Expenses,1080,1380,1331,1488,968.63,1407,1479,1302,-,-,-
21,Short-Term Debt,7587,4984,3753,3845,4861,2668,11566,2398,-,-,-
22,Current Portion of Long-Term Debt,1465,607.99,-,892.95,-,965.26,206.29,110.17,-,-,-
23,Current Portion of Leases,-,170.47,-,170.96,-,93.62,84.97,64.4,-,-,-
24,Current Income Taxes Payable,293.07,105.25,229.74,144.23,365.83,167.52,144.52,180.92,-,-,-
25,Current Unearned Revenue,659.1,348.61,128.46,121.48,211.87,224.93,454.26,576.68,-,-,-
26,Other Current Liabilities,543.9,446.42,1686,1038,1335,1562,987.82,1092,-,-,-
27,Total Current Liabilities,50425,35359,28699,28426,36015,30885,34448,27178,-,-,-
28,Long-Term Debt,1995,1660,954.34,1345,1630,2686,3464,3386,-,-,-
29,Long-Term Leases,206.3,239.09,241.81,268.97,70.54,90.8,119.91,156.13,-,-,-
30,Long-Term Unearned Revenue,243.16,255.6,243.1,259.91,270.74,227.46,203.57,197,-,-,-
31,Long-Term Deferred Tax Liabilities,332.98,392.38,358.5,366.78,314.24,327.15,331.37,273.62,-,-,-
32,Other Long-Term Liabilities,-,-,-,-,-,-,219.87,218.99,-,-,-
33,Total Liabilities,53203,37907,30497,30667,38301,34216,38787,31410,-,-,-
34,Common Stock,1016,1015,725.8,724.25,724.25,651.83,651.83,651.83,-,-,-
35,Additional Paid-In Capital,10561,10529,10783,10698,10691,5017,4974,4929,-,-,-
36,Retained Earnings,10399,9697,9926,9358,8635,7933,7242,6651,-,-,-
37,Treasury Stock,-382.06,-210.64,-86.32,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,22.66,51.37,-24.49,85.51,19.93,-174.26,12.23,150.34,-,-,-
39,Total Common Equity,21617,21082,21324,20866,20070,13428,12880,12383,-,-,9562
40,Minority Interest,84.69,8.36,4.55,-23.28,-18.31,0.94,9.15,28.3,-,-,-
41,Shareholders' Equity,21702,21091,21329,20843,20052,13429,12889,12411,-,-,9660
42,Total Liabilities & Equity,74905,58997,51826,51510,58353,47646,51676,43821,-,-,-
43,Total Debt,11253,7661,4949,6523,6562,6504,15441,6115,-,-,3643
44,Net Cash (Debt),3837,5938,10551,9010,11424,3459,3633,2342,-,-,2773
45,Net Cash Growth,-66.41%,71.67%,190.45%,284.71%,-,-,30.98%,-,-,-,-
46,Net Cash Per Share,3.80,5.86,10.39,8.60,12.07,3.79,3.98,2.57,-,-,3.04
47,Filing Date Shares Outstanding,1010,1013,1014,1014,1014,1014,912.67,912.56,912.6,912.44,912.66
48,Total Common Shares Outstanding,1010,1013,1014,1014,1014,912.56,912.67,912.56,912.6,912.44,912.66
49,Working Capital,7366,7980,7629,7708,9402,3971,4442,3881,-,-,-
50,Book Value Per Share,21.41,20.81,21.02,20.58,19.79,14.72,14.11,13.57,-,-,10.48
51,Tangible Book Value,20228,19808,20049,19687,18896,12267,11713,11207,-,-,8411
52,Tangible Book Value Per Share,20.03,19.55,19.76,19.42,18.64,13.44,12.83,12.28,-,-,9.22
53,Buildings,-,4249,-,4193,-,3088,3088,2677,-,-,-
54,Machinery,-,5211,-,4925,-,4656,4505,4403,-,-,-
55,Construction In Progress,-,1339,-,970.78,-,1715,1552,1858,-,-,-
