,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,80645,56500,55961,59896,57861,51284,-,-,-,-,-,-
1,Market Cap Growth,10.17%,10.17%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,76893,50570,45414,48454,46419,47826,-,-,-,-,-,-
3,Last Close Price,79.56,55.74,55.23,58.21,56.23,49.84,-,-,-,-,-,-
4,PE Ratio,29.31,20.38,20.60,22.00,21.38,17.82,-,-,-,-,-,-
5,Forward PE,23.35,17.23,17.71,21.34,21.20,-,-,-,-,-,-,-
6,PS Ratio,0.84,0.59,0.66,0.71,0.68,0.59,-,-,-,-,-,-
7,PB Ratio,3.72,2.60,2.65,2.81,2.78,2.56,-,-,-,-,-,-
8,P/TBV Ratio,2.79,2.79,2.83,2.99,2.94,2.71,-,-,-,-,-,-
9,P/FCF Ratio,53.54,-,-,24.18,24.26,-,-,-,-,-,-,-
10,P/OCF Ratio,17.17,17.17,17.86,15.45,15.03,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.80,0.52,0.53,0.57,0.54,0.55,-,-,-,-,-,-
12,EV/EBITDA Ratio,25.70,17.38,14.88,14.65,14.78,14.65,-,-,-,-,-,-
13,EV/EBIT Ratio,37.91,24.93,21.05,20.25,20.80,20.00,-,-,-,-,-,-
14,EV/FCF Ratio,51.05,-,-,19.56,19.46,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.52,0.52,0.36,0.23,0.31,0.33,0.48,1.20,0.49,-,-,0.38
16,Debt / EBITDA Ratio,3.76,2.25,3.73,1.31,4.30,1.18,2.22,4.98,3.18,-,-,2.42
17,Debt / FCF Ratio,7.47,-,-,2.00,2.73,-,4.40,35.19,30.23,-,-,12.34
18,Asset Turnover,2.19,1.67,1.26,1.49,1.90,1.84,1.41,-,-,-,-,
19,Inventory Turnover,10.49,14.65,13.42,11.99,14.72,16.59,15.09,9.73,-,-,-,-
20,Quick Ratio,0.87,0.87,0.96,1.04,1.07,1.07,0.92,0.93,0.86,-,-,-
21,Current Ratio,1.15,1.15,1.23,1.27,1.27,1.26,1.13,1.13,1.14,-,-,-
22,Return on Equity (ROE),14.12%,12.88%,11.30%,14.05%,16.32%,20.77%,18.06%,-,-,-,-,
23,Return on Assets (ROA),3.84%,1.07%,3.48%,0.19%,5.47%,2.38%,2.93%,-,-,-,-,
24,Return on Capital (ROIC),8.34%,2.16%,6.71%,0.38%,12.45%,4.90%,5.97%,-,-,-,-,
25,Return on Capital Employed (ROCE),8.29%,8.29%,9.13%,10.35%,9.67%,10.71%,10.21%,11.49%,9.84%,-,-,-
26,Earnings Yield,3.44%,4.91%,4.85%,4.54%,4.68%,5.61%,-,-,-,-,-,-
27,FCF Yield,1.87%,2.67%,2.63%,4.14%,4.12%,2.08%,-,-,-,-,-,-
28,Dividend Yield,1.03%,-,-,-,1.52%,-,-,-,-,-,-,-
29,Payout Ratio,41.69%,18.95%,139.39%,7.61%,1.42%,7.93%,9.84%,7.10%,8.24%,13.26%,5.27%,22.58%
30,Buyback Yield / Dilution,-10.90%,-6.71%,-10.98%,-11.24%,-14.83%,-3.69%,-0.01%,0.01%,-,-,-,-
31,Total Shareholder Return,-9.87%,-6.71%,-10.98%,-11.24%,-13.31%,-3.69%,-0.01%,0.01%,-,-,-,-
