,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,470.96,339.11,361.77,160.7,233.86,245.63,245.63,198.8,218.23,217.13,225.2,198.76,147.16,116.46,271.73,142.93,16.48,153.25,28.52
1,Other Revenue,-,-,-,-,-,-,-,0.92,-0.47,0.47,-,0.91,-0.43,0.43,-,0.85,-0.41,0.21,0.2
2,Revenue,470.96,339.11,361.77,160.7,233.86,245.63,245.63,199.72,217.76,217.61,225.2,199.67,146.73,116.89,271.73,143.78,16.07,153.47,28.72
3,Revenue Growth (YoY),101.38%,38.06%,47.29%,-19.54%,7.40%,12.88%,9.07%,0.03%,48.41%,86.16%,-17.12%,38.87%,813.03%,-23.83%,846.27%,-,-,-,-
4,Cost of Revenue,238.54,206.77,210.58,85.44,113.8,117.26,114.76,118.11,139.86,109.69,116.96,143.13,70.91,56.68,152.74,68.29,4.64,61.95,13.36
5,Gross Profit,232.42,132.34,151.2,75.26,120.06,128.37,130.86,81.61,77.9,107.91,108.24,56.54,75.82,60.21,118.99,75.48,11.43,91.52,15.36
6,"Selling, General & Admin",30.19,27.01,39.82,39.42,18.43,16.7,19.35,21.87,9.1,9.49,10.09,20.7,13,10.26,10.78,10.57,9.6,6.5,6.98
7,Research & Development,22.96,21.45,20.46,20.54,23.81,10.58,10.98,20.49,8.98,11.5,6.98,14.54,8.06,6.71,4.26,7.52,6.48,3.73,3.4
8,Other Operating Expenses,-25.3,-28.67,-0.1,0.28,-3.04,-4.16,-4.69,9.17,2.5,-1.4,-0.65,5.38,0.57,-9.63,-4.71,0.21,-0.04,-3.79,0.86
9,Operating Expenses,52.59,19.98,49.02,54.21,59.9,13.43,32.66,71.97,20.43,39,-5.88,34.05,7.12,15.65,25.02,19.76,20.25,10.36,11.71
10,Operating Income,179.83,112.36,102.17,21.05,60.17,114.94,98.2,9.64,57.47,68.92,114.12,22.48,68.7,44.57,93.97,55.72,-8.82,81.15,3.65
11,Interest Expense,-0.25,-,-0.27,-,-0.26,-0.27,-0.29,-0.3,-0.32,-0.24,-0.3,-0.46,-1.12,-1.78,-1.04,-0.47,-0.19,-0.65,-0.38
12,Interest & Investment Income,9.22,13.82,14.88,23.92,9.65,4.7,6.88,9.86,12.45,15.79,12.21,5.32,1.22,0.06,0.19,0.27,0.09,0.23,0.32
13,Other Non Operating Income (Expenses),-0.38,-1.5,1.67,-0.09,-0.1,-3.85,3.82,-0.08,-0.01,-0.03,-0,-0.29,-0.02,0.06,0.13,-0.02,0.06,-0.15,-0.01
14,EBT Excluding Unusual Items,188.42,124.67,118.45,44.88,69.46,115.52,108.61,19.13,69.59,84.43,126.02,27.05,68.77,42.91,93.25,55.49,-8.87,80.59,3.58
15,Gain (Loss) on Sale of Investments,3.5,3.82,-,-9.39,3.39,9.98,-,2.7,3.14,1.98,0.18,6.01,-,-,-,-,-0.05,-,0.01
16,Gain (Loss) on Sale of Assets,-,-0.83,-,-0.13,-,-,-,-,-,-,-,0,-,-0.03,-,-,-,-,-
