,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,13569,9858,8259,8633,10194,10383,11313,13166,13446,12545,17696,14595,23601,21717,-,-,-,-,-,-
1,Market Cap Growth,-5.06%,-5.06%,-27.00%,-34.43%,-24.19%,-17.24%,-36.07%,-9.79%,-43.03%,-42.23%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11899,8076,6250,6978,8539,8529,10010,11498,11778,10577,15467,13212,22218,21854,-,-,-,-,-,-
3,Last Close Price,56.23,41.30,34.16,34.70,40.97,41.91,45.56,53.01,54.14,50.52,71.26,58.70,94.93,87.35,-,-,-,-,-,-
4,PE Ratio,33.29,23.77,25.93,27.47,33.39,35.30,40.62,50.70,48.50,45.81,63.14,63.64,117.12,97.79,-,-,-,-,-,-
5,Forward PE,35.56,30.59,26.32,21.63,26.69,22.95,27.40,24.69,27.76,42.90,57.49,41.50,69.41,88.15,-,-,-,-,-,-
6,PS Ratio,10.26,7.40,7.54,8.62,11.51,11.23,12.45,14.95,15.63,14.58,22.42,21.20,32.11,31.98,-,-,-,-,-,-
7,PB Ratio,4.69,3.43,3.02,3.24,3.82,3.97,4.46,5.39,5.75,-,7.89,6.71,11.42,10.64,-,-,-,-,-,-
8,P/TBV Ratio,3.44,3.44,3.03,3.25,3.84,3.98,4.48,5.41,5.77,-,7.93,6.75,11.48,10.70,-,-,-,-,-,-
9,P/FCF Ratio,52.76,-,-,10.13,13.49,-,-74.53,-,-,-,-,16.62,-,257.32,-,-,-,-,-,-
10,P/OCF Ratio,35.45,-,-,9.65,12.78,-,-105.53,-,-,-,-,15.36,258.18,178.31,-,-,-,-,-,-
11,EV/Sales Ratio,8.93,6.06,5.71,6.96,9.64,9.22,11.01,13.06,13.69,12.30,19.60,19.19,30.23,32.18,-,-,-,-,-,-
12,EV/EBITDA Ratio,28.00,18.73,20.14,22.06,27.44,28.55,33.96,46.53,44.99,38.69,54.47,51.13,93.43,80.76,-,-,-,-,-,-
13,EV/EBIT Ratio,29.57,19.44,21.13,23.39,29.01,30.14,35.72,49.09,47.09,40.22,56.41,52.88,96.72,83.11,-,-,-,-,-,-
14,EV/FCF Ratio,46.27,-,-,8.19,11.30,-,-65.94,-,-,-,-,15.04,-,258.94,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.02,0.05,0.25,0.15,0.15,-,0.08,0.08
16,Debt / EBITDA Ratio,0.07,0.04,0.07,0.07,0.29,0.12,0.06,0.08,0.56,-,0.11,0.07,0.51,0.39,0.82,0.20,0.33,-,0.09,1.41
17,Debt / FCF Ratio,0.12,-,-,0.04,0.04,-,-0.20,-,-,-,-,0.04,-,1.32,-,-,-1.19,-,-,-
18,Asset Turnover,0.51,0.34,0.33,0.14,0.21,0.22,0.24,-,-,0.27,0.29,0.29,0.30,-,-,-,-,-,-,
19,Inventory Turnover,0.47,0.69,0.53,0.48,0.18,0.24,0.27,0.31,-,-,0.56,0.77,1.08,0.66,-,-,-,-,-,-
20,Quick Ratio,2.80,2.80,2.01,1.46,1.24,1.20,1.12,1.29,1.40,-,2.08,2.16,2.64,3.11,1.13,-,1.08,-,-,1.31
21,Current Ratio,4.63,4.63,3.65,2.62,2.29,2.29,2.12,2.32,2.39,-,3.05,2.85,3.44,3.95,1.81,-,1.94,-,-,2.14
22,Return on Equity (ROE),23.59%,16.27%,14.81%,6.20%,10.75%,16.96%,14.98%,-,-,15.70%,20.20%,5.16%,18.04%,25.31%,62.51%,-,-,77.13%,-,
23,Return on Assets (ROA),12.25%,7.11%,5.84%,1.16%,3.31%,6.56%,6.12%,-,-,5.27%,9.27%,2.02%,8.80%,-,-,-,-,-,-,
24,Return on Capital (ROIC),15.85%,10.30%,9.48%,1.97%,5.77%,11.41%,10.14%,-,-,7.70%,13.20%,2.63%,11.73%,16.39%,40.28%,-,-,48.38%,-,
25,Return on Capital Employed (ROCE),13.83%,14.28%,10.70%,11.08%,10.94%,10.71%,10.96%,9.50%,10.59%,-,12.10%,11.36%,10.97%,12.82%,29.29%,-,25.70%,-,-,0.93%
26,Earnings Yield,3.06%,4.21%,3.86%,3.64%,2.99%,2.83%,2.46%,1.97%,2.06%,2.18%,1.58%,1.57%,0.85%,1.02%,-,-,-,-,-,-
27,FCF Yield,1.90%,2.61%,1.74%,9.87%,7.41%,-0.20%,-1.34%,-7.18%,-0.45%,1.83%,4.00%,6.02%,0.17%,0.39%,-,-,-,-,-,-
28,Dividend Yield,0.75%,-,1.48%,-,0.71%,-,-,-,0.20%,-,-,-,0.08%,-,-,-,-,-,-,-
29,Payout Ratio,29.53%,31.26%,64.23%,-,0.67%,38.13%,0.26%,0.32%,0.97%,0.58%,21.94%,0.27%,-,1.86%,4.97%,1.31%,-,-,-,-
30,Buyback Yield / Dilution,-1.05%,-4.60%,0.78%,1.45%,-0.72%,1.31%,0.47%,-0.02%,-1.39%,-19.33%,-32.36%,-34.13%,-32.59%,-11.86%,0.36%,-0.16%,-,-,-,-
31,Total Shareholder Return,-0.30%,-4.60%,2.26%,1.45%,-0.01%,1.31%,0.47%,-0.02%,-1.19%,-19.33%,-32.36%,-34.13%,-32.51%,-11.86%,0.36%,-0.16%,-,-,-,-
