,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,754.38,801.2,991.24,1057,673.68,840.08,534.9,414.06,-,561.1,870.52,343.83,1074,17.76,-,56.23,-,-,13.13
1,Trading Asset Securities,945.07,1010,1047,1088,1011,1044,799.65,991.82,-,1438,1389,1100,420,-,-,-,-,-,36.05
2,Cash & Short-Term Investments,1699,1812,2039,2145,1685,1884,1335,1406,-,1999,2260,1444,1494,17.76,56.23,56.23,-,49.19,49.19
3,Cash Growth,0.86%,-3.84%,52.75%,52.59%,-,-5.76%,-40.94%,-2.63%,-,11154.46%,3918.86%,2467.84%,-,-63.88%,14.32%,-,-,-,-
4,Accounts Receivable,326.77,85.79,147.88,180.04,529.26,412.63,832.42,712.46,-,64.11,71.03,615.28,485.13,641.67,-,369.67,-,-,258.39
5,Other Receivables,0.54,0.56,0.58,3.85,0.71,0.87,0.95,0.76,-,0.93,1.03,0.83,0.66,0.82,-,0.73,-,-,0.48
6,Receivables,327.31,86.34,148.46,183.9,529.97,413.5,833.38,713.22,-,65.03,72.06,616.11,485.79,642.49,-,370.39,-,-,258.87
7,Inventory,1284,1478,1649,1840,1880,1885,1596,1381,-,916.23,650.84,570.83,488.67,373.22,-,310.03,-,-,173.38
8,Other Current Assets,46.37,66.02,83.48,123.99,123.57,168.49,131.86,129.43,-,47.49,93.85,54.31,47.37,20.99,-,25.67,-,-,19.87
9,Total Current Assets,3357,3442,3920,4293,4219,4351,3896,3630,-,3028,3076,2685,2516,1054,-,762.32,-,-,501.31
10,"Property, Plant & Equipment",230.24,233.98,231.4,235.77,225.39,228.94,221.29,215.18,-,158.26,148,139.56,124.5,120.9,-,113.96,-,-,106.91
11,Other Intangible Assets,9.1,9.47,9.85,10.26,9.4,8.8,9.05,9.36,-,9.99,10.28,10.59,10.84,10.99,-,11.59,-,-,8.26
12,Long-Term Deferred Tax Assets,30.02,16.17,14.1,14.54,11.42,9.39,10.38,10.65,-,5.12,4.27,7.76,9.23,9.23,-,5.25,-,-,-
13,Long-Term Deferred Charges,2.36,2.23,2.39,0.91,0.99,1.07,1.14,1.22,-,1.38,1.46,1.53,1.15,1.19,-,0.9,-,-,1.01
14,Other Long-Term Assets,5.37,3.58,11.91,8.43,20.47,13.04,8.47,14.01,-,57.43,38.09,29.6,27.27,19.27,-,12.19,-,-,10.65
15,Total Assets,3634,3707,4190,4563,4487,4612,4146,3880,-,3260,3279,2874,2689,1216,-,906.21,-,-,628.14
16,Accounts Payable,356.53,392.38,583.13,798.14,1183,1368,1192,1026,-,783.06,617.67,548.69,483.76,390.5,-,253.65,-,-,171.37
17,Accrued Expenses,15.26,14.41,10.09,23.86,6.51,6.1,6.46,26.52,-,6.51,5.6,31.36,6.59,5.41,-,14.65,-,-,4.27
18,Short-Term Debt,30,30,30,30,30,30,30,30,-,30,30,50,110,152.88,-,76,-,-,30
19,Current Portion of Leases,-,-,-,-,0.26,0.26,0.45,0.45,-,0.44,0.43,0.43,-,-,-,-,-,-,-
20,Current Income Taxes Payable,43.48,24.49,24.17,11.62,19.39,18.68,19.35,6.04,-,9.18,15.99,4.18,17.31,11.82,-,10.27,-,-,-
21,Current Unearned Revenue,266.32,469.15,817.04,931.96,537.05,536.04,383.8,379.94,-,145.6,362.97,129.64,16.79,20.85,-,33,-,-,26.36
22,Other Current Liabilities,12.88,13.14,32.72,77.07,69.24,95.14,49.1,49.38,-,18.48,46.65,16.78,2.48,1.58,-,6.12,-,-,2.79
23,Total Current Liabilities,724.47,943.56,1497,1873,1846,2054,1681,1518,-,993.26,1079,781.08,636.93,583.03,-,393.69,-,-,234.79
24,Long-Term Leases,-,-,-,-,-,-,0.27,0.27,-,0.26,0.53,0.71,1.13,1.39,-,-,-,-,-
25,Long-Term Unearned Revenue,13.96,13.96,13.96,13.96,13.96,13.96,13.96,13.96,-,13.96,13.96,13.96,2,2,-,2,-,-,2
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,1.23,0.93,0.9,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,18.13,16.4,15.41,10.67,9.71,9.62,8.86,8.19,-,9.73,9.96,10.69,8.33,7.48,-,3.36,-,-,1.95
28,Total Liabilities,756.56,973.93,1527,1897,1869,2078,1704,1541,-,1018,1105,807.35,648.39,593.9,-,399.05,-,-,238.74
29,Common Stock,243.56,174.97,174.97,174.97,174.24,174.24,174.24,174.24,-,174.24,96.8,96.8,96.8,72.6,-,72.6,-,-,72.6
30,Additional Paid-In Capital,1631,1670,1639,1608,1555,1542,1529,1516,-,1501,1579,1579,1579,244.86,-,244.86,-,-,241.14
31,Retained Earnings,1181,1067,1027,928.76,887.8,818.57,739.21,649.66,-,566.18,498.29,391.2,364.73,304.68,-,189.7,-,-,75.66
32,Treasury Stock,-178.28,-178.28,-178.28,-46.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,2878,2733,2663,2666,2617,2534,2442,2339,-,2242,2174,2067,2040,622.15,507.16,507.16,-,389.4,389.4
34,Total Liabilities & Equity,3634,3707,4190,4563,4487,4612,4146,3880,-,3260,3279,2874,2689,1216,-,906.21,-,-,628.14
35,Total Debt,30,30,30,30,30.26,30.26,30.72,30.71,-,30.7,30.96,51.14,111.13,154.27,76,76,-,30,30
36,Net Cash (Debt),1669,1782,2009,2115,1655,1854,1304,1375,-,1969,2229,1393,1383,-136.5,-19.77,-19.77,-,19.19,19.19
37,Net Cash Growth,0.89%,-3.89%,54.05%,53.82%,-,-5.83%,-41.50%,-1.26%,-,-,-,-,-,-,-,-,-,-,-
38,Net Cash Per Share,6.66,7.43,8.29,8.58,6.90,7.67,5.30,5.62,-,8.10,9.07,5.77,6.79,-0.74,-0.11,-0.11,-,0.10,0.10
39,Filing Date Shares Outstanding,240.08,240.08,240.08,243.81,243.94,243.94,243.94,243.94,242.94,243.94,243.94,243.94,243.94,243.94,183.24,182.95,182.01,184.21,182.95
40,Total Common Shares Outstanding,240.08,240.08,240.08,243.81,243.94,243.94,243.94,243.94,242.94,243.94,243.94,243.94,243.94,182.95,183.24,182.95,182.01,184.21,182.95
41,Working Capital,2633,2498,2423,2420,2373,2297,2215,2111,-,2035,1997,1904,1879,471.42,-,368.63,-,-,266.52
42,Book Value Per Share,11.99,11.39,11.09,10.93,10.73,10.39,10.01,9.59,-,9.19,8.91,8.47,8.36,3.40,2.77,2.77,-,2.13,2.13
43,Tangible Book Value,2869,2724,2653,2655,2608,2526,2433,2330,-,2232,2164,2056,2029,611.16,495.57,495.57,-,381.14,381.14
44,Tangible Book Value Per Share,11.95,11.35,11.05,10.89,10.69,10.35,9.98,9.55,-,9.15,8.87,8.43,8.32,3.34,2.71,2.71,-,2.08,2.08
45,Buildings,-,120.94,-,120.94,-,119.18,-,119.18,-,110.21,-,106.65,-,-,-,102.03,-,-,102.03
46,Machinery,-,192,-,184.02,-,166.81,-,152.13,-,114.14,-,94.38,-,-,-,70.07,-,-,58.31
47,Construction In Progress,-,27.68,-,27.82,-,31.41,-,23.31,-,4.55,-,3.16,-,-,-,0.25,-,-,-
