,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,"Property, Plant & Equipment",5553,5556,6875,6914,6792,6784,6715,6701,6834,7127,Upgrade
1,Cash & Equivalents,640.33,881.79,682.48,323.53,329.69,367.38,1987,1988,842.93,1237,Upgrade
2,Accounts Receivable,3.68,4.2,2.81,2.44,5.2,3.08,2.61,1.04,269.8,1.7,Upgrade
3,Other Receivables,7.28,6.49,10.18,7.94,5.08,6.4,11.04,8.3,11.89,8.11,Upgrade
4,Investment In Debt and Equity Securities,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,Upgrade
5,Other Current Assets,2975,2991,1944,1921,1941,1976,2154,1989,3114,2034,Upgrade
6,Trading Asset Securities,63.7,57.22,46.82,48.22,42.67,44.86,37.55,32.1,31.76,458.05,Upgrade
7,Deferred Long-Term Tax Assets,15,15,17.81,17.81,19.48,17.95,17.61,17.61,16.29,16.29,Upgrade
8,Other Long-Term Assets,50.34,49.25,40.13,65.47,135.4,148.41,146.9,157.73,170.24,184.23,Upgrade
9,Total Assets,9309,9562,9620,9301,9272,9350,11073,10896,11292,11067,Upgrade
10,Current Portion of Long-Term Debt,211,1129,243.01,233,902.23,876.82,876.81,865.92,950.92,1262,Upgrade
11,Current Portion of Leases,2.26,1.29,1.84,2.17,2.23,2.22,2.06,2.27,2.32,2.63,Upgrade
12,Long-Term Debt,704,-,630,630,-,-,129.74,123.25,111.38,180.53,Upgrade
13,Long-Term Leases,2.62,0.74,-,0.79,1.84,2.96,3.92,4.95,-,1,Upgrade
14,Accrued Expenses,-,93.56,38.02,93.56,-,93.56,1.49,93.56,-,114.55,Upgrade
15,Current Income Taxes Payable,219.59,215.5,-,20.09,18.42,18.41,1389,1388,1783,989.4,Upgrade
16,Current Unearned Revenue,3.8,12.79,123.14,138.68,138.37,155.51,150.11,156.18,185.35,436.47,Upgrade
17,Other Current Liabilities,140.92,52.54,141.58,59.21,93.42,37.54,234.37,38.52,141.24,37.07,Upgrade
18,Long-Term Deferred Tax Liabilities,704.3,704.93,926.19,926.09,909.43,907.61,930.69,930.85,933.99,1070,Upgrade
19,Total Liabilities,2471,2669,2539,2519,2466,2481,3958,3845,4350,4336,Upgrade
20,Common Stock,2469,2469,2469,2469,2469,2469,2469,2469,2469,2442,Upgrade
21,Retained Earnings,4565,4641,4797,4504,4476,4507,4550,4685,4488,4582,Upgrade
22,Comprehensive Income & Other,-418.3,-425.66,-393.52,-399.05,-316.37,-284.41,-81.6,-280.81,-191.25,-467.72,Upgrade
23,Total Common Equity,6616,6684,6872,6574,6628,6691,6938,6874,6765,6556,Upgrade
24,Minority Interest,222.83,208.23,208.89,208.9,177.04,177.06,177.32,177.11,176.23,176.29,Upgrade
25,Shareholders' Equity,6839,6893,7081,6782,6806,6869,7115,7051,6942,6732,Upgrade
26,Total Liabilities & Equity,9309,9562,9620,9301,9272,9350,11073,10896,11292,11067,Upgrade
27,Total Debt,1402,1590,1310,1281,1307,1268,1253,1238,1306,1688,Upgrade
28,Net Cash / Debt,-697.91,-650.79,-580.35,-909.28,-934.19,-856.23,771.55,782.39,-431.43,7.09,Upgrade
29,Net Cash Growth,-,-,-,-,-,-,-,10931.99%,-,-,Upgrade
30,Net Cash Per Share,-1.07,-1.00,-0.89,-1.39,-1.43,-1.31,1.18,1.19,-0.68,0.01,Upgrade
31,Filing Date Shares Outstanding,652.68,652.68,652.68,652.68,652.68,652.68,652.68,652.68,652.68,639.61,Upgrade
32,Total Common Shares Outstanding,652.68,652.68,652.68,652.68,652.68,652.68,652.68,652.68,652.68,639.61,Upgrade
33,Book Value Per Share,10.14,10.24,10.53,10.07,10.16,10.25,10.63,10.53,10.37,10.25,Upgrade
34,Tangible Book Value,6616,6684,6872,6574,6628,6691,6938,6874,6765,6556,Upgrade
35,Tangible Book Value Per Share,10.14,10.24,10.53,10.07,10.16,10.25,10.63,10.53,10.37,10.25,Upgrade
36,Land,-,186.25,-,38.87,-,36.84,-,36.2,-,36.4,Upgrade
37,Construction In Progress,-,1852,-,1858,-,1687,-,1678,-,5429,Upgrade
