,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,791,1242,1610,1679,1702,1771,2438,2990,1288,1403,1748,Upgrade
1,Market Cap Growth,-26.03%,-26.03%,-5.41%,-5.19%,-30.19%,-40.77%,89.29%,113.11%,-26.32%,-45.54%,-22.45%,Upgrade
2,PE Ratio,17.33,27.21,45.87,291.04,-,540.93,-,20.89,7.18,5.05,6.46,Upgrade
3,PS Ratio,1.91,2.99,3.50,3.29,3.38,2.89,2.72,3.14,1.16,1.13,1.30,Upgrade
4,PB Ratio,0.10,0.15,0.18,0.20,0.19,0.19,0.25,0.31,0.13,0.16,0.20,Upgrade
5,P/FCF Ratio,-,-,3.13,2.79,7.17,2.56,1.48,1.43,0.39,0.49,0.78,Upgrade
6,P/OCF Ratio,-,-,3.06,2.76,6.77,2.47,1.47,1.42,0.39,0.44,0.66,Upgrade
7,Debt / Equity Ratio,0.36,0.36,0.38,0.35,0.33,0.35,0.41,0.47,0.66,0.70,0.99,Upgrade
8,Debt / FCF Ratio,-,-,6.51,4.90,12.46,4.74,2.45,2.16,1.94,2.15,3.93,Upgrade
9,Earnings Yield,5.77%,3.68%,2.18%,0.34%,0.82%,0.18%,3.86%,4.79%,13.93%,19.79%,15.48%,Upgrade
10,Earnings Yield,5.77%,3.68%,2.18%,0.34%,0.82%,0.18%,3.86%,4.79%,13.93%,19.79%,15.48%,Upgrade
11,FCF Yield,-27.66%,-17.62%,31.93%,35.88%,13.95%,39.09%,67.54%,69.94%,254.76%,203.58%,127.74%,Upgrade
