,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,78,96,85,85,70,53,64,80,92,89,89,Upgrade
1,Market Cap Growth,13.77%,13.77%,20.90%,58.82%,9.84%,-32.89%,-30.68%,-10.59%,3.53%,-24.11%,-66.00%,Upgrade
2,Enterprise Value,384,361,446,408,354,468,529,536,725,867,917,Upgrade
3,Last Close Price,0.07,0.09,0.08,0.08,0.07,0.05,0.06,0.08,0.09,0.09,0.09,Upgrade
4,PE Ratio,0.18,-,0.18,-,-,-12.80,-,-,-,-,-,Upgrade
5,Forward PE,-,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,5.79,Upgrade
6,PS Ratio,0.11,0.14,0.11,0.11,0.09,0.07,0.09,0.11,0.13,0.12,0.09,Upgrade
7,PB Ratio,0.09,0.11,0.09,0.22,0.16,0.13,0.17,0.18,0.19,0.18,0.17,Upgrade
8,P/TBV Ratio,0.11,0.11,0.10,0.25,0.19,0.15,0.20,0.21,0.21,0.20,0.19,Upgrade
9,P/FCF Ratio,-,-,-,3.74,1.31,0.55,0.77,0.75,0.51,0.50,0.60,Upgrade
10,P/OCF Ratio,-,-5.62,-,2.13,1.15,0.52,0.69,0.70,0.50,0.49,0.56,Upgrade
11,PEG Ratio,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,Upgrade
12,EV/Sales Ratio,0.55,0.51,0.58,0.53,0.44,0.59,0.76,0.77,1.03,1.15,0.89,Upgrade
13,EV/EBITDA Ratio,8.42,-,30.03,-,-,-,-,-,-,-,-,Upgrade
14,EV/EBIT Ratio,-,-,-62.27,-,-,-,-,-,-,-,-,Upgrade
15,EV/FCF Ratio,-9.37,-,-,18.00,6.61,4.86,6.37,5.04,4.00,4.85,6.21,Upgrade
16,Debt / Equity Ratio,0.41,0.41,0.38,1.16,1.01,1.05,1.47,1.42,1.35,1.68,1.76,Upgrade
17,Debt / FCF Ratio,-,-,-,19.99,8.13,4.55,6.80,5.90,3.69,4.72,6.41,Upgrade
18,Return on Capital Employed (ROCE),-,-,-0.72%,-,-,-,-,-,-,-,-,Upgrade
19,Earnings Yield,575.73%,464.30%,558.20%,-38.17%,72.45%,-7.81%,-167.17%,-101.51%,-88.92%,-433.69%,-452.95%,Upgrade
20,FCF Yield,-52.67%,-42.48%,-36.59%,26.73%,76.46%,180.27%,130.20%,133.53%,196.75%,201.19%,165.98%,Upgrade
21,Buyback Yield / Dilution,0.08%,0.15%,-,-,-,-,-,-,-,-,-,Upgrade
22,Total Shareholder Return,0.08%,0.15%,-,-,-,-,-,-,-,-,-,Upgrade
