,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+4 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+4 Quarters
0,Cash & Equivalents,76030,33224,11130,758.93,33334,12265,6413,2366,83998,7835,49741,-,106304,-,33835,-,63596,83530,-,-,Upgrade
1,Cash & Short-Term Investments,76030,33224,11130,758.93,33334,12265,6413,2366,83998,7835,49741,106304,106304,-,33835,63596,63596,83530,-,49630,Upgrade
2,Cash Growth,128.09%,170.89%,73.55%,-67.93%,-60.32%,56.53%,-87.11%,-97.77%,-20.98%,-,47.01%,67.15%,67.15%,-,-,28.14%,28.14%,61.90%,-,81.98%,Upgrade
3,Accounts Receivable,174788,130501,185503,199238,199429,149414,145432,148091,278140,114580,127248,-,253096,-,175941,-,228083,228019,-,-,Upgrade
4,Other Receivables,6829,8917,7680,9302,11158,15507,12910,12792,19907,38609,21283,-,34845,-,16687,-,42035,22016,-,-,Upgrade
5,Receivables,181617,139419,193182,208540,210587,164921,158341,160882,298047,153189,148530,-,287941,-,192628,-,270117,250034,-,-,Upgrade
6,Inventory,57858,125203,68882,87230,104239,91526,100188,107049,97333,198242,123240,-,80791,-,126032,-,99877,99877,-,-,Upgrade
7,Prepaid Expenses,189.44,229.99,87.8,108.24,393.78,205.32,82.81,117.63,398.06,188.68,61.81,-,154.1,-,92.01,-,140.56,229.81,-,-,Upgrade
8,Other Current Assets,11134,22701,24384,4972,4500,29608,32156,49318,15687,102822,37095,-,38131,-,35220,-,31068,31310,-,-,Upgrade
9,Total Current Assets,326829,320776,297665,301609,353054,298525,297181,319733,495463,462277,358667,-,513320,-,387808,-,464800,464982,-,-,Upgrade
10,"Property, Plant & Equipment",11513,12061,12609,13157,13705,14253,14802,15350,15863,16405,16954,-,17955,-,19042,-,20128,20128,-,-,Upgrade
11,Other Long-Term Assets,213.91,290.48,322.67,405.97,683.24,470.25,509.36,761.1,667.76,829.45,597.53,-,569.97,-,661.67,-,794.82,820.73,-,-,Upgrade
12,Total Assets,338556,333128,310597,315172,367442,313248,312492,335844,511994,479511,376219,-,531845,-,407512,-,485723,485930,-,-,Upgrade
13,Accounts Payable,122550,89582,111484,146745,199465,106131,132558,119469,225196,94646,115557,-,224690,-,111152,-,182700,182942,-,-,Upgrade
14,Accrued Expenses,3954,2001,3183,5250,1887,3899,4233,6141,6025,3020,3263,-,8327,-,2167,-,4163,3913,-,-,Upgrade
15,Short-Term Debt,87279,58704,57080,40979,35215,55989,30138,29195,99920,94037,66164,-,63389,-,89460,-,73415,62740,-,-,Upgrade
16,Current Income Taxes Payable,2836,1365,4107,3017,8487,1853,3723,3007,8636,3111,3730,-,7929,-,1002,-,2389,2424,-,-,Upgrade
17,Current Unearned Revenue,592.17,1538,476.93,675.83,846.86,784.99,826.93,11887,563.18,19239,19437,-,19554,-,37484,-,22002,22002,-,-,Upgrade
18,Other Current Liabilities,15001,81567,34106,12313,14007,39089,36512,62582,64307,157799,60798,-,101014,-,71961,-,104005,104311,-,-,Upgrade
19,Total Current Liabilities,232214,234757,210438,208980,259908,207745,207990,232282,404648,371853,268949,-,424904,-,313227,-,388674,378332,-,-,Upgrade
20,Long-Term Debt,4143,4143,4143,4143,6055,6055,4621,5099,7011,8923,8923,-,8923,-,-,-,-,10675,-,-,Upgrade
