,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,7785,6825,7126,6814,5218,6051,7799,7540,5094,5512,Upgrade
1,Short-Term Investments,21.38,-,-,341.27,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,31.55,2.87,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,7838,6827,7126,7155,5218,6051,7799,7540,5094,5512,Upgrade
4,Cash Growth,9.99%,-4.58%,36.56%,18.24%,-33.09%,-19.75%,53.11%,36.80%,57.41%,32.85%,Upgrade
5,Accounts Receivable,5272,5372,4779,4287,4176,4503,4109,3525,3583,4349,Upgrade
6,Other Receivables,1142,1014,973.22,949.8,958.08,1148,1672,1308,1544,936.75,Upgrade
7,Receivables,6419,6391,5757,5245,5143,5663,5780,4846,5128,5306,Upgrade
8,Inventory,3868,2992,3495,4401,6058,5695,4487,3995,3694,3664,Upgrade
9,Other Current Assets,381.87,316.63,299.93,314.61,361.22,545.52,2.6,468.17,24.87,325.3,Upgrade
10,Total Current Assets,18506,16527,16678,17116,16781,17955,18069,16850,13940,14808,Upgrade
11,"Property, Plant & Equipment",20007,19869,20467,21261,21722,22021,21640,20488,18656,17983,Upgrade
12,Long-Term Investments,848.92,873.35,763.59,656.66,895.21,902.77,888.29,352.01,340.34,350.74,Upgrade
13,Goodwill,2093,275.37,275.37,275.37,275.37,220.35,164.35,164.35,164.35,164.35,Upgrade
14,Other Intangible Assets,1882,321.15,678.43,347.18,463.32,255.65,348.53,297.29,417.93,341.01,Upgrade
15,Long-Term Deferred Tax Assets,267.39,204.24,210.3,228.4,176.62,211.05,171.23,95,-,-,Upgrade
16,Long-Term Deferred Charges,69.56,267.47,-,216.78,-,128.11,-,76.07,-,92.88,Upgrade
17,Other Long-Term Assets,398.44,573.47,346.44,241.98,276.72,328.4,367.18,588.93,959.64,468.19,Upgrade
18,Total Assets,44073,38911,39420,40343,40590,42022,41649,38911,34479,34207,Upgrade
19,Accounts Payable,5054,4093,3498,3266,3754,4297,3877,3729,3568,4036,Upgrade
20,Accrued Expenses,570.11,485.71,432.25,531.17,476.7,569.7,375.9,445.33,-,547.06,Upgrade
21,Current Portion of Long-Term Debt,3539,3421,1259,1841,2307,2916,2757,3373,2515,1876,Upgrade
22,Current Portion of Leases,434.22,389.31,355.44,292.09,215.85,242.04,520.85,493.66,137.09,96.74,Upgrade
23,Current Income Taxes Payable,144.68,100.54,134.61,117.76,107.05,164.93,159.07,166.88,200.42,178.17,Upgrade
24,Current Unearned Revenue,138.8,138.8,151.17,168.44,146.62,163.59,118.29,97.75,13.25,10.27,Upgrade
25,Other Current Liabilities,1790,1500,2692,2838,967.85,1314,1171,1074,1276,966.11,Upgrade
26,Total Current Liabilities,11671,10129,8523,9055,7975,9668,8978,9380,7710,7711,Upgrade
27,Long-Term Debt,6939,5388,7813,7823,7256,6920,7158,5069,6201,6551,Upgrade
28,Long-Term Leases,642.96,380.89,446.11,485.1,416.52,452.44,483.83,317.07,364.06,310.33,Upgrade
29,Long-Term Unearned Revenue,463.07,508.81,571.54,640.37,701.66,700.25,751.17,603.96,511.16,208.94,Upgrade
