,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2020,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Sep '19 Sep 30, 2019",+2 Quarters
0,Cash & Equivalents,7.01,14.42,8.84,16.85,28.75,40.01,27.51,34.83,24.67,123.08,Upgrade
1,Short-Term Investments,1.84,4.88,2.81,5.71,-,4.71,-,5.26,-,-,Upgrade
2,Trading Asset Securities,35.06,39.86,49.95,56.17,69.04,56.9,105.29,105.09,106.71,124.91,Upgrade
3,Cash & Short-Term Investments,43.9,59.16,61.6,78.73,97.79,101.62,132.81,145.18,131.38,247.99,Upgrade
4,Cash Growth,-28.73%,-24.86%,-37.01%,-22.52%,-26.37%,-30.00%,1.09%,-41.46%,-48.46%,56.95%,Upgrade
5,Accounts Receivable,4.35,5.52,4.71,5.8,5.58,5.68,4.21,6.75,34.94,128.51,Upgrade
6,Other Receivables,-,-,0.15,0.15,9.08,-,7.82,-,18.43,18.7,Upgrade
7,Receivables,10.31,21.14,110.83,137.96,83.86,38.07,130.03,93.89,271.24,293.63,Upgrade
8,Inventory,43.23,56.02,42.78,55.12,40.2,60.71,49.42,47.96,67.3,69.87,Upgrade
9,Prepaid Expenses,4.1,3.33,6.05,3.2,-,1.45,-,1.56,-,-,Upgrade
10,Total Current Assets,101.55,139.66,221.25,275.02,221.85,201.86,312.26,288.59,469.93,611.5,Upgrade
11,"Property, Plant & Equipment",6.14,7.98,9.89,6.75,2.77,2.51,6.76,3.5,11,25.89,Upgrade
12,Long-Term Investments,0.58,0.56,1.04,1.14,2.25,2.4,2.57,2.61,3.97,19.75,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,0.61,Upgrade
14,Other Intangible Assets,-,-,-,-,-,-,-,-,-,5.09,Upgrade
15,Long-Term Deferred Tax Assets,-,-,-,2.7,1.23,1.14,3.61,3.61,4.85,1.87,Upgrade
16,Total Assets,109.44,149.67,233.94,287.66,305.63,314.1,450.2,434.28,554.24,714.71,Upgrade
17,Accounts Payable,8.6,23.27,6.08,23.77,6.53,17.6,5.53,10.7,90.75,201.04,Upgrade
18,Short-Term Debt,29.38,28.72,27.66,31.26,30.89,12.04,9.2,20,20,-,Upgrade
19,Current Portion of Long-Term Debt,75.03,72.24,-,-,72.3,72.3,-,-,115.89,21.13,Upgrade
20,Current Portion of Leases,5.08,5.79,6.08,4.75,3.92,5.14,4.71,6.18,6.26,12.7,Upgrade
21,Current Income Taxes Payable,2.78,2.78,2.78,2.78,3.56,3.56,3.56,3.85,6.15,2.7,Upgrade
22,Other Current Liabilities,11.93,10.16,6.12,12.2,10.02,9.01,5.76,9.63,25.47,51.27,Upgrade
23,Total Current Liabilities,132.79,142.95,48.72,74.76,127.23,119.64,28.75,50.35,264.52,288.84,Upgrade
24,Long-Term Debt,-,-,73.77,71.04,-,-,84.5,85.5,-,112.01,Upgrade
25,Long-Term Leases,0.91,2.15,4.09,2.84,0.67,1.39,4.29,2.14,6.09,8.67,Upgrade
26,Long-Term Deferred Tax Liabilities,-,0.17,0.27,0.37,-,-,-,-,0.58,4.61,Upgrade
27,Total Liabilities,133.7,145.27,126.85,149.01,127.9,121.03,117.55,137.99,271.19,414.11,Upgrade
28,Common Stock,7.71,7.71,7.71,7.71,7.71,7.71,770.48,770.48,775.31,786.55,Upgrade
29,Additional Paid-In Capital,25.68,25.68,19.84,25.68,25.68,25.68,337.17,337.17,337.17,373.83,Upgrade
30,Retained Earnings,-77.31,-48.65,54.05,85.91,113.78,128.96,-805.7,-842.27,-858.95,-817.41,Upgrade
31,Treasury Stock,-,-,-,-,-,-,-,-,-1.53,-,Upgrade
32,Comprehensive Income & Other,19.67,19.67,25.5,19.36,30.57,30.73,30.7,30.91,31.07,6.2,Upgrade
33,Total Common Equity,-24.26,4.4,107.09,138.65,177.73,193.06,332.65,296.29,283.05,349.17,Upgrade
