,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,19952,4093,5546,7840,-,-
1,Market Cap Growth,-47.78%,-47.78%,-,-,-,-
2,Enterprise Value,18263,1820,3329,6673,-,-
3,Last Close Price,44.50,9.13,11.62,16.42,-,-
4,PE Ratio,341.94,-,26.40,-,-,-
5,Forward PE,96.36,19.31,15.32,11.30,-,-
6,PS Ratio,9.00,1.90,2.56,4.03,-,-
7,PB Ratio,16.97,3.48,3.32,5.92,-,-
8,P/TBV Ratio,3.60,3.60,3.33,5.94,-,-
9,P/FCF Ratio,311.30,-,11.65,18.67,-,-
10,P/OCF Ratio,57.02,-,11.34,18.06,-,-
11,EV/Sales Ratio,8.49,0.85,1.54,3.43,-,-
12,EV/EBITDA Ratio,92.67,-,16.17,-,-,-
13,EV/EBIT Ratio,166.83,-,17.37,-,-,-
14,EV/FCF Ratio,284.96,-,6.99,15.89,-,-
15,Debt / Equity Ratio,0.06,0.06,0.01,0.12,0.09,-
16,Debt / FCF Ratio,1.11,-,0.04,0.39,0.21,-
17,Return on Capital Employed (ROCE),9.29%,-,11.49%,-,74.59%,-
18,Earnings Yield,0.29%,1.43%,3.79%,2.79%,-,-
19,FCF Yield,0.32%,1.57%,8.58%,5.36%,-,-
20,Buyback Yield / Dilution,-11.37%,-4.24%,-19.21%,-9.86%,-,-
21,Total Shareholder Return,-10.88%,-4.24%,-19.21%,-9.86%,-,-
