,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,721.46,745.87,814.05,352.99,-
1,Short-Term Investments,47.48,14.87,16.13,13.76,-
2,Trading Asset Securities,868.68,1323,1374,713.7,-
3,Cash & Short-Term Investments,1638,2083,2205,1080,-
4,Cash Growth,-25.72%,92.81%,-,-,-
5,Accounts Receivable,37.64,35.68,-,36.98,-
6,Other Receivables,25.9,22.86,91.36,41.29,-
7,Receivables,70.59,124.79,122.66,109.17,-
8,Restricted Cash,0.45,0.3,50.03,-,-
9,Other Current Assets,80.81,118.5,125.01,23.98,-
10,Total Current Assets,1789,2327,2502,1214,-
11,"Property, Plant & Equipment",59.63,26.87,57.91,65.81,-
12,Other Intangible Assets,37.54,2.05,4.17,5.67,-
13,Long-Term Deferred Tax Assets,130.66,102.82,116.67,78.08,-
14,Total Assets,2017,2459,2681,1363,-
15,Accounts Payable,-,2.52,-,0.51,-
16,Accrued Expenses,136.14,159.22,178.53,148.54,-
17,Short-Term Debt,24.33,13.23,115.3,-,-
18,Current Portion of Leases,39.8,5.87,36.78,38.77,-
19,Current Income Taxes Payable,-,47.22,25.33,19.4,-
20,Current Unearned Revenue,614.62,689.32,831.72,577.15,-
21,Other Current Liabilities,105.96,26.39,267.43,39.62,-
22,Total Current Liabilities,920.84,943.78,1455,823.99,-
23,Long-Term Leases,2.05,0.03,0.6,9.76,-
24,Total Liabilities,922.89,943.81,1456,833.74,-
25,Common Stock,0,0,0,-,-
26,Additional Paid-In Capital,-,853.57,-,-,-
27,Retained Earnings,546.31,505.63,277.15,529.78,-
28,Comprehensive Income & Other,548.08,155.59,948.19,-0.35,-
29,Shareholders' Equity,1094,1515,1225,529.42,-
30,Total Liabilities & Equity,2017,2459,2681,1363,-
31,Total Debt,66.18,19.14,152.68,48.52,-
32,Net Cash (Debt),1571,2064,2052,1032,-
33,Net Cash Growth,-23.42%,100.03%,-,-,-
34,Net Cash Per Share,3.63,4.58,4.94,2.73,-
35,Filing Date Shares Outstanding,448.36,437.97,466.09,377.72,377.72
36,Total Common Shares Outstanding,448.36,437.97,466.09,377.72,377.72
37,Working Capital,868.63,1383,1047,389.62,-
38,Book Value Per Share,2.44,3.46,2.63,1.40,-
39,Tangible Book Value,1057,1513,1221,523.75,-
40,Tangible Book Value Per Share,2.36,3.45,2.62,1.39,-
41,Machinery,43.93,40.36,35.74,30.16,-
42,Leasehold Improvements,4.82,4.82,4.82,4.66,-
