,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,898.14,1105,860.66,940.71,909.44
1,Revenue Growth (YoY),4.36%,17.44%,-5.36%,-,-
2,Cost of Revenue,180.28,176.27,145.86,138.08,97.2
3,Gross Profit,717.87,928.46,714.8,802.63,812.24
4,"Selling, General & Admin",742.52,635.34,715.74,560.84,558.03
5,Research & Development,154.5,141.95,145.47,121.2,108.33
6,Other Operating Expenses,-54.36,-75.5,-93.74,-68.52,-67.21
7,Operating Expenses,842.66,701.79,767.47,613.53,599.15
8,Operating Income,-124.79,226.68,-52.67,189.1,213.09
9,Interest Expense,-1.27,-0.66,-1,-1.18,-1.15
10,Interest & Investment Income,6.6,6.7,6.13,0.59,0.08
11,Currency Exchange Gain (Loss),-4.17,-,-3.94,-,-
12,Other Non Operating Income (Expenses),-,-2.16,-,-,-
13,EBT Excluding Unusual Items,-123.63,230.56,-51.47,188.51,212.02
14,Gain (Loss) on Sale of Investments,-94.61,25.3,-6.01,18.27,7.68
15,Gain (Loss) on Sale of Assets,-,8.37,-,45.1,5.29
16,Asset Writedown,1.45,-,-,-,-
17,Other Unusual Items,-,-,-,-,4.57
18,Pretax Income,-216.79,264.22,-57.48,251.88,229.55
19,Income Tax Expense,-42.61,35.74,-19.72,11.49,9.39
20,Net Income,-174.18,228.49,-37.77,240.39,220.16
21,Net Income to Common,-174.18,228.49,-37.77,240.39,220.16
22,Net Income Growth,-,-4.95%,-,-,-
23,Shares Outstanding (Basic),433,438,415,378,378
24,Shares Outstanding (Diluted),433,450,415,378,378
25,Shares Change (YoY),4.24%,19.21%,9.86%,-,-
26,EPS (Basic),-0.40,0.52,-0.09,0.64,0.58
27,EPS (Diluted),-0.40,0.51,-0.09,0.64,0.58
28,EPS Growth,-,-20.40%,-,-,-
29,Free Cash Flow,-166.21,225.86,206.34,182.31,45.83
30,Free Cash Flow Per Share,-0.38,0.50,0.50,0.48,0.12
31,Operating Margin,-13.89%,20.52%,-6.12%,20.10%,23.43%
32,Profit Margin,-19.39%,20.68%,-4.39%,25.55%,24.21%
33,Free Cash Flow Margin,-18.51%,20.44%,23.97%,19.38%,5.04%
34,EBITDA,-121.3,232.74,-45.89,194.74,218.69
35,D&A For EBITDA,3.49,6.06,6.78,5.64,5.61
36,EBIT,-124.79,226.68,-52.67,189.1,213.09
