,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,3945,1782,2043,2638,3228,2646,1704,1614,1236,1597,Upgrade
1,Revenue Growth (YoY),93.06%,-32.43%,-36.71%,-0.29%,89.48%,63.87%,37.89%,1.08%,-32.42%,-30.02%,Upgrade
2,Cost of Revenue,3535,1206,1616,1863,2168,1818,1339,1409,1301,1419,Upgrade
3,Gross Profit,409.36,576.46,427.5,774.31,1061,827.73,365.21,205.49,-65.48,178.38,Upgrade
4,"Selling, General & Admin",98.98,160.66,111.87,171.83,132.93,202.16,122.75,175.22,104.3,201.1,Upgrade
5,Other Operating Expenses,11.76,52.6,8.57,16.07,14.34,16.8,10.15,26.17,26.7,26.82,Upgrade
6,Operating Expenses,110.75,111.33,119.7,238.91,137.64,250.95,132.9,202.87,131,227.92,Upgrade
7,Operating Income,298.61,465.13,307.8,535.4,922.88,576.78,232.31,2.62,-196.48,-49.54,Upgrade
8,Interest Expense,-37.69,-62.55,-75.21,-78.33,-37.03,-35.14,-45.88,-56.43,-79.9,-116.14,Upgrade
9,Interest & Investment Income,27.57,34.79,39.13,32.23,10.26,11.52,7.09,6.2,10.24,15.52,Upgrade
10,Earnings From Equity Investments,161.98,95.57,190.27,33.38,389.17,172.49,250.03,-125.16,-194.8,214.67,Upgrade
11,Currency Exchange Gain (Loss),0.48,0.67,-7.27,-11.59,-6.47,43.24,11.42,-35.72,-1.1,-11.15,Upgrade
12,Other Non Operating Income (Expenses),4.81,-0.83,19.29,43.95,79.87,1.93,34.66,86.7,6.74,55.91,Upgrade
13,EBT Excluding Unusual Items,455.76,532.78,474.02,555.03,1359,770.81,489.64,-121.8,-455.31,109.27,Upgrade
14,Impairment of Goodwill,-,-,-,-24.68,-,-,-,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,-,-844.72,-,-45.18,-,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Assets,1.45,-8.18,0.04,-0.48,0.74,11.66,0.06,194.67,33.89,-,Upgrade
17,Asset Writedown,-,542.83,-,31.2,-,-,-,-,-,-,Upgrade
18,Legal Settlements,-,-,-,-,-,-,-,19.14,-,17.92,Upgrade
19,Other Unusual Items,-,-,-,-,-,64.16,-,67.59,-,122.96,Upgrade
20,Pretax Income,457.21,222.7,474.06,515.9,1359,846.63,489.7,159.6,-421.42,250.16,Upgrade
21,Income Tax Expense,82.71,13.86,64.07,44.25,430.94,180.02,42.16,90.06,8.63,0.15,Upgrade
22,Earnings From Continuing Operations,374.5,208.85,409.99,471.65,928.47,666.61,447.54,69.54,-430.05,250.01,Upgrade
23,Minority Interest in Earnings,-21.38,-40.25,-26.78,-29.4,-35.18,9.34,-20.13,-2.57,-0.76,-11.77,Upgrade
24,Net Income,353.11,168.6,383.21,442.25,893.29,675.95,427.41,66.96,-430.81,238.24,Upgrade
25,Net Income to Common,353.11,168.6,383.21,442.25,893.29,675.95,427.41,66.96,-430.81,238.24,Upgrade
26,Net Income Growth,-7.85%,-61.88%,-57.10%,-34.57%,109.00%,909.47%,-,-71.89%,-,-36.66%,Upgrade
27,Shares Outstanding (Basic),7858,7858,7858,7858,7858,7858,7858,7858,7858,7858,Upgrade
28,Shares Outstanding (Diluted),7858,7858,7858,7858,7858,7858,7858,7858,7858,7858,Upgrade
29,EPS (Basic),0.04,0.02,0.05,0.06,0.11,0.09,0.05,0.01,-0.05,0.03,Upgrade
30,EPS (Diluted),0.04,0.02,0.05,0.06,0.11,0.09,0.05,0.01,-0.05,0.03,Upgrade
31,EPS Growth,-7.93%,-61.98%,-57.10%,-34.56%,109.00%,911.76%,-,-71.95%,-,-36.70%,Upgrade
32,Free Cash Flow,240.77,419.01,330.59,736.69,904.72,507.92,161.07,-83.39,-180.34,189.36,Upgrade
33,Free Cash Flow Per Share,0.03,0.05,0.04,0.09,0.12,0.06,0.02,-0.01,-0.02,0.02,Upgrade
34,Operating Margin,7.57%,26.10%,15.06%,20.30%,28.59%,21.80%,13.63%,0.16%,-15.90%,-3.10%,Upgrade
35,Profit Margin,8.95%,9.46%,18.76%,16.77%,27.67%,25.55%,25.08%,4.15%,-34.86%,14.92%,Upgrade
36,Free Cash Flow Margin,6.10%,23.51%,16.18%,27.93%,28.02%,19.20%,9.45%,-5.17%,-14.60%,11.86%,Upgrade
37,EBITDA,563.21,562.42,557.48,769.82,1147,808.8,438.52,162.84,-17.01,117.99,Upgrade
38,D&A For EBITDA,264.59,97.3,249.67,234.42,224.33,232.02,206.2,160.22,179.47,167.53,Upgrade
39,EBIT,298.61,465.13,307.8,535.4,922.88,576.78,232.31,2.62,-196.48,-49.54,Upgrade
