,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4946,4202,4363,4908,5149,5614,7829,6251,6226,4853,4341,-,-,-,-,-,-,-
1,Market Cap Growth,-25.14%,-25.14%,-44.27%,-21.49%,-17.29%,15.66%,80.33%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4530,3637,3775,4282,4523,4920,7108,5452,5426,4061,4214,-,-,-,-,-,-,-
3,Last Close Price,49.37,41.96,43.56,48.95,51.35,55.98,78.08,61.99,61.73,48.12,43.05,-,-,-,-,-,-,-
4,PE Ratio,57.99,49.07,50.85,56.94,61.12,68.14,98.90,86.61,92.81,71.95,67.67,-,-,-,-,-,-,-
5,Forward PE,43.31,35.51,36.11,40.98,44.71,52.70,76.40,63.38,63.12,53.59,52.01,-,-,-,-,-,-,-
6,PS Ratio,9.61,8.20,8.88,10.28,11.29,12.52,19.21,16.40,17.32,14.95,13.50,-,-,-,-,-,-,-
7,PB Ratio,4.39,3.62,3.83,4.38,4.80,5.42,7.75,6.12,6.19,5.00,4.54,-,-,-,-,-,-,-
8,P/TBV Ratio,3.76,3.76,3.98,4.55,4.81,5.46,7.78,6.14,6.20,5.00,4.54,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,161.58,-,328.47,-,116.46,202.07,114.90,-,-,-,-,-,-,-
10,P/OCF Ratio,85.70,-,69.02,-,76.55,177.37,196.00,-,104.89,160.17,101.89,-,-,-,-,-,-,-
11,EV/Sales Ratio,8.84,7.10,7.68,8.97,9.91,10.97,17.44,14.30,15.09,12.51,13.10,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,73.25,59.60,62.73,70.56,74.43,77.88,125.41,105.99,108.71,62.28,62.00,-,-,-,-,-,-,-
13,EV/EBIT Ratio,89.33,64.12,67.36,74.00,77.84,81.10,130.50,110.25,112.52,63.64,63.28,-,-,-,-,-,-,-
14,EV/FCF Ratio,-60.16,-,-,-,141.94,-,298.23,-,101.50,169.08,111.53,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.09,0.09,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,-,0.03,0.03,-,-
16,Debt / EBITDA Ratio,1.69,1.40,0.56,1.75,0.52,0.48,0.22,0.62,0.06,0.14,0.11,0.21,0.04,-,0.17,0.17,-,-
17,Debt / FCF Ratio,-,-,-,-,1.44,-,0.93,-,0.09,0.26,0.20,-,0.13,-,-,-,-,-
18,Asset Turnover,0.37,0.33,0.29,0.44,0.39,0.35,0.27,0.47,0.28,-,-,-,-,0.71,-,0.62,-,
19,Inventory Turnover,1.78,1.92,1.91,1.83,2.36,2.12,1.75,1.50,2.52,1.19,-,-,-,-,2.22,-,0.82,-
20,Quick Ratio,2.69,2.69,3.51,3.64,3.63,4.67,5.43,5.41,4.60,5.83,5.71,-,1.83,-,2.09,2.09,2.23,2.23
21,Current Ratio,3.06,3.06,3.85,3.97,3.95,5.08,5.83,5.80,4.96,6.28,6.15,-,2.24,-,2.47,2.47,2.81,2.81
22,Return on Equity (ROE),6.66%,8.12%,4.39%,12.07%,7.00%,8.75%,3.94%,12.27%,6.33%,10.48%,8.61%,-,-,15.83%,-,20.48%,-,
23,Return on Assets (ROA),2.93%,3.10%,1.26%,2.53%,3.47%,4.07%,1.50%,3.36%,2.42%,-,-,-,-,6.88%,-,9.28%,-,
24,Return on Capital (ROIC),3.66%,3.82%,1.56%,3.09%,4.11%,4.80%,1.81%,4.04%,2.85%,6.12%,6.15%,-,-,10.98%,-,14.21%,-,
25,Return on Capital Employed (ROCE),4.10%,4.59%,4.77%,4.98%,5.26%,5.70%,5.29%,4.74%,4.78%,6.55%,6.94%,-,25.76%,-,17.07%,12.61%,11.36%,5.68%
26,Earnings Yield,1.73%,2.04%,1.97%,1.76%,1.64%,1.47%,1.01%,1.15%,1.08%,1.39%,1.48%,-,-,-,-,-,-,-
27,FCF Yield,-1.52%,-1.79%,0.20%,0.59%,0.62%,0.20%,0.30%,0.27%,0.86%,0.49%,0.87%,-,-,-,-,-,-,-
28,Dividend Yield,0.87%,-,-,-,0.88%,-,-,-,0.64%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,52.39%,-,199.77%,7.57%,-,-,171.38%,-,-,-,202.29%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.68%,0.98%,10.27%,-8.81%,-0.85%,-5.35%,-12.80%,-27.23%,-34.24%,-34.03%,-25.59%,1.08%,-1.86%,-0.33%,-,-,-,-
31,Total Shareholder Return,1.56%,0.98%,10.27%,-8.81%,0.03%,-5.35%,-12.80%,-27.23%,-33.61%,-34.03%,-25.59%,1.08%,-1.86%,-0.33%,-,-,-,-
