,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,144.23,117.04,103.51,132.73,127.36,99.07,82.31,139.71,82.64,76.57,60.61,92.89,80.8,57.32,57.32,34.69,34.69
1,Other Revenue,-3.47,3.47,-,14.76,-7.39,7.39,-,-,-3.56,3.56,-,11.82,-4.57,2.28,2.28,0.8,0.8
2,Revenue,140.76,120.51,103.51,147.49,119.96,106.46,82.31,139.71,79.09,80.12,60.61,104.72,76.23,59.6,59.6,35.48,35.48
3,Revenue Growth (YoY),17.34%,13.20%,25.75%,5.56%,51.69%,32.87%,35.82%,33.42%,3.74%,34.43%,1.69%,195.11%,114.84%,-,-,-,-
4,Cost of Revenue,45.93,37.45,35.97,48.5,39.92,31.12,28.5,49.67,22.39,25.82,22.18,33.7,29.57,23.31,23.31,8.56,8.56
5,Gross Profit,94.84,83.06,67.54,98.98,80.04,75.34,53.82,90.05,56.69,54.3,38.43,71.01,46.66,36.29,36.29,26.93,26.93
6,"Selling, General & Admin",47.43,44.85,37.1,61.37,34.75,37.56,30.09,46.28,29.91,26.1,21.96,27.53,20.61,18.64,18.64,12.32,12.32
7,Research & Development,24.74,18.86,21.16,21.85,23.76,20.31,18.77,21.33,15.48,12.52,12.15,9.95,11.6,8.67,8.67,6.01,6.01
8,Other Operating Expenses,0.18,-1.19,-0.88,-0.96,-0.1,-3.98,-4.34,2.34,-1.08,-0.96,-2.79,-0.85,-0.33,-1.03,-1.03,-0.53,-0.53
9,Operating Expenses,76.87,64.98,60.37,85.47,62.76,55.44,46.41,73.98,45.61,39.42,32.24,39.35,32.79,27.05,27.05,18.5,18.5
10,Operating Income,17.96,18.08,7.17,13.52,17.28,19.9,7.41,16.07,11.09,14.88,6.19,31.66,13.87,9.24,9.24,8.43,8.43
11,Interest Expense,-1.18,-0.62,-0.38,-0.47,-0.36,-0.13,-0.06,-0.08,-0.09,-0.08,-0.08,-0.09,-0.1,-0.12,-0.12,-0.01,-0.01
12,Interest & Investment Income,4.1,5.87,2.87,8.39,4.65,2.99,3.38,7.12,4.27,1.17,0.27,0.75,0.19,0.31,0.31,0.24,0.24
13,Currency Exchange Gain (Loss),0,-0,-,0.05,-0.02,0.02,-,0,0,-0,-,-0.03,-0,0,0,-,-
14,Other Non Operating Income (Expenses),-0.22,0.21,-0.09,-0.42,0.03,-0.06,0.01,-0.2,0.04,-0.1,-0.01,-0.07,0.09,-0.02,-0.02,-0.01,-0.01
15,EBT Excluding Unusual Items,20.67,23.54,9.57,21.08,21.58,22.72,10.74,22.91,15.31,15.87,6.38,32.22,14.04,9.41,9.41,8.66,8.66
16,Gain (Loss) on Sale of Investments,0.34,0.13,5.69,3.82,0.59,1.36,1.26,-,0.32,0.33,-,0.02,0.31,0.25,0.25,0.11,0.11
17,Gain (Loss) on Sale of Assets,-,-,-,-,0.02,0.08,-,-,-,-,-,-,0.18,-,-,-0,-0
18,Asset Writedown,-0.09,-0.02,-0.03,0.22,-0.24,0.07,-0.08,0.06,-0.01,-0,-0.01,0.12,-0.14,-0.01,-0.01,-,-
19,Other Unusual Items,2.11,0.23,-0,0.26,-0.22,0.22,-,4.41,-0.12,0.12,-,-0.85,0.03,-0.01,-0.01,0.19,0.19
20,Pretax Income,23.03,23.88,15.24,25.37,21.73,24.46,11.91,27.37,15.5,16.32,6.37,31.51,14.41,9.64,9.64,8.96,8.96
21,Income Tax Expense,3.89,0.96,3.2,-6.45,3.84,2.23,1.93,-2.95,0.26,0.56,1.07,0.57,2.26,1.59,1.59,1.36,1.36
22,Earnings From Continuing Operations,19.14,22.91,12.04,31.81,17.89,22.22,9.98,30.32,15.25,15.76,5.3,30.93,12.15,8.05,8.05,7.6,7.6
23,Minority Interest in Earnings,-0.62,-0.55,0.31,0.61,0.78,0.53,0.41,0.24,0.2,0.01,0,0,0,0,0,0,0
24,Net Income,18.51,22.36,12.34,32.43,18.67,22.75,10.4,30.56,15.45,15.77,5.3,30.93,12.15,8.05,8.05,7.6,7.6
25,Net Income to Common,18.51,22.36,12.34,32.43,18.67,22.75,10.4,30.56,15.45,15.77,5.3,30.93,12.15,8.05,8.05,7.6,7.6
26,Net Income Growth,-0.86%,-1.72%,18.71%,6.11%,20.86%,44.27%,96.01%,-1.21%,27.16%,96.00%,-34.08%,307.16%,59.94%,-,-,-,-
27,Shares Outstanding (Basic),103,95,103,97,98,106,95,95,99,94,74,75,74,75,75,73,73
28,Shares Outstanding (Diluted),103,95,103,101,104,106,95,100,99,94,74,75,74,75,75,73,73
29,Shares Change (YoY),-0.98%,-10.27%,8.81%,0.85%,5.35%,12.80%,27.23%,34.24%,34.03%,25.59%,-1.08%,1.86%,0.33%,-,-,-,-
30,EPS (Basic),0.18,0.23,0.12,0.33,0.19,0.21,0.11,0.32,0.16,0.17,0.07,0.41,0.17,0.11,0.11,0.10,0.10
31,EPS (Diluted),0.18,0.23,0.12,0.32,0.18,0.21,0.11,0.30,0.16,0.17,0.07,0.41,0.17,0.11,0.11,0.10,0.10
32,EPS Growth,0.12%,9.54%,9.09%,5.22%,14.73%,27.89%,54.06%,-26.41%,-5.13%,56.06%,-33.36%,299.72%,59.41%,-,-,-,-
33,Free Cash Flow,-89.43,-1.13,-59.04,74.29,-5.48,18.99,-55.94,53.72,7.05,11.95,-19.27,24.28,20.82,-2.4,-2.4,4.38,4.38
34,Free Cash Flow Per Share,-0.87,-0.01,-0.57,0.73,-0.05,0.18,-0.59,0.54,0.07,0.13,-0.26,0.32,0.28,-0.03,-0.03,0.06,0.06
35,Dividend Per Share,-,-,-,0.450,-,-,-,0.393,-,-,-,0.321,-,-,-,-,-
36,Dividend Growth,-,-,-,14.53%,-,-,-,22.25%,-,-,-,-,-,-,-,-,-
37,Gross Margin,67.37%,68.93%,65.25%,67.11%,66.72%,70.77%,65.38%,64.45%,71.69%,67.77%,63.41%,67.81%,61.21%,60.89%,60.89%,75.89%,75.89%
