,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,21.5,22.63,2.27,5.53,6.16,6.3,3.76,19.01,7.85,2.95,Upgrade
1,Trading Asset Securities,0.28,5.03,0.65,0.73,0.9,0.96,3.88,1.13,1.59,1.7,Upgrade
2,Cash & Short-Term Investments,21.79,27.66,2.93,6.26,7.06,7.26,7.64,20.13,9.44,4.65,Upgrade
3,Cash Growth,644.53%,342.18%,-58.57%,-13.78%,-7.57%,-63.96%,-19.08%,333.27%,24.32%,-55.46%,Upgrade
4,Accounts Receivable,17.92,19.99,16.42,16.77,17.46,25.14,27.39,31.74,27.24,38.74,Upgrade
5,Receivables,25.61,27.53,23.78,24.09,29.44,37.27,40.15,43.89,45.51,53.55,Upgrade
6,Inventory,31.23,29.55,31.33,33.45,26.09,29.63,28.15,25.26,28.62,22.8,Upgrade
7,Prepaid Expenses,22.45,23.88,23.87,20.89,21.29,21.36,31.49,28.98,29.71,28.12,Upgrade
8,Other Current Assets,59.65,61.72,78.48,77.23,11,11,11,12,12,12,Upgrade
9,Total Current Assets,160.73,170.34,160.38,161.91,94.88,106.52,118.43,130.27,125.28,121.12,Upgrade
10,"Property, Plant & Equipment",381.42,386.86,391.6,429.02,559.07,573.91,586.31,561.2,575.68,546.02,Upgrade
11,Long-Term Investments,-,-,19.23,-,-,-,-,-,-,-,Upgrade
12,Goodwill,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,Upgrade
13,Other Intangible Assets,62.75,65.61,69.49,70.51,75.65,80.83,89.07,89.89,92.31,90.79,Upgrade
14,Long-Term Accounts Receivable,36.68,37.34,37.54,36.75,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,-,-,-,18.91,18.47,18.16,17.66,17.2,-,-,Upgrade
16,Total Assets,642.66,661.4,679.65,718.69,749.83,780.51,812.65,799.65,794.61,762.4,Upgrade
17,Accounts Payable,5.17,6.45,5.08,10.92,2.22,9.12,7.25,9.57,7.71,4.48,Upgrade
18,Short-Term Debt,86.98,84.84,83.69,74.15,73.38,68.22,69.73,71.79,30.72,29.68,Upgrade
19,Current Portion of Leases,3.11,2.83,1.71,1.21,0.68,2.22,4.9,10.95,8.75,4.09,Upgrade
20,Current Income Taxes Payable,0.46,0.78,0.72,0.64,1.35,0.38,0.47,2.87,2.78,3.12,Upgrade
21,Current Unearned Revenue,4.52,4.35,4.26,2.64,2.76,4.86,8.44,6.7,5.11,4.83,Upgrade
22,Other Current Liabilities,34.71,31.52,30.8,29.34,17.67,24.15,22.61,23.42,27.35,27.24,Upgrade
23,Total Current Liabilities,134.96,130.77,126.26,118.89,98.06,108.94,113.4,125.29,82.42,73.44,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,-,1.5,1.5,Upgrade
25,Long-Term Leases,46.46,47.59,49.17,48.36,44.81,48.12,47.77,26.6,29.51,26.31,Upgrade
26,Long-Term Deferred Tax Liabilities,61.22,64.02,68.2,75.12,83.85,86.98,90.16,88.06,89.6,83.42,Upgrade
27,Other Long-Term Liabilities,-,-,-,-,-,-,1.17,-,-,-,Upgrade
28,Total Liabilities,242.64,242.38,243.63,242.37,226.73,244.04,252.5,239.95,203.03,184.67,Upgrade
29,Common Stock,48.88,48.88,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73,Upgrade
30,Additional Paid-In Capital,1218,1218,1211,1211,1211,1211,1211,1211,1211,1211,Upgrade
31,Retained Earnings,-905.96,-890.78,-870.49,-826.23,-792.11,-789.26,-780.33,-772.52,-740.04,-726.41,Upgrade
32,Comprehensive Income & Other,31.11,33.52,40.81,37.98,51.42,62.23,77.06,70.38,66.36,40.34,Upgrade
33,Total Common Equity,392.35,409.94,421.55,462.98,510.54,524.2,547.96,549.1,577.55,565.16,Upgrade
34,Minority Interest,7.67,9.08,14.47,13.34,12.56,12.27,12.19,10.61,14.03,12.57,Upgrade
35,Shareholders' Equity,400.02,419.02,436.02,476.32,523.1,536.47,560.15,559.7,591.58,577.73,Upgrade
36,Total Liabilities & Equity,642.66,661.4,679.65,718.69,749.83,780.51,812.65,799.65,794.61,762.4,Upgrade
37,Total Debt,136.55,135.26,134.57,123.71,118.88,118.56,122.4,109.34,70.48,61.57,Upgrade
38,Net Cash (Debt),-114.77,-107.6,-131.64,-117.46,-111.82,-111.3,-114.76,-89.2,-61.04,-56.93,Upgrade
39,Net Cash Per Share,-0.23,-0.23,-0.32,-0.29,-0.27,-0.27,-0.28,-0.22,-0.15,-0.14,Upgrade
40,Filing Date Shares Outstanding,488.77,488.77,407.31,407.31,407.31,407.31,407.31,407.31,407.31,407.31,Upgrade
41,Total Common Shares Outstanding,488.77,488.77,407.31,407.31,407.31,407.31,407.31,407.31,407.31,407.31,Upgrade
42,Working Capital,25.76,39.58,34.12,43.02,-3.18,-2.42,5.04,4.98,42.85,47.68,Upgrade
43,Book Value Per Share,0.80,0.84,1.03,1.14,1.25,1.29,1.35,1.35,1.42,1.39,Upgrade
44,Tangible Book Value,328.51,343.25,350.98,391.39,433.81,442.28,457.8,458.12,484.16,473.28,Upgrade
45,Tangible Book Value Per Share,0.67,0.70,0.86,0.96,1.07,1.09,1.12,1.12,1.19,1.16,Upgrade
46,Machinery,-,4.83,-,6.92,-,14.49,-,15.53,-,18.05,Upgrade
47,Leasehold Improvements,-,0.48,-,0.27,-,8.34,-,6.54,-,6.53,Upgrade
