,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,2184,3120,2603,2716,3215,3514,3724,456.66,616.38,724.34,-,616.94
1,Trading Asset Securities,903.57,40.68,61.96,113.47,381.51,599.61,290.06,25.85,6.41,-,-,13
2,Cash & Short-Term Investments,3088,3161,2665,2829,3596,4113,4014,482.5,622.79,724.34,629.94,629.94
3,Cash Growth,-14.14%,-23.15%,-33.60%,486.40%,477.41%,467.85%,537.17%,-23.41%,-,-,-,-
4,Accounts Receivable,1194,1575,2030,1321,978.36,1131,1808,1221,992.76,1426,-,1059
5,Other Receivables,160.22,180.55,110.73,143.72,164.68,137.26,95.18,101.76,95.49,92.23,-,79.44
6,Receivables,1354,1755,2141,1465,1143,1268,1904,1323,1088,1518,-,1139
7,Inventory,2184,1989,2075,2199,2256,2342,2740,2972,2870,2550,-,2197
8,Prepaid Expenses,-,0.98,-,6.99,-,3.51,-,7.7,7.79,4.67,-,2.08
9,Other Current Assets,174.66,172.16,136.02,86.7,139.83,146.63,169.21,174.62,153.84,195.61,-,261.18
10,Total Current Assets,6800,7079,7018,6587,7135,7874,8826,4960,4742,4992,-,4228
11,"Property, Plant & Equipment",1276,1302,1189,1190,983.68,917.65,788.05,773.79,694.64,659.99,-,584.85
12,Other Intangible Assets,242.34,237.04,246.34,232.29,257.17,232.05,239.09,224.08,224.5,214.88,-,83.84
13,Long-Term Deferred Tax Assets,327.75,320.25,282.23,310.72,285.92,213.43,174.25,160.91,123.33,105.53,-,44.93
14,Long-Term Deferred Charges,138.42,123.4,118.2,113.23,75.3,71.73,58.03,63.86,65.35,64.6,-,57.84
15,Other Long-Term Assets,25.12,25.9,26.33,26.49,30.47,23.15,30.03,12.28,26.18,53.87,-,219.39
16,Total Assets,8810,9087,8880,8459,8767,9332,10116,6195,5876,6091,-,5219
17,Accounts Payable,1860,1600,1485,1298,1096,1141,1702,1594,1657,1924,-,2016
18,Accrued Expenses,57.85,316.86,64.49,212.21,54.48,242.41,64.98,178.5,273.27,332.72,-,269.45
19,Short-Term Debt,616.43,782.52,821.25,994.34,1006,1601,1580,1411,1139,748.29,-,308.17
20,Current Portion of Long-Term Debt,574.84,103.5,151.81,235.45,366.1,408.5,363.91,507.85,524.71,354.91,-,138.27
21,Current Portion of Leases,-,57.81,-,38.49,-,37.44,-,32.35,33.53,33.12,-,32.15
22,Current Income Taxes Payable,15.03,2.68,16.24,5.93,13.95,6.28,14.49,4.9,3.88,23.93,-,0.74
23,Current Unearned Revenue,42.59,67.34,104.4,65.7,76.11,107.45,65.24,61.05,73.82,96.01,-,101.32
24,Other Current Liabilities,326.72,87.92,243.18,182.81,280.4,101.75,154.58,146.3,90.04,58.28,-,38.8
25,Total Current Liabilities,3494,3018,2887,3033,2893,3645,3945,3936,3795,3571,-,2905
26,Long-Term Debt,697.68,1161,1110,649.5,889.76,574.11,888.01,598.04,435.4,728.59,-,749.87
27,Long-Term Leases,131.86,148.81,132.26,154.17,73.18,72.94,82.02,54.01,52.9,56.46,-,70.07
28,Long-Term Unearned Revenue,7.17,7.79,7.25,8.2,7.94,8.72,7.99,9.08,9.34,9.59,-,9.86
29,Long-Term Deferred Tax Liabilities,10.05,8.38,9.51,7.48,13,8.73,23.34,23.24,12.82,22.94,-,37.6
30,Other Long-Term Liabilities,106.99,109.8,117.49,107.98,101.26,107.46,101.66,98.15,106.74,96.73,-,91.01
31,Total Liabilities,4447,4454,4263,3960,3978,4417,5048,4719,4412,4486,-,3864
32,Common Stock,489.26,489.26,489.26,489.26,486.16,486.16,486.16,364.62,364.62,364.62,-,364.62
33,Additional Paid-In Capital,4153,4152,4152,4155,4140,4133,4132,707.57,705.94,702.74,-,700.35
34,Retained Earnings,-70.9,41,49.68,-80.19,219.27,340.22,511.61,424.12,360.17,412.07,-,158.25
35,Treasury Stock,-87.91,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-121.47,-49.29,-73.91,-65.05,-55.96,-44.34,-61.28,-20.56,33.17,125.88,-,132.46
37,Total Common Equity,4362,4633,4617,4499,4789,4915,5068,1476,1464,1605,1356,1356
38,Minority Interest,0.03,-0.06,-0.06,-0.04,-0.03,-,-,-,-,-,-,-
39,Shareholders' Equity,4362,4633,4617,4499,4789,4915,5068,1476,1464,1605,1356,1356
40,Total Liabilities & Equity,8810,9087,8880,8459,8767,9332,10116,6195,5876,6091,-,5219
