,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,6955,7256,6664,6067,8503,8897,11945,13326,-,-,-,-,-
1,Market Cap Growth,-18.45%,-18.45%,-44.21%,-54.47%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5888,6348,6213,4805,7242,7477,10845,14894,-,-,-,-,-
3,Last Close Price,14.38,14.83,13.62,12.40,17.38,18.30,24.57,27.34,-,-,-,-,-
4,PE Ratio,-,-,-,-14.05,-,-,-,64.80,-,-,-,-,-
5,Forward PE,-,25.79,23.69,21.47,27.59,10.08,15.14,-,-,-,-,-,-
6,PS Ratio,1.36,1.41,1.33,1.29,1.84,1.98,2.59,2.56,-,-,-,-,-
7,PB Ratio,1.59,1.66,1.44,1.31,1.89,1.86,2.43,2.63,-,-,-,-,-
8,P/TBV Ratio,1.76,1.76,1.52,1.39,1.99,1.96,2.55,2.76,-,-,-,-,-
9,P/FCF Ratio,31.34,32.70,-32.10,-,-,-,-15.27,-,-,-,-,-,-
10,P/OCF Ratio,10.91,10.91,20.51,-,-,-80.81,-44.31,-,-,-,-,-,-
11,EV/Sales Ratio,1.15,1.24,1.24,1.02,1.57,1.66,2.35,2.86,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-30.74,-10.72,-,-,-,174.01,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-8.09,-,-,-,-6531.39,-,-,-,-,-
14,EV/FCF Ratio,26.53,28.60,-29.93,-,-,-,-13.86,-,-,-,-,-,-
15,Debt / Equity Ratio,0.46,0.46,0.49,0.48,0.46,0.49,0.55,0.57,1.76,1.49,1.20,0.96,0.96
16,Debt / EBITDA Ratio,-,-,8.90,3.78,-,-,-,4.79,41.67,-,9.79,1.91,4.83
17,Debt / FCF Ratio,9.11,9.11,-10.86,-,-,-,-3.44,-,-,-,-,-,-
18,Asset Turnover,0.44,0.60,0.75,0.53,0.39,0.42,0.76,0.69,0.67,-,-,-,
19,Inventory Turnover,1.77,1.50,2.05,2.13,1.88,1.17,1.45,1.44,1.05,1.12,-,-,-
20,Quick Ratio,1.27,1.27,1.63,1.67,1.42,1.64,1.48,1.50,0.46,0.45,0.63,-,0.61
21,Current Ratio,1.95,1.95,2.35,2.43,2.17,2.47,2.16,2.24,1.26,1.25,1.40,-,1.46
22,Return on Equity (ROE),-9.94%,-0.75%,11.40%,-25.80%,-9.97%,-11.33%,10.69%,17.41%,-13.53%,28.66%,43.59%,-,
23,Return on Assets (ROA),-1.65%,-1.06%,3.36%,-9.10%,-3.24%,-7.20%,3.96%,-1.79%,-4.10%,-,-,-,
24,Return on Capital (ROIC),-2.22%,-1.38%,4.35%,-11.45%,-3.98%,-8.98%,5.35%,-2.79%,-6.83%,0.79%,14.31%,-,
25,Return on Capital Employed (ROCE),-,-,-,-9.92%,-,-,-,-0.04%,-,-,7.61%,-,1.29%
26,Earnings Yield,-4.17%,-4.00%,-4.49%,-7.12%,-5.58%,-1.25%,-0.35%,1.54%,-,-,-,-,-
27,FCF Yield,3.19%,3.06%,-3.11%,-4.32%,-5.44%,-7.94%,-6.55%,-10.81%,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,10.62%,-,-,-,0.69%,32.81%,-,8.59%,3.66%,10.32%
29,Buyback Yield / Dilution,-11.77%,-1.85%,-4.15%,-6.51%,-21.01%,-28.07%,-25.83%,-24.67%,-7.33%,-,-,-,-
30,Total Shareholder Return,-11.77%,-1.85%,-4.15%,-6.51%,-21.01%,-28.07%,-25.83%,-24.67%,-7.33%,-,-,-,-
