,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,994.5,1349,1636,1129,939.21,977.1,1551,1020,1006,1605,1563,1266
1,Other Revenue,-6.3,6.3,-,20.45,-52.31,52.31,-,16.52,-9.3,9.3,-,5.33
2,Revenue,988.19,1356,1636,1149,886.9,1029,1551,1037,996.21,1615,1563,1271
3,Revenue Growth (YoY),11.42%,31.69%,5.45%,10.83%,-10.97%,-36.24%,-0.77%,-18.43%,-,-,-,-
4,Cost of Revenue,785.01,1041,1140,1044,672.06,923.62,1025,763.73,756.65,1260,1115,914.23
5,Gross Profit,203.18,314.34,495.47,105.25,214.84,105.79,526.57,273.23,239.55,354.55,447.89,357.09
6,"Selling, General & Admin",242.78,292.81,308.41,394.01,275.09,309.15,305.19,260.23,295.96,294.2,226.68,238.09
7,Research & Development,37.39,59.58,52.33,10.23,65.51,85.46,61.34,48.29,58.04,50.76,56.4,65.38
8,Other Operating Expenses,-4.63,3.65,1.37,2.91,-2.55,1.45,18.17,8.56,-2.38,-1.78,3.43,6.05
9,Operating Expenses,262.13,352.34,378.9,418.92,332.09,385.71,397.47,316.34,337.6,344.77,295.94,327.18
10,Operating Income,-58.95,-38,116.57,-313.67,-117.26,-279.92,129.1,-43.12,-98.05,9.78,151.95,29.91
11,Interest Expense,-22.01,-23.37,-17.41,-26.59,-24.55,-31.28,-26.63,-24.37,-15.45,-8.8,-6.31,-7.71
12,Interest & Investment Income,27.85,50.7,-,27.38,27.18,23.48,17.76,7.7,6.82,2.83,6.37,20.11
13,Currency Exchange Gain (Loss),-33.26,33.26,-,47.03,-72.27,72.27,-,206.09,-91.3,91.3,-,-19.84
14,Other Non Operating Income (Expenses),-23.06,-18.88,19.49,-46.73,41.81,14.14,-19.67,-178.21,179.19,-5.02,-4.08,3.63
15,EBT Excluding Unusual Items,-109.43,3.7,118.65,-312.57,-145.08,-201.31,100.57,-31.9,-18.78,90.09,147.92,26.1
16,Gain (Loss) on Sale of Investments,-15.19,-1.25,-2.04,-53.34,0.97,-6.8,0.93,7.76,2.46,-2.27,-0.02,-3.81
17,Gain (Loss) on Sale of Assets,-0.18,0.8,-0.29,1.92,0.99,-1.75,0.07,0.3,0.12,0.19,-0.61,-0.26
18,Asset Writedown,-8.29,-10.88,10.57,5.02,-5.49,6,-6.29,41.28,-41.32,5.82,-5.89,-0.23
19,Other Unusual Items,-6.21,3.92,-0.11,2.86,-,-,-,19.12,-9.16,9.16,-,7.22
20,Pretax Income,-139.65,-3.35,126.78,-354.47,-148.63,-203.85,95.29,36.95,-66.68,102.99,141.4,28.79
21,Income Tax Expense,-27.84,5.34,-3.09,-54.97,-27.67,-62.46,7.81,-27.01,-14.78,-3.1,-6.33,-26.7
22,Earnings From Continuing Operations,-111.81,-8.69,129.86,-299.5,-120.95,-141.39,87.48,63.96,-51.9,106.09,147.73,55.49
23,Minority Interest in Earnings,-0.08,0.01,-,0.01,0.03,-,-,-,-,-,-,-
24,Net Income,-111.89,-8.68,129.86,-299.49,-120.92,-141.39,87.48,63.96,-51.9,106.09,147.73,55.49
25,Net Income to Common,-111.89,-8.68,129.86,-299.49,-120.92,-141.39,87.48,63.96,-51.9,106.09,147.73,55.49
26,Net Income Growth,-,-,48.44%,-,-,-,-40.78%,15.27%,-,-,-,-
27,Shares Outstanding (Basic),491,480,489,480,482,461,437,355,376,365,360,368
28,Shares Outstanding (Diluted),491,480,490,480,482,461,460,397,376,366,369,369
29,Shares Change (YoY),1.85%,4.15%,6.51%,21.01%,28.07%,25.83%,24.67%,7.33%,-,-,-,-
