,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,816,814,855,915,1217,1114,1365,2194,1473,1350,1640
1,Market Cap Growth,-10.99%,-10.99%,-29.75%,-17.87%,-10.87%,-49.23%,-7.32%,62.53%,-10.20%,-50.55%,-
2,Enterprise Value,1677,1624,1638,1742,2081,1819,2447,3301,2580,2582,2783
3,Last Close Price,0.84,0.78,0.76,0.78,1.01,0.90,1.06,1.68,1.10,1.00,1.20
4,PE Ratio,14.26,13.75,9.11,16.74,-28.19,-,13.69,15.24,12.38,38.58,21.34
5,Forward PE,14.24,7.36,7.05,-,7.17,7.17,8.43,12.03,11.47,11.30,8.05
6,PS Ratio,0.26,0.25,0.27,0.30,0.45,0.39,0.43,0.73,0.53,0.46,0.50
7,PB Ratio,0.92,0.89,0.87,0.95,1.27,1.14,1.25,2.08,1.36,1.40,1.69
8,P/TBV Ratio,0.89,0.89,0.87,0.95,1.28,1.14,1.25,2.09,1.37,1.41,1.70
9,P/FCF Ratio,1.56,1.56,1.56,1.89,3.28,2.31,2.42,3.85,2.80,2.97,3.61
10,P/OCF Ratio,1.21,1.21,1.25,1.43,2.35,1.98,1.98,2.96,2.17,2.05,2.40
11,EV/Sales Ratio,0.52,0.50,0.51,0.58,0.78,0.64,0.77,1.10,0.92,0.88,0.86
12,EV/EBITDA Ratio,2.45,6.08,5.44,8.64,38.30,-,7.78,19.75,22.09,11.39,7.77
13,EV/EBIT Ratio,12.39,12.00,9.61,28.66,-,-,15.59,356.25,-,-,13.76
14,EV/FCF Ratio,3.21,3.11,2.98,3.61,5.61,3.78,4.34,5.80,4.91,5.69,6.13
15,Debt / Equity Ratio,1.23,1.23,1.15,1.14,1.16,1.20,1.06,1.51,1.54,1.80,2.00
16,Debt / FCF Ratio,2.16,2.16,2.07,2.28,2.99,2.44,2.05,2.81,3.17,3.82,4.27
17,Return on Capital Employed (ROCE),7.94%,7.94%,9.57%,3.53%,-,-,8.32%,0.45%,-,-,8.92%
18,Earnings Yield,7.26%,7.27%,10.98%,5.97%,-3.55%,1.24%,7.31%,6.56%,8.08%,2.59%,4.69%
19,FCF Yield,63.99%,64.11%,64.31%,52.81%,30.51%,43.20%,41.31%,25.94%,35.67%,33.64%,27.67%
20,Dividend Yield,7.14%,7.68%,9.10%,7.55%,4.95%,8.24%,7.02%,5.30%,7.03%,3.10%,4.21%
21,Buyback Yield / Dilution,-0.01%,-,-0.01%,-0.18%,-0.02%,0.16%,-0.03%,-0.10%,0.19%,-29.40%,-34.22%
22,Total Shareholder Return,7.14%,7.68%,9.09%,7.37%,4.93%,8.41%,6.99%,5.20%,7.22%,-26.30%,-30.01%
