,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,5017,5532,5065,5029,4503,4670,5221,6035,6335,4982,7616,Upgrade
1,Market Cap Growth,10.00%,10.00%,12.50%,7.69%,-13.76%,-22.62%,-17.58%,21.15%,-16.82%,-42.06%,-3.64%,Upgrade
2,Enterprise Value,5185,5742,5339,4587,3470,3028,3737,4117,4785,3024,5748,Upgrade
3,Last Close Price,4.19,4.42,3.90,3.69,3.20,3.16,3.38,3.77,3.75,2.84,4.05,Upgrade
4,PE Ratio,8.65,9.53,8.67,10.09,8.89,8.79,9.09,8.97,9.57,6.56,8.38,Upgrade
5,Forward PE,8.12,8.45,8.22,8.82,6.44,5.49,5.50,6.65,6.56,6.11,7.26,Upgrade
6,PS Ratio,1.28,1.41,1.30,1.46,1.29,1.16,1.26,1.71,1.99,1.41,1.86,Upgrade
7,PB Ratio,1.15,1.27,1.16,1.19,1.05,1.06,1.16,1.37,1.46,1.28,1.89,Upgrade
8,P/TBV Ratio,1.27,1.27,1.16,1.19,1.05,1.06,1.16,1.38,1.46,1.29,1.89,Upgrade
9,P/FCF Ratio,7.84,8.65,4.74,5.78,14.47,11.14,14.35,-,9.73,10.70,13.21,Upgrade
10,P/OCF Ratio,7.13,7.13,4.18,4.63,6.09,5.52,7.11,6.44,6.90,8.18,11.18,Upgrade
11,PEG Ratio,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.51,Upgrade
12,EV/Sales Ratio,1.32,1.46,1.37,1.34,0.99,0.76,0.90,1.16,1.50,0.86,1.40,Upgrade
13,EV/EBITDA Ratio,5.61,7.02,6.56,6.67,4.86,4.04,4.83,4.89,5.96,3.30,5.17,Upgrade
14,EV/EBIT Ratio,7.76,8.58,7.88,8.11,5.94,4.97,5.75,5.30,6.25,3.43,5.35,Upgrade
15,EV/FCF Ratio,8.10,8.97,5.00,5.28,11.16,7.22,10.27,-,7.35,6.49,9.97,Upgrade
16,Debt / Equity Ratio,0.31,0.31,0.32,0.30,0.15,0.21,0.06,0.03,0.03,0.09,0.00,Upgrade
17,Debt / FCF Ratio,2.12,2.12,1.31,1.48,2.07,2.23,0.79,-,0.23,0.76,0.00,Upgrade
18,Return on Capital Employed (ROCE),13.02%,13.04%,12.60%,10.88%,12.79%,12.89%,14.14%,17.29%,17.31%,22.33%,26.49%,Upgrade
19,Earnings Yield,11.57%,10.49%,11.54%,9.92%,11.25%,11.38%,11.01%,11.15%,10.45%,15.25%,11.93%,Upgrade
20,FCF Yield,12.75%,11.56%,21.08%,17.29%,6.91%,8.98%,6.97%,9.41%,10.28%,9.35%,7.57%,Upgrade
21,Dividend Yield,8.59%,5.75%,6.67%,5.97%,6.88%,7.36%,7.09%,8.28%,8.26%,11.58%,9.63%,Upgrade
22,Buyback Yield / Dilution,-,-,-,0.09%,0.15%,0.00%,-0.15%,-0.09%,-,0.01%,Upgrade,
23,Total Shareholder Return,8.59%,5.75%,6.67%,5.97%,6.97%,7.51%,7.09%,8.13%,8.17%,11.58%,9.64%,Upgrade
