,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,1605,1155,1061,1011,774.33,498.48,-,564.59,-,-,-
1,Short-Term Investments,-,120.43,-,80.58,-,-,-,-,-,-,-
2,Trading Asset Securities,133.2,224.71,227.87,121.52,131.65,10,-,0.01,-,-,-
3,Cash & Short-Term Investments,1738,1500,1289,1213,905.98,508.48,564.6,564.6,-,-,296.53
4,Cash Growth,91.87%,194.95%,128.35%,114.92%,-,-,90.41%,-,-,-,-
5,Accounts Receivable,1237,1506,1413,1251,1300,1074,-,1104,-,-,-
6,Other Receivables,6.71,4.25,2.66,3.03,2.97,4.01,-,2.88,-,-,-
7,Receivables,1244,1510,1416,1254,1303,1078,-,1107,-,-,-
8,Inventory,199.11,248.97,228.67,230.46,187.68,192.53,-,214.05,-,-,-
9,Prepaid Expenses,-,4.31,-,2.78,-,11.17,-,1.23,-,-,-
10,Other Current Assets,446.12,268.27,290.35,234.94,219.96,167.96,-,167.39,-,-,-
11,Total Current Assets,3628,3531,3224,2935,2617,1958,-,2054,-,-,-
12,"Property, Plant & Equipment",3978,3847,3823,3654,3249,3024,-,2652,-,-,-
13,Other Intangible Assets,161.46,163.14,164.9,166.74,168.05,163.36,-,163.49,-,-,-
14,Long-Term Deferred Tax Assets,8.93,9.02,5.15,4.72,17.88,15.74,-,2.03,-,-,-
15,Long-Term Deferred Charges,16.93,17.8,17.64,12.18,-,-,-,-,-,-,-
16,Other Long-Term Assets,55.48,95.89,114.54,194.82,369.55,386.96,-,361.57,-,-,-
17,Total Assets,7848,7664,7349,6968,6421,5548,-,5233,-,-,-
18,Accounts Payable,992.04,935.02,1199,1139,1347,1204,-,1530,-,-,-
19,Accrued Expenses,14.42,17.33,13.11,14.57,11.46,18.44,-,70.87,-,-,-
20,Short-Term Debt,1921,1661,1071,972.03,307,472.3,-,534.13,-,-,-
21,Current Portion of Long-Term Debt,508.97,298.72,438.68,147.89,-,-,-,-,-,-,-
22,Current Portion of Leases,-,294.4,-,312.21,12.18,12.06,-,12.23,-,-,-
23,Current Income Taxes Payable,3.56,-,3.63,5.03,6.07,1.67,-,-,-,-,-
24,Current Unearned Revenue,13.74,14.87,26.29,18.04,16.69,12.21,-,26.88,-,-,-
25,Other Current Liabilities,216.9,213.81,162.2,134.03,132.39,133.72,-,170.47,-,-,-
26,Total Current Liabilities,3671,3435,2914,2743,1833,1854,-,2344,-,-,-
27,Long-Term Debt,695.46,670.18,717.65,581.71,608.55,671.96,-,260.32,-,-,-
28,Long-Term Leases,345.19,297.74,407.04,259.65,543.52,594.3,-,275.63,-,-,-
29,Long-Term Unearned Revenue,76.31,77.48,63.53,64.54,48.79,49.02,-,40.4,-,-,-
30,Long-Term Deferred Tax Liabilities,41.21,41.54,43.97,45.82,62.66,64.66,-,52.98,-,-,-
31,Total Liabilities,4829,4522,4146,3695,3096,3234,-,2974,-,-,-
32,Common Stock,222.96,222.96,222.96,222.96,222.96,167.22,-,167.22,-,-,-
33,Additional Paid-In Capital,1865,1865,1865,1865,1865,916.72,-,916.72,-,-,-
34,Retained Earnings,821.13,924.3,973.29,1035,1066,1058,-,1003,-,-,-
35,Treasury Stock,-12,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,5.91,5.18,6.14,2.38,16.77,14.63,-,8.63,-,-,-
37,Total Common Equity,2903,3018,3068,3125,3171,2157,2096,2096,-,-,1806
38,Minority Interest,115.97,124.65,135.07,147.99,154.06,157.67,-,163.45,-,-,-
39,Shareholders' Equity,3019,3142,3203,3273,3325,2314,2259,2259,-,-,1806
40,Total Liabilities & Equity,7848,7664,7349,6968,6421,5548,-,5233,-,-,-
41,Total Debt,3471,3222,2634,2273,1471,1751,1082,1082,-,-,285.88
42,Net Cash (Debt),-1732,-1722,-1345,-1060,-565.27,-1242,-517.71,-517.71,-,-,10.64
43,Net Cash Per Share,-7.67,-7.75,-6.13,-6.97,-2.21,-7.24,-3.15,-3.13,-,-,-
44,Filing Date Shares Outstanding,225.79,222.96,222.96,222.96,222.96,167.22,164.36,167.22,168.53,167.13,-
45,Total Common Shares Outstanding,225.79,222.96,222.96,222.96,222.96,167.22,164.36,167.22,168.53,167.13,-
46,Working Capital,-43.11,96.25,309.7,192.41,784.05,104.05,-,-290.47,-,-,-
47,Book Value Per Share,12.86,13.53,13.76,14.02,14.22,12.90,12.53,12.53,-,-,10.80
48,Tangible Book Value,2742,2855,2903,2959,3003,1993,1932,1932,-,-,1754
49,Tangible Book Value Per Share,12.14,12.80,13.02,13.27,13.47,11.92,11.55,11.55,-,-,10.49
50,Buildings,-,575.08,-,575.01,-,412.51,-,408.97,-,-,-
51,Machinery,-,2464,-,2439,-,2014,-,1987,-,-,-
52,Construction In Progress,-,1451,-,1152,-,1005,-,559.54,-,-,-
