,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3317,3338,2758,3599,4348,4843,-,-,-,-,-,-
1,Market Cap Growth,-31.08%,-31.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5166,5185,4238,4318,5067,6243,-,-,-,-,-,-
3,Last Close Price,14.89,14.97,12.37,16.14,19.50,21.72,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,238.95,-,-,-,-,-,-
5,Forward PE,-,62.38,51.54,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.90,0.98,0.77,1.04,1.29,1.44,-,-,-,-,-,-
7,PB Ratio,1.16,1.11,0.88,1.12,1.33,1.46,-,-,-,-,-,-
8,P/TBV Ratio,1.22,1.22,0.97,1.24,1.47,1.61,-,-,-,-,-,-
9,P/FCF Ratio,-,-6.56,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,150.02,150.02,-,-,-70.04,41.66,-,-,-,-,-,-
11,EV/Sales Ratio,1.52,1.52,1.18,1.25,1.51,1.86,-,-,-,-,-,-
12,EV/EBITDA Ratio,134.22,-,85.41,-,25.13,44.11,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,477.86,-,-,-,-,-,-
14,EV/FCF Ratio,-10.16,-10.19,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.15,1.15,1.03,0.82,0.69,0.44,0.76,0.48,0.48,-,-,0.16
16,Debt / EBITDA Ratio,90.18,-,40.41,-,15.89,9.88,5.03,4.51,-,-,-,0.20
17,Debt / FCF Ratio,-,-6.82,-,-,-,-,-,-,-,-,-,22.42
18,Asset Turnover,0.38,0.51,0.48,0.51,0.62,-,-,-,-,-,-,
19,Inventory Turnover,17.58,13.84,15.44,14.93,16.19,17.56,-,-,-,-,-,-
20,Quick Ratio,0.81,0.81,0.88,0.93,0.90,1.21,0.86,-,0.71,-,-,-
21,Current Ratio,0.99,0.99,1.03,1.11,1.07,1.43,1.06,-,0.88,-,-,-
22,Return on Equity (ROE),-14.52%,-7.49%,-9.19%,-4.56%,0.58%,3.69%,5.06%,-,-,-,-,
23,Return on Assets (ROA),-2.92%,-1.63%,-2.66%,-1.00%,0.48%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-3.52%,-2.01%,-3.34%,-1.30%,0.64%,2.01%,2.56%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,0.28%,0.10%,-,-,-,-,-
26,Earnings Yield,-7.39%,-7.34%,-4.87%,-1.70%,0.73%,0.42%,-,-,-,-,-,-
27,FCF Yield,-15.33%,-15.24%,-34.13%,-28.85%,-25.67%,-21.41%,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,110.55%,45.34%,30.30%,-,59.40%,15.15%,-
29,Buyback Yield / Dilution,-8.22%,11.79%,-29.47%,-33.50%,8.01%,-51.88%,-2.72%,-,-,-,-,-
30,Total Shareholder Return,-8.22%,11.79%,-29.47%,-33.50%,8.01%,-51.88%,-2.72%,-,-,-,-,-
