,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,741.95,951.26,858.56,850.65,931.98,804.5,773.15,852.65,609.06,621.19,944.69
1,Other Revenue,-0.85,0.85,-,2.3,-1.38,1.38,-,1.61,-0.03,0.03,-
2,Revenue,741.1,952.11,858.56,852.95,930.61,805.87,773.15,854.26,609.03,621.23,944.69
3,Revenue Growth (YoY),-20.36%,18.15%,11.05%,-0.15%,52.80%,29.72%,-18.16%,-,-,-,-
4,Cost of Revenue,775.11,922,856.96,846.29,834.34,714.88,683.98,810.28,527.88,554.04,551.49
5,Gross Profit,-34.01,30.11,1.6,6.66,96.26,91,89.17,43.98,81.15,67.19,393.19
6,"Selling, General & Admin",43.05,41.97,35.93,33.4,36.44,33.78,29.8,45.16,47.79,49.83,-
7,Research & Development,31.53,32.66,29.89,12.01,28.65,23.69,27.65,41.76,25.76,58.94,-
8,Other Operating Expenses,-7.5,-6.52,2.21,1.75,1.27,0.25,-0.56,10.2,-1.07,-50.19,53.89
9,Operating Expenses,56.46,79.08,77.76,33.51,84.88,61.21,54.99,106.28,79.06,36.29,53.89
10,Operating Income,-90.47,-48.96,-76.16,-26.84,11.38,29.79,34.19,-62.3,2.09,30.9,339.3
11,Interest Expense,-16.26,-19.03,-14.71,-17.32,-11.5,-14.38,-11.75,-6.16,-6.47,-7.28,-
12,Interest & Investment Income,3.93,6.95,2.26,4.68,1.1,5.47,1.42,0.35,0.76,0.54,-
13,Currency Exchange Gain (Loss),-4.82,4.82,-,3.31,-5.38,5.38,-,11.12,-7.71,7.71,-
14,Other Non Operating Income (Expenses),0.34,-2.6,0.78,-4.37,8.32,1.46,8.75,-18.79,17.7,-0.18,-0.49
15,EBT Excluding Unusual Items,-107.28,-58.82,-87.83,-40.54,3.93,27.72,32.6,-75.78,6.38,31.69,338.82
16,Gain (Loss) on Sale of Investments,-,-,-,0.72,-0.98,-4.03,-0.52,-0.29,-0.62,-5.04,-
17,Gain (Loss) on Sale of Assets,-0.03,0.03,-,0.26,-0,0,-,4.04,-0.59,0.59,-
18,Asset Writedown,-0.52,-,-,0.41,-0.41,-,-,1.86,-1.86,-,-
19,Other Unusual Items,-4.42,-7.51,11.93,-0.1,-0.01,0.01,-,13.5,-,-,-
20,Pretax Income,-112.26,-66.3,-75.9,-39.25,2.52,23.7,32.07,-56.66,3.32,27.24,338.82
21,Income Tax Expense,-0.4,-6.89,-1.54,-1.66,-1.56,2.6,3.51,-10.26,-3.91,2.58,46.92
22,Earnings From Continuing Operations,-111.85,-59.41,-74.36,-37.59,4.09,21.1,28.56,-46.4,7.23,24.66,291.9
23,Minority Interest in Earnings,8.68,10.42,12.92,6.06,3.61,3.12,2.67,3.52,2.03,0.95,0.04
24,Net Income,-103.17,-48.99,-61.44,-31.52,7.7,24.22,31.23,-42.88,9.26,25.61,291.94
25,Net Income to Common,-103.17,-48.99,-61.44,-31.52,7.7,24.22,31.23,-42.88,9.26,25.61,291.94
26,Net Income Growth,-,-,-,-,-16.87%,-5.43%,-89.30%,-,-,-,-
27,Shares Outstanding (Basic),226,222,219,152,256,172,164,165,169,167,-
28,Shares Outstanding (Diluted),226,222,219,152,256,172,164,165,169,167,-
29,Shares Change (YoY),-11.79%,29.47%,33.50%,-8.01%,51.88%,2.72%,-,-,-,-,-
30,EPS (Basic),-0.46,-0.22,-0.28,-0.21,0.03,0.14,0.19,-0.26,0.05,0.15,-
31,EPS (Diluted),-0.46,-0.22,-0.28,-0.21,0.03,0.14,0.19,-0.26,0.05,0.15,-
32,EPS Growth,-,-,-,-,-45.27%,-7.94%,-,-,-,-,-
33,Free Cash Flow,170.08,-131.18,-300.43,-247.04,-262.79,-227.91,-378.2,-167.96,-290.3,-449.48,12.75
34,Free Cash Flow Per Share,0.75,-0.59,-1.37,-1.62,-1.03,-1.33,-2.30,-1.02,-1.72,-2.69,-
35,Gross Margin,-4.59%,3.16%,0.19%,0.78%,10.34%,11.29%,11.53%,5.15%,13.32%,10.82%,41.62%
36,Operating Margin,-12.21%,-5.14%,-8.87%,-3.15%,1.22%,3.70%,4.42%,-7.29%,0.34%,4.97%,35.92%
37,Profit Margin,-13.92%,-5.15%,-7.16%,-3.70%,0.83%,3.01%,4.04%,-5.02%,1.52%,4.12%,30.90%
38,Free Cash Flow Margin,22.95%,-13.78%,-34.99%,-28.96%,-28.24%,-28.28%,-48.92%,-19.66%,-47.67%,-72.35%,1.35%
39,EBITDA,-39.97,14.39,-25.65,23.66,37.23,80.71,60.03,-36.46,18.33,52.12,355.54
40,EBITDA Margin,-5.39%,1.51%,-2.99%,2.77%,4.00%,10.01%,7.76%,-4.27%,3.01%,8.39%,37.64%
41,D&A For EBITDA,50.51,63.35,50.51,50.51,25.84,50.92,25.84,25.84,16.24,21.22,16.24
42,EBIT,-90.47,-48.96,-76.16,-26.84,11.38,29.79,34.19,-62.3,2.09,30.9,339.3
43,EBIT Margin,-12.21%,-5.14%,-8.87%,-3.15%,1.22%,3.70%,4.42%,-7.29%,0.34%,4.97%,35.92%
44,Effective Tax Rate,-,-,-,-,-,10.98%,10.95%,-,-,9.47%,13.85%
45,Revenue as Reported,741.1,952.11,858.56,852.95,930.61,805.87,773.15,854.26,609.03,1566,-
