,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,293.05,258.17,174.46,116.13,130.79,116.39,124,141.2,181.3,121.18,121.18
1,Other Revenue,-5.55,5.55,-,14.66,-9.83,9.83,-,10.86,-,-,-
2,Revenue,287.5,263.72,174.46,130.78,120.95,126.22,124,152.06,181.3,121.18,121.18
3,Revenue Growth (YoY),137.70%,108.94%,40.70%,-13.99%,-33.28%,4.16%,2.32%,-,-,-,-
4,Cost of Revenue,177.72,185.55,107.74,91.27,74.47,86.62,79.99,99.82,112.7,79.86,79.86
5,Gross Profit,109.78,78.18,66.72,39.52,46.48,39.6,44.01,52.24,68.6,41.33,41.33
6,"Selling, General & Admin",37.66,31.56,28.39,22.35,20.6,14.8,13.32,17.26,13.77,11.52,11.52
7,Research & Development,17.97,18.02,12.03,11.51,10.14,7.31,6.04,7.12,6.82,8.17,8.17
8,Other Operating Expenses,5.81,-0.18,-1.52,0.03,-0.27,-3.49,-0.04,1.38,-0.8,0.67,0.67
9,Operating Expenses,65.35,52.68,40.26,33.73,30.34,18.31,17.05,26.55,23.08,17.44,17.44
10,Operating Income,44.43,25.5,26.46,5.79,16.14,21.29,26.96,25.69,45.52,23.89,23.89
11,Interest Expense,-1.2,-0.29,-0.55,-0.31,-1.96,-2.89,-3.24,-3.86,-8.99,-,-
12,Interest & Investment Income,8.34,12.17,8.05,12.43,6.16,1.86,1.03,0.8,-,2.53,2.53
13,Currency Exchange Gain (Loss),-1.97,1.97,-,1.31,-4.79,4.79,-,19.55,-,-,-
14,Other Non Operating Income (Expenses),-0.66,-1.17,0.37,-3.88,3.79,5.21,-5.45,-28.14,14.84,5.72,5.72
15,EBT Excluding Unusual Items,48.94,38.19,34.33,15.34,19.35,30.26,19.29,14.04,51.37,32.14,32.14
16,Gain (Loss) on Sale of Investments,-0.01,0.6,0.11,4.49,-0.88,-2.41,-,0.69,2.03,-3.29,-3.29
17,Gain (Loss) on Sale of Assets,-1.15,0.6,-0.28,0.13,-,-,-0.04,3.53,-0.05,0.03,0.03
18,Asset Writedown,-5.18,-0.54,-0.54,2.27,-2.45,0.76,-0.77,2.94,-3.12,-0,-0
19,Other Unusual Items,-0.51,-0.54,-,-0.29,0.02,-0.02,-,1.88,-0.83,0.42,0.42
20,Pretax Income,42.08,38.32,33.62,21.94,16.04,28.58,18.49,23.08,49.4,29.3,29.3
21,Income Tax Expense,4.68,4.38,2.94,2.65,1.04,3.64,2.18,1.77,6.31,3.04,3.04
22,Earnings From Continuing Operations,37.4,33.93,30.68,19.29,14.99,24.93,16.3,21.31,43.1,26.26,26.26
23,Minority Interest in Earnings,-17.75,-8.22,-16.35,-3.16,-0.36,0.59,0.41,0.29,0.01,0,0
24,Net Income,19.66,25.72,14.33,16.13,14.63,25.53,16.72,21.59,43.1,26.26,26.26
25,Net Income to Common,19.66,25.72,14.33,16.13,14.63,25.53,16.72,21.59,43.1,26.26,26.26
26,Net Income Growth,34.35%,0.75%,-14.27%,-25.30%,-66.06%,-2.80%,-36.35%,-,-,-,-
27,Shares Outstanding (Basic),123,128,130,61,196,94,98,98,95,97,97
28,Shares Outstanding (Diluted),123,128,130,61,196,94,98,98,95,97,97
29,Shares Change (YoY),-37.31%,36.74%,32.49%,-37.08%,105.54%,-3.69%,1.09%,-,-,-,-
30,EPS (Basic),0.16,0.20,0.11,0.26,0.07,0.27,0.17,0.22,0.45,0.27,0.27
31,EPS (Diluted),0.16,0.20,0.11,0.26,0.07,0.27,0.17,0.22,0.45,0.27,0.27
32,EPS Growth,114.32%,-26.32%,-35.29%,18.73%,-83.49%,0.92%,-37.04%,-,-,-,-
33,Free Cash Flow,-53.21,-45.9,0.31,4.43,-2.22,32.78,6.73,12.68,-246.73,-11.95,-11.95
34,Free Cash Flow Per Share,-0.43,-0.36,0.00,0.07,-0.01,0.35,0.07,0.13,-2.59,-0.12,-0.12
35,Dividend Per Share,-,-,-,0.400,-,-,-,-,-,-,-
36,Gross Margin,38.18%,29.64%,38.24%,30.22%,38.43%,31.37%,35.49%,34.36%,37.84%,34.10%,34.10%
37,Operating Margin,15.45%,9.67%,15.17%,4.43%,13.35%,16.87%,21.74%,16.89%,25.11%,19.71%,19.71%
38,Profit Margin,6.84%,9.75%,8.21%,12.33%,12.10%,20.22%,13.48%,14.20%,23.78%,21.67%,21.67%
39,Free Cash Flow Margin,-18.51%,-17.41%,0.18%,3.39%,-1.83%,25.97%,5.43%,8.34%,-136.09%,-9.86%,-9.86%
40,EBITDA,52.65,37.42,34.68,14.01,21.6,28.83,32.42,31.15,50.53,28.9,28.9
41,EBITDA Margin,18.31%,14.19%,19.88%,10.71%,17.86%,22.84%,26.14%,20.49%,27.87%,23.85%,23.85%
42,D&A For EBITDA,8.22,11.92,8.22,8.22,5.46,7.53,5.46,5.46,5.01,5.01,5.01
43,EBIT,44.43,25.5,26.46,5.79,16.14,21.29,26.96,25.69,45.52,23.89,23.89
