,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,286,347.33,858.7,721.68,1646,203.88,-,193,-,-,-
1,Short-Term Investments,-,877.66,-,374.4,-,-,-,-,-,-,-
2,Trading Asset Securities,385.61,306.76,484.38,579.66,5.01,-,-,-,-,-,-
3,Cash & Short-Term Investments,671.61,1532,1343,1676,1651,203.88,193,193,-,-,231.31
4,Cash Growth,-59.32%,651.32%,595.91%,768.27%,-,-,-16.57%,-,-,-,-
5,Accounts Receivable,395.75,349.58,277.98,239.92,246.16,210.61,-,254.08,-,-,-
6,Other Receivables,18.63,13.39,12.27,2.29,4.96,2.72,-,7.6,-,-,-
7,Receivables,414.39,362.97,290.24,242.21,251.13,213.34,-,261.68,-,-,-
8,Inventory,199.47,198.95,201.73,108.03,117.48,97.04,-,86.65,-,-,-
9,Prepaid Expenses,-,3.9,-,0.2,-,0.18,-,0.16,-,-,-
10,Other Current Assets,867.11,45.79,312.09,12.69,30.69,33.19,-,11.37,-,-,-
11,Total Current Assets,2153,2143,2147,2039,2050,547.62,-,552.87,-,-,-
12,"Property, Plant & Equipment",666.28,652.33,593.76,576.1,562.71,538.01,-,519.03,-,-,-
13,Long-Term Investments,4.59,4.57,4.1,0.15,0.15,59.32,-,57.53,-,-,-
14,Goodwill,104.87,104.87,108.41,26.29,25.9,-,-,-,-,-,-
15,Other Intangible Assets,39.84,40.81,41.61,35.64,36.47,28.96,-,29.54,-,-,-
16,Long-Term Deferred Tax Assets,10.99,8.77,5.31,4.92,9.22,8.44,-,8.37,-,-,-
17,Long-Term Deferred Charges,13.24,8.64,5.49,3.67,3.33,3.01,-,0.29,-,-,-
18,Other Long-Term Assets,25.34,21.91,14.21,12.34,9.17,2.9,-,10.21,-,-,-
19,Total Assets,3018,2985,2920,2698,2697,1188,-,1178,-,-,-
20,Accounts Payable,247.37,218.16,149.16,60.5,88.43,80.98,-,84.24,-,-,-
21,Accrued Expenses,13.5,19.57,12.7,16.9,9.48,8.99,-,10.86,-,-,-
22,Short-Term Debt,-,-,-,-,-,-,-,30,-,-,-
23,Current Portion of Long-Term Debt,-,-,-,-,4.01,21,-,10.5,-,-,-
