,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7783,5422,5424,7229,6168,5025,-,-,-,-,-,-
1,Market Cap Growth,7.89%,7.89%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7334,4097,4230,5656,4594,5102,-,-,-,-,-,-
3,Last Close Price,60.84,42.29,42.31,55.68,47.51,51.61,-,-,-,-,-,-
4,PE Ratio,88.77,71.49,76.60,102.37,84.48,64.04,-,-,-,-,-,-
5,Forward PE,-,58.74,58.76,23.52,38.34,41.66,-,-,-,-,-,-
6,PS Ratio,7.86,6.33,7.86,13.09,12.29,9.60,-,-,-,-,-,-
7,PB Ratio,3.01,2.07,2.09,2.75,2.40,1.97,-,-,-,-,-,-
8,P/TBV Ratio,2.32,2.32,2.33,3.06,2.51,2.06,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,204.75,147.80,-,-,-,-,-,-,-
10,P/OCF Ratio,173.81,-,-,51.45,45.62,33.53,-,-,-,-,-,-
11,EV/Sales Ratio,8.56,4.78,6.13,10.24,9.15,9.75,-,-,-,-,-,-
12,EV/EBITDA Ratio,51.59,29.53,39.27,57.06,47.43,44.75,-,-,-,-,-,-
13,EV/EBIT Ratio,75.71,40.10,57.25,81.17,65.46,56.63,-,-,-,-,-,-
14,EV/FCF Ratio,-77.72,-,-,160.19,110.10,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.01,0.01,0.01,0.35,0.39,0.39,-,-,0.11
16,Debt / EBITDA Ratio,0.56,0.38,0.49,0.22,0.40,0.32,2.26,2.29,1.85,-,-,0.58
17,Debt / FCF Ratio,-,-,-,0.85,0.69,-,-1.42,-1.24,-1.15,-,-,-
18,Asset Turnover,0.38,0.36,0.25,0.19,0.25,-,-,-,-,-,-,
19,Inventory Turnover,3.55,3.57,3.70,2.78,3.24,2.78,-,-,-,-,-,-
20,Quick Ratio,3.41,3.41,6.22,6.38,18.92,16.61,3.28,-,2.78,-,-,-
21,Current Ratio,6.76,6.76,7.04,8.39,20.11,17.91,4.30,-,3.38,-,-,-
22,Return on Equity (ROE),5.73%,5.19%,4.72%,3.02%,3.58%,12.83%,8.64%,-,-,-,-,
23,Return on Assets (ROA),3.70%,2.16%,2.35%,0.54%,2.08%,-,-,-,-,-,-,
24,Return on Capital (ROIC),4.13%,2.38%,2.52%,0.56%,2.21%,5.00%,6.40%,-,-,-,-,
25,Return on Capital Employed (ROCE),3.59%,3.79%,2.76%,2.62%,2.70%,3.49%,11.26%,-,11.73%,-,-,-
26,Earnings Yield,0.97%,1.40%,1.31%,0.98%,1.18%,1.56%,-,-,-,-,-,-
27,FCF Yield,-1.21%,-1.74%,-0.80%,0.49%,0.68%,0.99%,-,-,-,-,-,-
28,Dividend Yield,0.62%,-,-,-,0.84%,-,-,-,-,-,-,-
29,Payout Ratio,58.18%,0.20%,199.11%,-,-,11.24%,10.09%,17.39%,-,5.33%,1.79%,1.79%
30,Buyback Yield / Dilution,8.84%,37.31%,-36.74%,-32.49%,37.08%,-105.54%,3.69%,-1.09%,-,-,-,-
31,Total Shareholder Return,9.46%,37.31%,-36.74%,-32.49%,37.93%,-105.54%,3.69%,-1.09%,-,-,-,-
