,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,977.88,854.42,764.23,901.73,779.22,729.03,775.73,890.5,875.76,979.84,808.85,975.1,782.14,764.36,627.52,569.47,586.44,449.39,449.39
1,Other Revenue,-58.99,58.99,-,103.88,-15.66,15.66,-,74.16,-28.44,28.44,-,60.41,-26.9,-,-,33.49,-14.52,7.26,7.26
2,Revenue,918.89,913.41,764.23,1006,763.56,744.69,775.73,964.66,847.33,1008,808.85,1036,755.24,764.36,627.52,602.96,571.93,456.65,456.65
3,Revenue Growth (YoY),20.34%,22.66%,-1.48%,4.25%,-9.89%,-26.14%,-4.10%,-6.84%,12.19%,31.91%,28.90%,71.74%,32.05%,67.39%,37.42%,-,-,-,-
4,Operations & Maintenance,-0.25,0.25,-,2,-0.67,0.67,-,1.16,-0.39,0.39,-,1.31,-0.3,-,-,1.08,-0.33,0.16,0.16
5,"Selling, General & Admin",28.89,23.15,25.65,34.06,30.15,23.22,24.98,33.09,24.83,22.99,23.14,31.92,22.82,20.45,30.04,24.56,20.21,22.78,22.78
6,Provision for Bad Debts,-0.39,-5.17,4.01,1.6,0.35,-3.44,1.16,1.55,0.17,-3.43,3.88,0.86,-1.6,-0.66,0.66,1.83,-0.83,0.04,0.04
7,Other Operating Expenses,813.19,808.84,670.48,907.9,663.28,637.11,695.01,914.59,754.54,910.99,726.61,977.64,634.34,626.02,526.17,505.52,450.81,375.9,375.9
8,Total Operating Expenses,866.46,843.85,714.19,955.01,693.31,657.76,721.45,950.85,779.23,931.38,754.24,1012,655.78,646.27,557.48,533.78,470.61,399.72,399.72
9,Operating Income,52.43,69.56,50.05,50.61,70.25,86.93,54.27,13.81,68.1,76.9,54.62,23.03,99.46,118.09,70.03,69.18,101.31,56.93,56.93
10,Interest Expense,-3.82,-4.41,-4.47,-7.02,-5.4,-6.31,-8.77,-12.18,-11.74,-11.45,-13.04,-15.43,-12.94,13.77,-13.77,-15.83,-15.39,-17.08,-17.08
11,Interest Income,25.38,26.28,22.06,26.38,23.45,20.27,20.81,22.29,19.73,26.5,17.69,12.57,14.6,16.44,17.63,27.02,20.9,18.5,18.5
12,Net Interest Expense,21.56,21.88,17.6,19.37,18.05,13.96,12.04,10.11,7.99,15.05,4.65,-2.86,1.66,30.21,3.86,11.19,5.52,1.41,1.41
13,Other Non-Operating Income (Expenses),15.38,0.06,-0.02,-0.42,0.04,5,-0.13,-13.22,-0.7,14.29,-0.41,-0.42,-0.49,-25.84,-0.29,0.23,-0.37,-0.1,-0.1
14,EBT Excluding Unusual Items,89.37,91.5,67.63,69.55,88.34,105.89,66.18,10.71,75.39,106.24,58.85,19.75,100.63,122.47,73.61,80.6,106.45,58.24,58.24
15,Gain (Loss) on Sale of Assets,-0.08,0.08,0.01,-5.43,0.01,-0.01,-,0.39,0.01,0.02,-,-1.07,-0,0,-,-0.23,0.33,-0.14,-0.14
16,Asset Writedown,-0.84,-0.6,0.6,-6.23,-0.04,-0.16,0.16,0.02,-0.46,0.12,-0.12,-1.13,-0.08,-0.12,-,-,-,-,-
17,Other Unusual Items,-16.53,16.58,-0.06,17.59,-,-,-,55.23,-,-,-,48.92,-19.34,-,-,38.68,-,-,-
18,Pretax Income,71.92,107.56,68.18,75.47,88.31,105.72,66.35,66.35,74.94,106.39,58.73,66.47,81.22,122.35,73.61,119.05,106.78,58.1,58.1
19,Income Tax Expense,9.34,17.73,11.05,13.25,15.2,19.8,10.88,9.31,8.9,18.03,7.36,8.45,9.6,15.92,6.13,17.37,11.89,4.59,4.59
20,Earnings From Continuing Ops.,62.58,89.83,57.12,62.22,73.11,85.92,55.46,57.04,66.04,88.36,51.37,58.02,71.62,106.43,67.47,101.68,94.9,53.51,53.51
21,Minority Interest in Earnings,-10.25,-18.17,-12.08,-12.76,-18.23,-20.71,-13.67,-10.31,-11.76,-18.61,-10.09,-13.74,-15.97,-25.33,-15.04,-22.1,-22.84,-12.38,-12.38
22,Net Income,52.33,71.67,45.05,49.46,54.87,65.21,41.8,46.73,54.28,69.75,41.28,44.29,55.65,81.1,52.43,79.58,72.06,41.13,41.13
23,Net Income to Common,52.33,71.67,45.05,49.46,54.87,65.21,41.8,46.73,54.28,69.75,41.28,44.29,55.65,81.1,52.43,79.58,72.06,41.13,41.13
24,Net Income Growth,-4.63%,9.90%,7.78%,5.84%,1.09%,-6.51%,1.25%,5.52%,-2.46%,-14.00%,-21.27%,-44.34%,-22.77%,97.19%,27.48%,-,-,-,-
25,Shares Outstanding (Basic),403,395,410,381,421,375,418,391,417,380,413,418,391,372,350,363,361,358,358
26,Shares Outstanding (Diluted),403,395,410,381,421,375,418,391,417,380,413,418,391,372,350,363,361,358,358
27,Shares Change (YoY),-4.49%,5.53%,-2.02%,-2.51%,1.18%,-1.47%,1.25%,-6.55%,6.52%,2.15%,18.10%,15.28%,8.22%,4.09%,-2.27%,-,-,-,-
28,EPS (Basic),0.13,0.18,0.11,0.13,0.13,0.17,0.10,0.12,0.13,0.18,0.10,0.11,0.14,0.22,0.15,0.22,0.20,0.12,0.12
29,EPS (Diluted),0.13,0.18,0.11,0.13,0.13,0.17,0.10,0.12,0.13,0.18,0.10,0.11,0.14,0.22,0.15,0.22,0.20,0.12,0.12
30,EPS Growth,-0.15%,4.14%,10.00%,8.56%,-0.09%,-5.11%,0%,12.91%,-8.43%,-15.81%,-33.33%,-51.72%,-28.64%,89.45%,30.43%,-,-,-,-
31,Free Cash Flow,113.63,20.49,-31.71,26.27,86.39,206.15,2.21,16.27,189.5,114.34,2.43,-137.99,100.85,-,1.31,34.22,108.7,78.16,78.16
32,Free Cash Flow Per Share,0.28,0.05,-0.08,0.07,0.20,0.55,0.01,0.04,0.45,0.30,0.01,-0.33,0.26,-,0.00,0.09,0.30,0.22,0.22
33,Dividend Per Share,-,-,-,0.160,-,-,-,0.160,-,-,-,0.180,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,0%,-,-,-,-11.11%,-,-,-,-,-,-,-,-,-,-,-
35,Profit Margin,5.69%,7.85%,5.89%,4.92%,7.19%,8.76%,5.39%,4.84%,6.41%,6.92%,5.10%,4.28%,7.37%,10.61%,8.36%,13.20%,12.60%,9.01%,9.01%
36,Free Cash Flow Margin,12.37%,2.24%,-4.15%,2.61%,11.31%,27.68%,0.28%,1.69%,22.36%,11.34%,0.30%,-13.33%,13.35%,-,0.21%,5.68%,19.01%,17.12%,17.12%
37,EBITDA,80.47,98.28,78.09,78.65,97.25,114.74,81.28,40.82,94.61,103.53,81.13,49.54,125.87,144.48,96.44,95.59,128.22,83.83,83.83
38,EBITDA Margin,8.76%,10.76%,10.22%,7.82%,12.74%,15.41%,10.48%,4.23%,11.17%,10.27%,10.03%,4.78%,16.67%,18.90%,15.37%,15.85%,22.42%,18.36%,18.36%
39,D&A For EBITDA,28.04,28.72,28.04,28.04,27,27.81,27,27,26.51,26.63,26.51,26.51,26.4,26.39,26.4,26.4,26.9,26.9,26.9
40,EBIT,52.43,69.56,50.05,50.61,70.25,86.93,54.27,13.81,68.1,76.9,54.62,23.03,99.46,118.09,70.03,69.18,101.31,56.93,56.93
41,EBIT Margin,5.71%,7.62%,6.55%,5.03%,9.20%,11.67%,7.00%,1.43%,8.04%,7.63%,6.75%,2.22%,13.17%,15.45%,11.16%,11.47%,17.71%,12.47%,12.47%
42,Effective Tax Rate,12.98%,16.48%,16.21%,17.55%,17.22%,18.73%,16.40%,14.03%,11.88%,16.95%,12.53%,12.71%,11.82%,13.01%,8.33%,14.59%,11.13%,7.89%,7.89%
43,Revenue as Reported,918.89,913.41,764.23,1006,763.56,744.69,775.73,964.66,847.33,1008,808.85,1036,755.24,-,627.52,602.96,571.93,456.65,456.65
