,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,657.45,628.63,673.73,724.27,760.42,740.19,716.61,795.21,684.38,-,603.54,704.41,594.96,669.22,-,443.58,-,-,-
1,Trading Asset Securities,189,40,-,10,13,-,20,90,95,-,50,3,61,60,-,56.5,-,-,-
2,Accounts Receivable,323.02,337.26,374.21,334.02,345.01,342.36,433.61,450.5,542.78,-,535.87,470.5,407.71,380.91,-,348.06,-,-,-
3,Other Receivables,17.58,79.96,10.82,9.76,9.87,79.06,6.62,6.9,3.9,-,3.05,4.44,5.87,76.59,-,3.81,-,-,-
4,Inventory,131.52,185.36,135.33,174.52,118.14,98.33,215.88,129.38,139.07,-,264.56,180.37,170.61,71.96,-,140.36,-,-,-
5,Other Current Assets,51.28,27.95,35.1,29.12,83.03,23.85,36.33,22.38,31.43,-,39.6,42.13,47.79,33.82,-,42.42,-,-,-
6,Total Current Assets,1370,1299,1229,1282,1329,1284,1429,1494,1497,-,1497,1405,1288,1293,-,1035,-,-,-
7,"Property, Plant & Equipment",2297,2242,2191,2145,2102,2117,2120,2136,2141,-,2162,2177,2132,2122,-,2137,-,-,-
8,Other Intangible Assets,105.62,105.89,107.01,108.04,106.43,107.39,108.43,109.4,110.28,-,110.04,110.89,112.42,113.96,-,117.09,-,-,-
9,Long-Term Investments,237.16,213.99,263.27,243.83,220.79,199.63,249.32,232.83,213.84,-,226.45,211.94,203.64,190.82,-,228.68,-,-,-
10,Long-Term Deferred Tax Assets,14.94,13.55,14.46,13.96,12.71,12.79,12.51,12.14,11.81,-,11.71,11.02,10.54,11.06,-,10.74,-,-,-
11,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,-,1.01,-,-,-
12,Other Long-Term Assets,-,4.73,0.01,-,-,2.21,-,1.9,0.57,-,0.86,2.11,0.77,1.62,-,1.11,-,-,-
13,Total Assets,4024,3879,3805,3792,3771,3722,3919,3987,3974,-,4008,3918,3747,3732,-,3530,-,-,-
14,Accounts Payable,238.29,127.69,180.72,217.55,179.89,113.49,217.04,175.73,183.48,-,242.18,140.77,154.32,61.36,-,149.19,-,-,-
15,Accrued Expenses,19.34,26.28,18.88,36.29,17.92,26.12,18.31,37.85,17.7,-,16.86,36.18,16.87,27.25,-,25.78,-,-,-
16,Short-Term Debt,359.07,387.09,332.09,367.1,401.09,499.18,581.98,683.08,734.5,-,676.89,786.88,639.54,636.65,-,676.79,-,-,-
17,Current Portion of Long-Term Debt,66.86,80.07,111.95,60.07,57.56,77.08,74.59,81.82,47.57,-,89.84,89.64,51.87,94.37,-,123.42,-,-,-
18,Current Unearned Revenue,72.69,43.39,26.16,16.79,65.46,24.62,22.14,19.18,52.2,-,25.08,15.79,42.08,16.73,-,10.61,-,-,-
19,Current Portion of Leases,-,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,18.41,16.85,20.45,18.66,25.05,19.52,19.67,10.34,19.77,-,31.59,9.32,16.76,16.34,-,18.03,-,-,-
21,Other Current Liabilities,54.35,111.9,49.7,73.45,50.03,58.79,46.42,59.01,38.58,-,42.71,63.08,30.3,74.11,-,35.34,-,-,-
22,Total Current Liabilities,829,795.16,739.96,789.9,797,818.79,980.14,1067,1094,-,1125,1142,951.75,926.81,-,1039,-,-,-
23,Long-Term Debt,283.68,232.93,206.04,240.27,270.27,270.28,300.34,333.13,347.48,-,386.67,325.01,394.56,394.56,-,422.16,-,-,-
24,Long-Term Leases,43.15,42.57,42.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,87.64,89.93,93.34,96.31,99.35,102.33,102.95,105.9,109.27,-,129.46,139.57,147.67,157.06,-,172.86,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,1.53,1.53,1.5,1.5,1.5,1.5,1.49,1.49,1.49,-,1.47,1.47,1.47,1.47,-,1.45,-,-,-
28,Total Liabilities,1245,1162,1083,1128,1168,1193,1385,1508,1552,-,1643,1608,1495,1480,-,1636,-,-,-
29,Common Stock,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,-,400.1,400.1,400.1,400.1,-,360,-,-,-
30,Additional Paid-In Capital,715.97,715.97,715.97,715.97,715.97,715.97,715.97,715.97,716.03,-,716.03,716.03,716.03,716.03,-,552.07,-,-,-
31,Retained Earnings,1172,1120,1112,1067,1018,962.71,961.51,919.72,872.99,-,820.97,779.69,735.4,751.77,-,618.24,-,-,-
32,Comprehensive Income & Other,0.9,0.99,0.67,-,0.4,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,2289,2237,2229,2183,2134,2079,2078,2036,1989,-,1937,1896,1852,1868,1530,1530,-,-,1359
34,Minority Interest,490.22,479.99,493.61,481.17,468.65,450.3,456.99,443.32,432.94,-,428.15,414.06,400.32,384.35,-,364.14,-,-,-
35,Shareholders' Equity,2779,2717,2722,2664,2603,2529,2535,2479,2422,-,2365,2310,2252,2252,1894,1894,-,-,1668
36,Total Liabilities & Equity,4024,3879,3805,3792,3771,3722,3919,3987,3974,-,4008,3918,3747,3732,-,3530,-,-,-
37,Total Debt,752.75,744.56,692.18,667.43,728.93,846.53,956.91,1098,1130,-,1153,1202,1086,1126,1222,1222,-,-,1413
38,Net Cash (Debt),93.7,-75.92,-18.45,66.84,44.49,-106.35,-220.29,-212.82,-350.17,-,-499.85,-494.13,-430.01,-396.36,-722.3,-722.3,-,-,-955.27
39,Net Cash Growth,110.61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.23,-0.19,-0.05,0.18,0.11,-0.28,-0.53,-0.54,-0.84,-,-1.21,-1.18,-1.10,-1.06,-2.07,-1.99,-,-,-2.67
41,Filing Date Shares Outstanding,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,380.26,400.1,400.1,400.1,400.1,349.53,360,361.32,357.64,357.64
42,Total Common Shares Outstanding,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,400.1,380.26,400.1,400.1,400.1,400.1,349.53,360,361.32,357.64,357.64
